LLM,Complexity,MRR@1,MRR@3,MRR@10
gpt-3.5-turbo,easy,1.0,1.0,1.0
gpt-3.5-turbo,medium,0.5,0.5,0.5
gpt-3.5-turbo,hard,0.3333333333333333,0.3333333333333333,0.3888888888888889
gpt-3.5-turbo,all,0.5,0.5,0.5277777777777778
gpt-4o-mini,easy,0.0,0.5,0.5
gpt-4o-mini,medium,0.5,0.5,0.5
gpt-4o-mini,hard,0.3333333333333333,0.6666666666666666,0.6666666666666666
gpt-4o-mini,all,0.3333333333333333,0.5833333333333334,0.5833333333333334
gpt-4o,easy,1.0,1.0,1.0
gpt-4o,medium,1.0,1.0,1.0
gpt-4o,hard,0.6666666666666666,0.6666666666666666,0.75
gpt-4o,all,0.8333333333333334,0.8333333333333334,0.875
llama3.1,easy,1.0,1.0,1.0
llama3.1,medium,0.5,0.75,0.75
llama3.1,hard,0.3333333333333333,0.4444444444444444,0.4444444444444444
llama3.1,all,0.5,0.638888888888889,0.638888888888889
