LLM,Complexity,RR@1,RR@3,RR@10
gpt-3.5-turbo,easy,"[1.0, 1.0, 0]","[1.0, 1.0, 0]","[1.0, 1.0, 0]"
gpt-3.5-turbo,medium,"[1.0, 0, 0, 0, 0]","[1.0, 0, 0, 0, 0]","[1.0, 0, 0, 0, 0]"
gpt-3.5-turbo,hard,"[1.0, 0, 0, 0, 0, 0]","[1.0, 0.5, 0, 0, 0, 0]","[1.0, 0.5, 0.25, 0, 0, 0]"
gpt-4o-mini,easy,"[1.0, 1.0, 0]","[1.0, 1.0, 0]","[1.0, 1.0, 0]"
gpt-4o-mini,medium,"[1.0, 1.0, 0, 1.0, 0]","[1.0, 1.0, 0, 1.0, 0]","[1.0, 1.0, 0, 1.0, 0]"
gpt-4o-mini,hard,"[0, 0, 0, 0, 1.0, 1.0]","[0.5, 0.5, 0, 0, 1.0, 1.0]","[0.5, 0.5, 0, 0, 1.0, 1.0]"
gpt-4o,easy,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]"
gpt-4o,medium,"[1.0, 0, 1.0, 1.0, 0]","[1.0, 0, 1.0, 1.0, 0]","[1.0, 0.125, 1.0, 1.0, 0]"
gpt-4o,hard,"[0, 1.0, 1.0, 1.0, 1.0, 0]","[0, 1.0, 1.0, 1.0, 1.0, 0]","[0, 1.0, 1.0, 1.0, 1.0, 0]"
llama3.1,easy,[1.0],[1.0],[1.0]
llama3.1,medium,"[0, 1.0]","[0.5, 1.0]","[0.5, 1.0]"
llama3.1,hard,"[0, 0, 1.0]","[0.5, 0, 1.0]","[0.5, 0, 1.0]"
