LLM,Complexity,TopK,r2,mae,spearman,mcc,f1
gpt-3.5-turbo,easy,1,0.5809626168933439,9.018506821220354,0.34215914560790067,0.6695154554414436,0.6727214786488208
gpt-3.5-turbo,easy,3,0.5885780204695731,8.833148579179069,0.30953399567268,0.675935315797496,0.7212872748745203
gpt-3.5-turbo,easy,10,0.6024729358906219,8.106624959164408,0.2615397225289872,0.6768033942373854,0.729971621916612
gpt-3.5-turbo,hard,1,0.512728941806872,8.096294036052125,0.5226535794662732,0.8053912281534351,0.8234908304463806
gpt-3.5-turbo,hard,3,0.5618657333668754,7.9972607390380075,0.5457480812538694,0.8266773227570213,0.8305690350830278
gpt-3.5-turbo,hard,10,0.5781794258968602,6.638812494456443,0.588107032863863,0.8285033158197139,0.8321004430987932
gpt-3.5-turbo,medium,1,0.5439893158573877,7.43466354305888,0.5292019877592995,0.7838792422638176,0.7951597598987187
gpt-3.5-turbo,medium,3,0.5591743321002234,7.343311662832076,0.5373991879922919,0.8055110060366586,0.8083040524410816
gpt-3.5-turbo,medium,10,0.578222614971577,6.351432500686614,0.5618761334759836,0.8055110060366586,0.8083040524410816
gpt-4o,easy,1,0.6299905418249486,9.2444548607393,0.4973092773830663,1.0,1.0
gpt-4o,easy,3,0.6357363818585958,9.27423854103632,0.49734816445310687,1.0,1.0
gpt-4o,easy,10,0.6488985439636751,8.931920506161175,0.28684975859814416,1.0,1.0
gpt-4o,hard,1,0.42744066199934183,12.711077894333853,0.4744545369518846,0.7419883458468551,0.7282757525846844
gpt-4o,hard,3,0.588336331487303,10.642350847276193,0.7079090127444264,0.9423552112246459,0.9504305726970413
gpt-4o,hard,10,0.7009164097254942,7.661459651010005,0.7471094587500127,0.9601743593464765,0.959329924498535
gpt-4o,medium,1,0.5165093252089977,8.675511970973933,0.49676436348305275,0.725711031560588,0.7590618336886994
gpt-4o,medium,3,0.6384928418693616,8.524099516968553,0.5965539343280047,0.8866315626778727,0.8749450332896977
gpt-4o,medium,10,0.6751261471393286,7.327685039754553,0.6739267675162367,0.9975307385042516,0.9976723366159355
gpt-4o-mini,easy,1,0.5584144662639398,14.298978783068,0.43651747939904834,0.7341859799474365,0.8196284262267767
gpt-4o-mini,easy,3,0.560336036411074,14.344343953990368,0.4031245206810921,0.7341859799474365,0.8196284262267767
gpt-4o-mini,easy,10,0.5826796148313541,13.829825622297859,0.40070799365626814,0.8875176678235034,0.8783694937541092
gpt-4o-mini,hard,1,0.5793069281059713,7.04617996972447,0.5576791501221593,0.7560252116107437,0.7701385529411445
gpt-4o-mini,hard,3,0.6399518317027987,7.041611685893894,0.5964817922041615,0.8093539801653776,0.8163204358858831
gpt-4o-mini,hard,10,0.6691783328540574,5.574584790348598,0.6534537344535113,0.8300703684850245,0.8329348115944372
gpt-4o-mini,medium,1,0.6332082809594216,6.3361929780384525,0.6050688221826674,0.7812815933917702,0.7843262792629881
gpt-4o-mini,medium,3,0.639284756764382,5.973347979444793,0.6207836100219004,0.7831056021804936,0.7845399274510806
gpt-4o-mini,medium,10,0.6551206873159863,6.011745833560132,0.5874956337642145,0.7877722956801109,0.7852098087392205
llama3.1,easy,1,0.32644887505714365,9.87382904558888,0.12238261751180989,0.6788778017592493,0.7924791086350975
llama3.1,easy,3,0.35637251700060174,9.57286912620158,0.17712185161681757,0.6788778017592493,0.7924791086350975
llama3.1,easy,10,0.3877073069491814,9.600067528667145,0.23940988543384387,0.6788778017592493,0.7924791086350975
llama3.1,hard,1,0.5889962433247792,14.870938591819217,0.6157424029404679,0.6479451654237081,0.7823506092442237
llama3.1,hard,3,0.6136031907842445,13.447809008424636,0.6356037463255703,0.8210440351530242,0.8333132638507071
llama3.1,hard,10,0.6431914867723505,13.478291137216408,0.6229391847490782,0.8488236873742973,0.85347354083732
llama3.1,medium,1,0.6429893072708915,16.49388620958527,0.6328213894968951,0.7435848024611602,0.7912425607501923
llama3.1,medium,3,0.6597245808163194,14.787244476053,0.6326132674167452,0.799953340810907,0.8085592011412268
llama3.1,medium,10,0.6772002653694599,10.700774237099077,0.6925121087891176,0.8060967493467095,0.8093240093240093
llama3.1:70b,easy,1,0.5901414505474291,13.481032516439528,0.43223068053518987,0.6807138082633095,0.6964920788878112
llama3.1:70b,easy,3,0.601908534308527,12.884453318958185,0.45671132801575204,0.7046893537531288,0.8071194817337876
llama3.1:70b,easy,10,0.6077801410308545,12.64048496621186,0.2881133277821996,0.7046893537531288,0.8071194817337876
llama3.1:70b,hard,1,0.5539692415095824,19.048097017468546,0.43669669505817854,0.4866901416604756,0.48456699164284367
llama3.1:70b,hard,3,0.6977020767836324,12.29606668676774,0.6660223384304906,0.7518567242256289,0.7927675615279114
llama3.1:70b,hard,10,0.7171888135907704,9.557704156499101,0.6951678969142775,0.8362952485511489,0.8438780594753514
llama3.1:70b,medium,1,0.5516688566782779,10.716465719640265,0.4917245485883333,0.7888839595331444,0.8
llama3.1:70b,medium,3,0.5900952085248383,10.735595259111246,0.5281224239333019,0.7908369075006882,0.8
llama3.1:70b,medium,10,0.6133697448507748,8.680026489502499,0.5938304338445001,0.833650408121908,0.8256839754327192
