LLM,Complexity,Metric,TopK,RuleCountFile,EvalMode,r2,mae,spearman,mcc,f1
llama3.1:70b,easy,explanation_length,1,21,heldout_refit_on_rule_activations,0.9703430059318233,39.64242837709441,0.31772849118970536,1.0,1.0
llama3.1:70b,easy,explanation_length,3,21,heldout_refit_on_rule_activations,0.9764489494265611,37.84520379116783,0.3177373938172322,1.0,1.0
llama3.1:70b,easy,explanation_length,10,21,heldout_refit_on_rule_activations,0.9781843591107071,37.11203116436928,0.3177367062011937,1.0,1.0
llama3.1,easy,information_overload,1,104,heldout_refit_on_rule_activations,0.019553830103603898,0.5223096169260691,0.11486853789162235,1.0,1.0
llama3.1,easy,information_overload,3,104,heldout_refit_on_rule_activations,0.12781956476167544,0.4952290147297208,0.33725504323749067,1.0,1.0
llama3.1,easy,information_overload,10,104,heldout_refit_on_rule_activations,0.1863157070414354,0.5037435762086246,0.4014864310620391,1.0,1.0
gpt-4o,hard,information_overload,1,54,heldout_refit_on_rule_activations,0.4549682449880098,0.6564698476370591,0.7346444785631312,0.7765847866269543,0.8375220105650713
gpt-4o,hard,information_overload,3,54,heldout_refit_on_rule_activations,0.4844434351582144,0.6275282179209246,0.7569453244150738,0.933367672512308,0.9330628803245437
gpt-4o,hard,information_overload,10,54,heldout_refit_on_rule_activations,0.825794523799828,0.30085392516469833,0.8825378819125871,1.0,1.0
llama3.1,hard,gunning_fog,1,58,heldout_refit_on_rule_activations,0.3846100367014984,3.2730469317995863,0.6428629522462462,0.07579433248958686,0.7756410256410257
llama3.1,hard,gunning_fog,3,58,heldout_refit_on_rule_activations,0.4554451417512686,3.0910042294024707,0.6872284515029373,0.5924791903182631,0.5341614906832298
llama3.1,hard,gunning_fog,10,58,heldout_refit_on_rule_activations,0.4733713595700165,3.012745595674027,0.6687486886048646,0.6939388618353711,0.6577437858508605
gpt-4o-mini,medium,information_overload,1,42,heldout_refit_on_rule_activations,0.3007924872620016,0.45051010739957836,0.5663601242525719,1.0,1.0
gpt-4o-mini,medium,information_overload,3,42,heldout_refit_on_rule_activations,0.32324671965780805,0.44279144520959707,0.5759068666239134,1.0,1.0
gpt-4o-mini,medium,information_overload,10,42,heldout_refit_on_rule_activations,0.3422903537929646,0.4270778622868518,0.546526355450529,1.0,1.0
llama3.1:70b,medium,oversimplification,1,73,heldout_refit_on_rule_activations,0.14931010073317152,0.8300721047991214,0.38683447572745816,-0.18410138501101614,0.0
llama3.1:70b,medium,oversimplification,3,73,heldout_refit_on_rule_activations,0.15370269824469907,0.8235006452087296,0.39339270615772653,0.9855765405857622,0.9858490566037735
llama3.1:70b,medium,oversimplification,10,73,heldout_refit_on_rule_activations,0.1941297216334129,0.7860841166416846,0.40843230726028523,0.9855765405857622,0.9858490566037735
llama3.1,medium,subjectivity_score_nn,1,28,heldout_refit_on_rule_activations,0.8392076857555814,0.08129033805347745,0.8071380821276541,1.0,1.0
llama3.1,medium,subjectivity_score_nn,3,28,heldout_refit_on_rule_activations,0.8467140305332103,0.07753052443315651,0.7958618606342214,1.0,1.0
llama3.1,medium,subjectivity_score_nn,10,28,heldout_refit_on_rule_activations,0.8508417698532751,0.07719119192010512,0.7932368215143607,1.0,1.0
gpt-3.5-turbo,medium,explanation_length,1,53,heldout_refit_on_rule_activations,0.929617983438524,35.13094657950797,0.17874911252749245,1.0,1.0
gpt-3.5-turbo,medium,explanation_length,3,53,heldout_refit_on_rule_activations,0.9276849269769072,35.14966520634806,0.16987988816496613,1.0,1.0
gpt-3.5-turbo,medium,explanation_length,10,53,heldout_refit_on_rule_activations,0.9478820767558507,29.871707094881305,0.508136778296709,1.0,1.0
llama3.1,hard,oversimplification,1,75,heldout_refit_on_rule_activations,0.12956878018514517,0.39629706858364777,0.35654439142919414,-0.03864983095971219,0.024226110363391656
llama3.1,hard,oversimplification,3,75,heldout_refit_on_rule_activations,0.14287093768343784,0.389674277087839,0.3427526060227827,0.0887162739484091,0.12606730286288298
llama3.1,hard,oversimplification,10,75,heldout_refit_on_rule_activations,0.21018836657181306,0.39523102411703986,0.4393383080309432,0.0887162739484091,0.12606730286288298
gpt-4o,hard,explanation_length,1,22,heldout_refit_on_rule_activations,0.972141845483448,70.90143256033026,0.42529512705689526,1.0,1.0
gpt-4o,hard,explanation_length,3,22,heldout_refit_on_rule_activations,0.9775757765354374,59.37373176375512,0.7352238955682591,1.0,1.0
gpt-4o,hard,explanation_length,10,22,heldout_refit_on_rule_activations,0.9841446097564504,42.01678876148081,0.8579816710472428,1.0,1.0
gpt-4o-mini,easy,explanation_length,1,12,heldout_refit_on_rule_activations,0.9845327385940003,42.07728596209532,0.5090380074288026,1.0,1.0
gpt-4o-mini,easy,explanation_length,3,12,heldout_refit_on_rule_activations,0.9845038966157017,42.21711124377559,0.41836602120250616,1.0,1.0
