rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
conceptually dense,linear,,positive,1.67,,,,
technically complicated <= 0.70 & negative > 0.5 & interdisciplinary <= 0.70,rule,0.01,negative,1.22,0.05,1105.75,529.42,13.95
conceptually dense > 0.70 & common <= 0.89 & positive > 0.5 & positive <= 0.89 & subject to time variability <= 0.89,rule,0.83,positive,0.64,0.67,67.71,23.04,5.16
technically complicated > 0.5 & socially controversial > 0.5 & positive > 0.70 & negative <= 0.5 & subject to time variability <= 0.89,rule,0.33,positive,0.61,0.29,445.73,152.91,8.09
technically complicated <= 0.5 & socially controversial > 0.30 & socially controversial <= 0.5 & unambiguous > 0.70 & negative <= 0.5,rule,0.06,positive,0.43,0.06,272.84,85.65,6.35
technically complicated > 0.70 & socially controversial > 0.5 & socially controversial <= 0.70 & positive > 0.70 & negative <= 0.5,rule,0.11,positive,0.34,0.16,2087.25,1065.93,9.31
technically complicated <= 0.70 & common <= 0.89 & neutral <= 0.89 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.48,negative,0.32,0.39,70.58,21.27,4.02
common <= 0.89 & socially controversial > 0.30 & positive > 0.5 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.82,positive,0.3,0.66,216.32,59.21,5.29
technically complicated <= 0.70 & common <= 0.89 & socially controversial <= 0.5 & negative <= 0.5 & subject to time variability <= 0.89,rule,0.2,positive,0.29,0.28,481.19,270.46,7.22
socially controversial > 0.30 & socially controversial <= 0.89 & neutral > 0.5 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.9,positive,0.23,0.72,83.83,21.05,3.75
technically complicated > 0.5 & common > 0.70 & socially controversial <= 0.5 & positive > 0.70 & subject to geographical variability > 0.70,rule,0.14,negative,0.22,0.11,208.75,56.85,4.94
technically complicated <= 0.70 & common <= 0.89 & negative > 0.5 & neutral > 0.70,rule,0.09,negative,0.18,0.34,60.83,25.61,3.83
conceptually dense <= 0.70 & common <= 0.89 & socially controversial > 0.5 & positive > 0.5 & interdisciplinary <= 0.70,rule,0.01,negative,0.16,0.01,134.71,33.45,4.05
technically complicated <= 0.70 & socially controversial > 0.5 & positive > 0.5 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.27,negative,0.16,0.38,160.35,52.95,4.61
conceptually dense > 0.70 & technically complicated > 0.5 & socially controversial > 0.5 & positive > 0.70 & subject to time variability <= 0.89,rule,0.46,positive,0.14,0.38,173.37,52.07,4.49
conceptually dense > 0.70 & technically complicated > 0.70 & socially controversial > 0.5 & positive > 0.70 & subject to time variability <= 0.89,rule,0.27,positive,0.14,0.21,520.22,226.46,6.16
technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.89 & neutral > 0.5 & subject to geographical variability > 0.70,rule,0.36,negative,0.12,0.4,80.59,28.83,3.77
conceptually dense <= 0.70 & technically complicated <= 0.70 & socially controversial > 0.5 & interdisciplinary <= 0.70,rule,0.01,negative,0.11,0.01,1938.34,930.54,7.6
conceptually dense <= 0.70 & socially controversial > 0.5 & interdisciplinary <= 0.70,rule,0.01,negative,0.11,0.02,658.77,344.79,6.48
technically complicated <= 0.5 & socially controversial > 0.30 & socially controversial <= 0.5 & unambiguous > 0.70,rule,0.06,positive,0.1,0.05,80.76,24.92,3.52
conceptually dense <= 0.70 & socially controversial > 0.30 & subject to geographical variability > 0.70 & interdisciplinary <= 0.70 & subject to time variability > 0.70,rule,0.02,negative,0.09,0.03,77.14,29.3,3.67
technically complicated > 0.70 & common > 0.5 & socially controversial <= 0.89 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.46,positive,0.08,0.37,75.95,37.45,3.92
technically complicated > 0.70 & socially controversial > 0.5 & negative <= 0.70 & neutral > 0.5 & interdisciplinary > 0.70,rule,0.4,positive,0.08,0.32,52.31,20.93,3.28
technically complicated > 0.70 & socially controversial <= 0.89 & negative > 0.30 & neutral <= 0.89 & subject to time variability <= 0.89,rule,0.47,positive,0.05,0.37,80.68,21.06,3.19
socially controversial > 0.5 & socially controversial <= 0.70 & positive > 0.70 & negative <= 0.5 & interdisciplinary > 0.70,rule,0.2,positive,0.05,0.17,351.64,99.32,4.83
conceptually dense <= 0.70 & technically complicated <= 0.70 & socially controversial > 0.5 & subject to geographical variability > 0.70 & interdisciplinary <= 0.70,rule,0.01,negative,0.05,0.01,314.12,105.8,4.88
socially controversial > 0.30 & socially controversial <= 0.89 & positive > 0.30 & neutral <= 0.70 & interdisciplinary > 0.70,rule,0.17,positive,0.04,0.74,97.78,23.99,3.29
technically complicated > 0.70 & socially controversial > 0.5 & positive > 0.5 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.31,positive,0.04,0.29,404.27,153.34,5.24
technically complicated > 0.70 & socially controversial > 0.5 & unambiguous > 0.70 & positive > 0.70 & subject to time variability <= 0.89,rule,0.2,positive,0.04,0.21,793.63,321.46,6.01
technically complicated <= 0.70 & common <= 0.89 & socially controversial <= 0.89 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.48,negative,0.03,0.39,97.58,34.54,3.64
common <= 0.70 & positive > 0.70 & negative <= 0.5 & neutral > 0.70 & subject to geographical variability > 0.70,rule,0.15,positive,0.03,0.13,80.8,23.68,3.27
technically complicated > 0.70 & socially controversial > 0.5 & positive > 0.70 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.27,positive,0.03,0.24,112.93,55.53,4.13
technically complicated > 0.70 & socially controversial > 0.5 & positive > 0.5 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.37,positive,0.02,0.33,461.39,182.29,5.33
technically complicated > 0.70 & socially controversial > 0.5 & socially controversial <= 0.89 & positive > 0.5 & interdisciplinary > 0.70,rule,0.37,positive,0.0,0.34,130.36,47.28,3.87
socially controversial > 0.5 & socially controversial <= 0.89 & positive > 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.48,positive,0.0,0.57,79.12,21.74,3.09
