rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary,linear,,negative,3.36,,,,
common > 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.25,negative,1.61,0.2,1276.2,1102.83,18.27
common <= 0.5 & positive > 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.01,positive,0.26,0.55,58.22,34.39,4.46
common > 0.5 & common <= 0.89 & positive > 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.66,negative,0.21,0.54,629.68,392.53,7.25
common > 0.5 & socially controversial > 0.30 & positive > 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.70,rule,0.66,negative,0.19,0.54,1684.21,1050.42,8.26
unambiguous > 0.70 & positive > 0.70 & interdisciplinary <= 0.70,rule,0.06,positive,0.19,0.05,1635.08,1052.06,8.25
common <= 0.89 & socially controversial <= 0.5 & unambiguous > 0.70 & negative > 0.30 & interdisciplinary <= 0.70,rule,0.04,positive,0.17,0.04,53.16,49.0,4.57
common <= 0.5 & socially controversial > 0.5 & unambiguous <= 0.70 & negative <= 0.5,rule,0.01,positive,0.12,0.01,5.91,3.43,1.39
common > 0.70 & unambiguous > 0.70 & negative <= 0.5 & neutral > 0.70 & interdisciplinary <= 0.70,rule,0.04,positive,0.12,0.04,6.62,2.63,1.12
positive > 0.70 & positive <= 0.89 & negative <= 0.70 & neutral <= 0.89 & interdisciplinary > 0.70,rule,0.68,positive,0.12,0.54,10.75,4.85,1.78
socially controversial <= 0.5 & unambiguous > 0.70 & negative > 0.30 & negative <= 0.5 & interdisciplinary <= 0.70,rule,0.05,positive,0.12,0.04,6.95,4.85,1.76
technically complicated > 0.5 & common > 0.5 & positive > 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.70,rule,0.61,negative,0.11,0.54,1729.4,1102.83,7.75
technically complicated > 0.70 & common <= 0.70 & unambiguous > 0.70 & positive > 0.70 & neutral > 0.70,rule,0.06,positive,0.1,0.05,12.53,4.19,1.57
conceptually dense > 0.70 & technically complicated > 0.5 & common > 0.5 & positive <= 0.70 & neutral > 0.5,rule,0.25,negative,0.1,0.2,8.82,5.91,1.95
common > 0.5 & common <= 0.89 & positive > 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.70,rule,0.66,negative,0.09,0.53,362.36,219.22,5.89
conceptually dense > 0.70 & positive > 0.70 & neutral <= 0.89 & subject to geographical variability > 0.70 & interdisciplinary > 0.70,rule,0.65,positive,0.09,0.54,19.24,9.58,2.45
negative,linear,,negative,0.08,,,,
technically complicated > 0.70 & common <= 0.70 & socially controversial > 0.70 & positive > 0.70 & interdisciplinary > 0.70,rule,0.06,positive,0.08,0.12,24.18,12.3,2.71
socially controversial <= 0.5 & unambiguous > 0.70 & positive > 0.70 & interdisciplinary <= 0.70,rule,0.05,positive,0.08,0.05,1669.83,1102.83,7.57
common > 0.5 & unambiguous <= 0.70 & positive > 0.70 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.09,negative,0.06,0.09,1434.69,919.65,7.21
technically complicated > 0.70 & common > 0.70 & socially controversial <= 0.5 & positive > 0.70 & neutral <= 0.89,rule,0.03,positive,0.06,0.03,11.23,3.73,1.4
socially controversial > 0.70 & unambiguous <= 0.70 & positive > 0.70 & negative > 0.5 & interdisciplinary > 0.70,rule,0.04,positive,0.05,0.06,15.31,5.91,1.87
