rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common,linear,,negative,2.96,,,,
conceptually dense,linear,,positive,1.67,,,,
interdisciplinary,linear,,positive,0.91,,,,
conceptually dense > 0.5 & common <= 0.89 & socially controversial <= 0.70 & unambiguous > 0.70 & interdisciplinary <= 0.89,rule,0.1,positive,0.5,0.09,261.99,96.87,6.87
common <= 0.89 & socially controversial <= 0.89 & positive > 0.70 & negative <= 0.70 & interdisciplinary <= 0.89,rule,0.47,positive,0.39,0.39,292.83,130.19,6.76
common <= 0.89 & positive > 0.5 & positive <= 0.89 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.8,positive,0.36,0.65,194.62,80.08,5.95
conceptually dense > 0.70 & technically complicated > 0.5 & unambiguous > 0.70 & positive <= 0.70 & subject to geographical variability <= 0.89,rule,0.05,negative,0.36,0.17,113.86,30.74,4.64
conceptually dense <= 0.70 & common > 0.70 & common <= 0.89 & positive > 0.70 & negative <= 0.5,rule,0.04,positive,0.35,0.04,969.8,484.05,8.33
conceptually dense > 0.5 & common <= 0.89 & positive > 0.5 & negative <= 0.5 & interdisciplinary > 0.70,rule,0.11,positive,0.3,0.65,94.79,41.61,4.86
common <= 0.89 & socially controversial <= 0.89 & unambiguous <= 0.70 & positive <= 0.5 & interdisciplinary <= 0.89,rule,0.03,positive,0.25,0.03,3679.28,3083.8,10.03
common > 0.89 & socially controversial <= 0.89 & positive > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.07,negative,0.25,0.06,65.68,59.49,5.12
technically complicated > 0.70 & common > 0.70 & common <= 0.89 & positive > 0.5 & subject to geographical variability <= 0.89,rule,0.29,positive,0.24,0.3,1976.83,1486.72,9.08
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.70 & negative <= 0.70 & subject to geographical variability <= 0.89,rule,0.33,positive,0.24,0.34,1870.79,1295.99,8.88
conceptually dense > 0.5 & technically complicated <= 0.70 & common <= 0.89 & positive > 0.5 & interdisciplinary <= 0.89,rule,0.4,positive,0.23,0.32,2286.02,1771.34,9.16
technically complicated > 0.70 & common <= 0.89 & socially controversial <= 0.89 & unambiguous <= 0.70 & interdisciplinary <= 0.89,rule,0.28,positive,0.22,0.27,1246.35,841.25,8.23
