rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common,linear,,positive,1.14,,,,
technically complicated > 0.70 & common > 0.89,rule,0.04,positive,1.09,0.08,2180.72,2178.42,16.03
technically complicated <= 0.70 & common > 0.89,rule,0.07,positive,1.0,0.08,2180.72,2178.42,15.36
technically complicated > 0.5 & common > 0.89,rule,0.09,positive,0.45,0.08,2008.91,2006.24,10.99
conceptually dense <= 0.70 & technically complicated <= 0.5 & common > 0.89,rule,0.01,positive,0.21,0.01,1450.63,1446.57,8.84
technically complicated <= 0.5 & common > 0.70 & common <= 0.89 & negative <= 0.70 & subject to geographical variability <= 0.89,rule,0.02,negative,0.12,0.37,8.22,5.79,1.96
technically complicated > 0.5 & common <= 0.70 & interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.08,positive,0.11,0.07,1.91,0.59,1.11
technically complicated > 0.5 & common > 0.70 & common <= 0.89 & positive > 0.30 & negative > 0.5,rule,0.71,negative,0.09,0.56,6.58,5.18,1.79
common > 0.89 & socially controversial > 0.70,rule,0.06,positive,0.08,0.08,1693.14,1691.55,8.01
common > 0.89 & socially controversial <= 0.5 & subject to geographical variability <= 0.89,rule,0.02,positive,0.07,0.07,52.05,51.69,4.21
common > 0.89 & positive <= 0.70,rule,0.03,positive,0.07,0.08,1529.44,1527.6,7.86
technically complicated <= 0.70 & common > 0.70 & common <= 0.89 & unambiguous > 0.5 & positive > 0.70,rule,0.3,negative,0.07,0.26,37.23,32.27,3.72
common > 0.5 & common <= 0.89 & socially controversial <= 0.70 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.16,negative,0.07,0.13,139.34,130.33,5.2
conceptually dense <= 0.70 & technically complicated <= 0.70 & common > 0.5 & common <= 0.89 & positive > 0.70,rule,0.07,negative,0.07,0.06,565.83,541.13,6.72
technically complicated <= 0.70 & common > 0.5 & common <= 0.89 & socially controversial <= 0.70 & negative <= 0.5,rule,0.08,negative,0.07,0.06,383.45,361.64,6.32
technically complicated <= 0.70 & common > 0.70 & common <= 0.89 & socially controversial <= 0.89 & positive > 0.70,rule,0.29,negative,0.05,0.24,22.35,17.15,2.99
