rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
positive,linear,,positive,0.22,,,,
common > 0.5 & positive > 0.89 & negative <= 0.5 & subject to geographical variability <= 0.89,rule,0.01,positive,0.11,0.11,0.42,0.13,1.11
subject to time variability,linear,,positive,0.1,,,,
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.70 & unambiguous > 0.5 & positive <= 0.5,rule,0.07,negative,0.05,0.07,0.57,0.36,1.05
conceptually dense > 0.70 & socially controversial > 0.5 & socially controversial <= 0.70 & positive <= 0.70 & subject to geographical variability <= 0.89,rule,0.01,negative,0.05,0.01,0.71,0.27,1.05
socially controversial <= 0.5 & positive > 0.89 & negative <= 0.5 & subject to geographical variability <= 0.89,rule,0.01,positive,0.05,0.01,0.27,0.09,1.05
socially controversial > 0.89 & positive <= 0.5 & neutral <= 0.70 & interdisciplinary > 0.89,rule,0.01,negative,0.04,0.03,1.77,1.18,1.04
conceptually dense > 0.70 & common <= 0.89 & unambiguous > 0.70 & positive <= 0.70 & negative > 0.70,rule,0.05,negative,0.03,0.04,2.58,1.64,1.03
common <= 0.89 & positive <= 0.70 & negative <= 0.89 & neutral > 0.5,rule,0.29,negative,0.03,0.23,0.34,0.1,1.03
conceptually dense > 0.5 & technically complicated <= 0.70 & socially controversial > 0.30 & positive > 0.70 & negative <= 0.5,rule,0.12,positive,0.03,0.11,0.26,0.12,1.03
conceptually dense > 0.70 & unambiguous > 0.70 & positive <= 0.70 & negative > 0.70 & interdisciplinary <= 0.89,rule,0.04,negative,0.03,0.04,0.61,0.32,1.03
technically complicated > 0.70 & socially controversial > 0.70 & positive > 0.30 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.15,positive,0.03,0.12,0.83,0.38,1.03
technically complicated > 0.5 & common > 0.5 & positive > 0.70 & negative <= 0.5 & neutral <= 0.70,rule,0.02,positive,0.02,0.02,2.19,1.58,1.02
common <= 0.89 & unambiguous <= 0.70 & positive <= 0.5 & neutral > 0.5 & neutral <= 0.70,rule,0.05,negative,0.02,0.04,1.0,0.61,1.02
technically complicated <= 0.5 & common > 0.5 & positive > 0.70 & negative <= 0.5 & neutral > 0.70,rule,0.03,positive,0.02,0.09,0.31,0.14,1.02
common > 0.5 & socially controversial <= 0.89 & positive > 0.5 & negative <= 0.70 & subject to time variability <= 0.89,rule,0.61,positive,0.02,0.49,0.67,0.36,1.02
unambiguous > 0.70 & positive <= 0.5 & negative > 0.70,rule,0.03,negative,0.02,0.02,2.31,1.98,1.02
technically complicated > 0.5 & common > 0.89 & unambiguous > 0.70 & negative <= 0.70 & neutral <= 0.70,rule,0.01,positive,0.02,0.01,0.86,0.31,1.02
common <= 0.89 & positive <= 0.70 & negative > 0.70 & negative <= 0.89 & interdisciplinary > 0.89,rule,0.03,negative,0.02,0.03,0.79,0.27,1.02
conceptually dense > 0.70 & common <= 0.89 & socially controversial <= 0.89 & positive <= 0.5 & neutral <= 0.70,rule,0.05,negative,0.02,0.04,1.06,0.67,1.02
common > 0.5 & unambiguous > 0.70 & positive <= 0.70 & neutral <= 0.70 & interdisciplinary > 0.70,rule,0.06,negative,0.02,0.05,1.02,0.42,1.02
common > 0.70 & common <= 0.89 & socially controversial <= 0.70 & positive <= 0.70 & subject to geographical variability <= 0.89,rule,0.01,negative,0.02,0.01,1.0,0.55,1.02
common <= 0.89 & positive <= 0.70 & neutral <= 0.70 & subject to geographical variability > 0.89 & interdisciplinary > 0.89,rule,0.02,negative,0.02,0.01,0.48,0.16,1.02
conceptually dense > 0.5 & technically complicated > 0.5 & unambiguous > 0.70 & negative <= 0.70 & neutral <= 0.70,rule,0.07,positive,0.01,0.17,0.54,0.19,1.01
conceptually dense > 0.70 & positive <= 0.5 & negative <= 0.89 & neutral > 0.5,rule,0.09,negative,0.01,0.07,1.99,1.19,1.01
conceptually dense > 0.70 & common > 0.70 & positive <= 0.5 & neutral <= 0.70,rule,0.08,negative,0.01,0.07,0.47,0.15,1.01
common > 0.5 & common <= 0.89 & socially controversial > 0.30 & negative <= 0.70 & interdisciplinary > 0.89,rule,0.04,positive,0.01,0.45,0.43,0.21,1.01
socially controversial <= 0.5 & positive > 0.89 & subject to geographical variability <= 0.89 & subject to time variability <= 0.89,rule,0.01,positive,0.01,0.01,0.23,0.07,1.01
conceptually dense > 0.70 & common > 0.70 & positive > 0.70 & negative <= 0.5 & subject to geographical variability <= 0.89,rule,0.06,positive,0.01,0.1,1.18,0.9,1.01
conceptually dense <= 0.70 & socially controversial <= 0.5 & positive > 0.89 & negative > 0.30,rule,0.01,positive,0.01,0.01,2.33,1.97,1.01
common > 0.89 & socially controversial > 0.30 & unambiguous > 0.70 & negative <= 0.70 & neutral <= 0.70,rule,0.01,positive,0.01,0.06,2.26,1.45,1.01
conceptually dense > 0.70 & unambiguous > 0.70 & positive <= 0.70 & negative > 0.70 & negative <= 0.89,rule,0.06,negative,0.01,0.05,0.9,0.51,1.01
common > 0.70 & unambiguous > 0.70 & positive > 0.5 & negative <= 0.70 & subject to geographical variability <= 0.89,rule,0.23,positive,0.01,0.19,0.51,0.33,1.01
negative,linear,,negative,0.01,,,,
conceptually dense > 0.70 & common > 0.70 & common <= 0.89 & positive > 0.70 & negative <= 0.5,rule,0.06,positive,0.01,0.05,0.84,0.56,1.01
conceptually dense <= 0.70 & positive > 0.70 & positive <= 0.89 & negative <= 0.5 & interdisciplinary > 0.70,rule,0.06,negative,0.01,0.05,29.84,25.33,3.26
conceptually dense > 0.70 & technically complicated <= 0.70 & socially controversial <= 0.89 & unambiguous > 0.5 & positive <= 0.5,rule,0.02,negative,0.01,0.02,0.72,0.44,1.01
socially controversial > 0.89 & unambiguous <= 0.70 & positive > 0.30 & positive <= 0.5 & interdisciplinary <= 0.89,rule,0.02,positive,0.01,0.02,1.29,0.67,1.01
positive <= 0.5 & subject to geographical variability > 0.89 & interdisciplinary > 0.89 & subject to time variability <= 0.89,rule,0.01,negative,0.01,0.01,0.54,0.19,1.01
technically complicated > 0.70 & socially controversial > 0.70 & negative > 0.70 & subject to geographical variability <= 0.89 & subject to time variability <= 0.89,rule,0.15,positive,0.01,0.12,0.38,0.12,1.01
technically complicated > 0.5 & technically complicated <= 0.70 & unambiguous <= 0.70 & positive > 0.70 & negative <= 0.5,rule,0.02,positive,0.0,0.15,1.59,1.31,1.0
common <= 0.89 & socially controversial > 0.70 & positive <= 0.70 & neutral <= 0.70 & interdisciplinary > 0.70,rule,0.26,negative,0.0,0.23,0.53,0.14,1.0
unambiguous <= 0.70 & positive > 0.70 & negative > 0.70 & neutral <= 0.70,rule,0.07,positive,0.0,0.06,9.4,9.26,2.23
technically complicated <= 0.70 & common > 0.5 & socially controversial <= 0.89 & negative <= 0.70 & subject to time variability <= 0.89,rule,0.35,positive,0.0,0.29,0.46,0.24,1.0
conceptually dense > 0.5 & socially controversial > 0.30 & positive > 0.5 & negative <= 0.70 & interdisciplinary > 0.70,rule,0.62,positive,0.0,0.72,0.45,0.25,1.0
