rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common <= 0.5 & positive > 0.5 & neutral <= 0.70,rule,0.0,positive,1697.54,0.0,838856.02,728575.0,22928.37
common <= 0.5 & neutral > 0.70,rule,0.0,positive,1482.23,0.0,496886.28,375713.88,19039.54
technically complicated > 0.70 & common <= 0.5 & positive > 0.5,rule,0.0,positive,452.63,0.0,922582.7,712975.44,6113.64
common <= 0.5 & positive > 0.70,rule,0.0,positive,334.04,0.0,75088896.0,72457184.0,6063.64
conceptually dense <= 0.70 & technically complicated <= 0.70 & common <= 0.5,rule,0.0,positive,232.84,0.0,13470324.5,11083476.0,3793.07
common <= 0.5,rule,0.0,positive,137.68,0.8,52351164.0,52351164.0,2464.87
positive,linear,,positive,137.16,,,,
technically complicated <= 0.70 & common <= 0.5 & socially controversial <= 0.5,rule,0.0,positive,99.34,0.0,2291210.94,2119080.75,1461.58
common,linear,,negative,37.72,,,,
common <= 0.5 & positive > 0.5 & neutral > 0.70,rule,0.0,positive,32.2,0.0,838856.02,728575.0,448.18
common <= 0.5 & negative <= 0.70,rule,0.0,positive,31.68,0.0,85795752.0,81077448.0,595.15
subject to time variability,linear,,negative,7.91,,,,
common > 0.5 & unambiguous <= 0.70 & positive > 0.30 & positive <= 0.5,rule,0.06,positive,7.13,0.05,6527597.67,6507799.0,127.53
common > 0.5 & socially controversial > 0.5 & positive > 0.5 & positive <= 0.70 & neutral > 0.5,rule,0.23,negative,6.88,0.18,576206.46,557801.38,104.22
common > 0.5 & positive > 0.5 & positive <= 0.70 & interdisciplinary > 0.89 & subject to time variability <= 0.89,rule,0.03,negative,6.15,0.17,3452067.4,3378315.75,107.45
technically complicated <= 0.70 & common <= 0.70 & positive <= 0.5,rule,0.0,negative,5.79,0.01,232844.06,124444.21,79.64
conceptually dense > 0.70 & common > 0.89 & unambiguous > 0.70 & positive > 0.70,rule,0.02,positive,5.39,0.04,203650.94,188886.97,77.68
technically complicated > 0.5 & common > 0.5 & common <= 0.70 & socially controversial > 0.70 & positive > 0.70,rule,0.04,positive,5.35,0.05,5055678.97,4947568.5,97.85
common > 0.5 & unambiguous > 0.5 & unambiguous <= 0.70 & positive > 0.5 & positive <= 0.70,rule,0.19,negative,4.96,0.18,3730998.44,3649786.25,90.01
conceptually dense > 0.70 & common > 0.5 & socially controversial <= 0.70 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.01,negative,4.48,0.01,8701034.46,8330182.0,87.27
conceptually dense <= 0.70 & common > 0.5 & positive > 0.70 & positive <= 0.89 & interdisciplinary <= 0.89,rule,0.1,negative,3.93,0.08,3848245.05,3789700.0,74.75
common > 0.5 & socially controversial > 0.89 & positive > 0.30 & positive <= 0.5,rule,0.03,positive,3.38,0.03,3659764.5,3649786.25,66.15
conceptually dense > 0.70 & common > 0.70 & positive > 0.70 & neutral <= 0.70,rule,0.31,positive,3.15,0.42,121829.17,99322.63,47.75
common > 0.5 & positive > 0.70 & neutral <= 0.70 & interdisciplinary > 0.89 & subject to time variability <= 0.89,rule,0.02,positive,3.04,0.04,3848900.04,3789700.0,61.19
common > 0.5 & socially controversial <= 0.89 & positive > 0.30 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.21,negative,2.67,0.22,781594.18,745779.19,49.63
common > 0.89 & positive <= 0.70 & neutral <= 0.70 & interdisciplinary <= 0.89,rule,0.01,negative,2.65,0.01,506087.9,495263.84,47.92
