rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common,linear,,positive,16.5,,,,
conceptually dense,linear,,negative,9.94,,,,
common > 0.70 & socially controversial <= 0.89 & unambiguous > 0.70 & positive <= 0.5 & neutral > 0.5,rule,0.02,positive,3.34,0.02,5099.82,1621.81,32.08
common > 0.5 & socially controversial > 0.70 & unambiguous <= 0.70 & positive > 0.30 & subject to time variability <= 0.89,rule,0.58,negative,2.23,0.48,4347.05,1638.16,23.9
socially controversial,linear,,negative,2.13,,,,
conceptually dense > 0.70 & technically complicated > 0.70 & common > 0.5 & common <= 0.89 & positive > 0.5,rule,0.41,negative,2.1,0.33,36009.29,17428.05,30.28
conceptually dense > 0.70 & common <= 0.89 & positive > 0.30 & subject to geographical variability > 0.89 & interdisciplinary <= 0.89,rule,0.12,negative,1.98,0.12,55237.75,26168.19,30.35
conceptually dense <= 0.70 & socially controversial <= 0.5 & positive > 0.70 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.04,positive,1.51,0.04,15254.69,12617.09,23.69
technically complicated > 0.5 & socially controversial > 0.5 & socially controversial <= 0.70 & positive > 0.5 & neutral > 0.70,rule,0.11,negative,1.3,0.12,2234.59,745.54,15.18
common <= 0.89 & socially controversial > 0.89 & positive > 0.30 & positive <= 0.70,rule,0.06,negative,1.29,0.05,6428.06,2982.33,18.34
conceptually dense > 0.70 & common > 0.70 & socially controversial > 0.70 & neutral <= 0.70 & interdisciplinary <= 0.89,rule,0.49,negative,1.15,0.4,10154.57,3147.02,17.35
technically complicated > 0.70 & positive > 0.70 & neutral > 0.70 & interdisciplinary <= 0.89,rule,0.12,negative,0.97,0.11,4159.57,1978.78,14.99
conceptually dense > 0.70 & common <= 0.89 & positive > 0.30 & negative > 0.70 & subject to geographical variability > 0.89,rule,0.09,negative,0.96,0.11,20546.85,9944.12,18.06
common > 0.89 & unambiguous > 0.70 & positive > 0.70 & negative > 0.5,rule,0.02,negative,0.87,0.03,1873.79,1214.65,13.28
common <= 0.89 & socially controversial <= 0.89 & unambiguous <= 0.70 & positive > 0.70,rule,0.38,negative,0.87,0.45,9518.12,4867.18,15.9
positive,linear,,negative,0.8,,,,
technically complicated > 0.5 & common <= 0.89 & positive > 0.5 & subject to geographical variability <= 0.89 & subject to time variability <= 0.89,rule,0.66,negative,0.76,0.58,6077.97,1633.59,13.03
common <= 0.89 & positive > 0.30 & neutral <= 0.70 & subject to geographical variability > 0.89 & subject to time variability <= 0.89,rule,0.11,negative,0.74,0.09,9734.79,3795.85,14.36
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.70 & positive > 0.5 & neutral <= 0.70,rule,0.49,negative,0.68,0.39,3292.81,1008.33,11.61
technically complicated > 0.5 & socially controversial > 0.5 & unambiguous > 0.70 & positive > 0.5 & interdisciplinary <= 0.89,rule,0.2,negative,0.67,0.18,15330.18,8781.3,15.16
common > 0.70 & socially controversial <= 0.89 & unambiguous <= 0.70 & positive > 0.30 & positive <= 0.70,rule,0.17,positive,0.66,0.41,12735.19,5232.55,14.21
conceptually dense > 0.70 & socially controversial > 0.70 & positive > 0.5 & neutral <= 0.70,rule,0.52,negative,0.6,0.43,2386.31,702.56,10.5
common <= 0.89 & socially controversial > 0.5 & positive > 0.30 & subject to geographical variability > 0.89 & subject to time variability <= 0.89,rule,0.13,negative,0.57,0.1,9911.09,3509.87,12.78
technically complicated <= 0.70 & socially controversial <= 0.89 & positive > 0.5 & negative <= 0.70,rule,0.36,positive,0.52,0.36,2712.01,1086.81,10.59
technically complicated <= 0.70 & common <= 0.89 & socially controversial > 0.5 & positive > 0.5 & interdisciplinary <= 0.89,rule,0.37,negative,0.44,0.29,5078.55,1723.74,10.75
conceptually dense > 0.70 & technically complicated > 0.70 & positive > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.3,negative,0.43,0.28,15499.87,7384.05,12.77
technically complicated > 0.70 & socially controversial <= 0.89 & neutral <= 0.70 & interdisciplinary > 0.89 & subject to time variability <= 0.89,rule,0.05,positive,0.4,0.04,3152.02,1001.82,9.7
technically complicated <= 0.70 & socially controversial > 0.5 & socially controversial <= 0.89 & positive <= 0.70 & subject to geographical variability <= 0.89,rule,0.08,positive,0.4,0.08,3120.25,1187.48,9.88
common > 0.70 & socially controversial > 0.5 & positive > 0.70 & neutral > 0.70,rule,0.23,negative,0.38,0.45,2860.63,922.55,9.43
conceptually dense > 0.70 & technically complicated > 0.70 & positive > 0.70 & interdisciplinary <= 0.89 & subject to time variability <= 0.89,rule,0.24,negative,0.38,0.31,6114.95,2285.17,10.67
conceptually dense > 0.70 & common > 0.70 & positive > 0.70 & neutral > 0.5 & interdisciplinary <= 0.89,rule,0.47,negative,0.34,0.56,3798.96,1212.19,9.51
conceptually dense > 0.70 & technically complicated <= 0.70 & common <= 0.89 & socially controversial > 0.70 & interdisciplinary <= 0.89,rule,0.29,negative,0.31,0.24,27623.76,13742.19,12.47
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.70 & unambiguous <= 0.70 & positive > 0.30,rule,0.57,negative,0.31,0.49,47597.28,25760.99,13.35
technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.89 & positive > 0.30 & subject to time variability <= 0.89,rule,0.43,positive,0.3,0.37,2483.18,633.94,8.38
common > 0.89 & socially controversial <= 0.89 & positive <= 0.70,rule,0.02,positive,0.23,0.18,1797.62,879.84,8.35
common > 0.5 & common <= 0.70 & unambiguous <= 0.70 & positive > 0.5,rule,0.07,negative,0.22,0.06,4097.83,1626.97,9.04
common > 0.5 & common <= 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & unambiguous <= 0.70,rule,0.06,negative,0.2,0.05,2893.62,1346.65,8.67
common > 0.70 & socially controversial > 0.5 & socially controversial <= 0.89 & positive <= 0.5,rule,0.05,positive,0.17,0.17,3232.32,1493.38,8.52
technically complicated > 0.5 & common <= 0.89 & socially controversial > 0.5 & unambiguous > 0.70 & positive > 0.5,rule,0.19,negative,0.17,0.17,14357.16,9219.15,10.69
conceptually dense > 0.70 & technically complicated <= 0.70 & common <= 0.89 & positive > 0.5 & interdisciplinary <= 0.89,rule,0.32,negative,0.14,0.26,10247.17,4085.44,9.52
conceptually dense > 0.70 & common > 0.5 & socially controversial <= 0.89 & positive > 0.70 & negative > 0.70,rule,0.08,negative,0.14,0.43,6448.65,1796.51,8.54
conceptually dense > 0.70 & socially controversial > 0.70 & unambiguous > 0.5 & positive > 0.30 & neutral <= 0.70,rule,0.6,negative,0.09,0.49,2756.45,667.64,7.07
common > 0.70 & socially controversial > 0.70 & positive <= 0.70 & negative > 0.70 & subject to geographical variability <= 0.89,rule,0.17,positive,0.07,0.15,18573.88,8594.65,9.7
common > 0.70 & socially controversial <= 0.89 & positive > 0.70 & negative > 0.70,rule,0.07,negative,0.07,0.47,2577.14,879.84,7.24
socially controversial <= 0.89 & unambiguous <= 0.70 & positive > 0.70 & subject to time variability <= 0.89,rule,0.4,negative,0.05,0.47,3505.61,1144.02,7.38
technically complicated > 0.5 & technically complicated <= 0.70 & common <= 0.89 & socially controversial > 0.5 & interdisciplinary <= 0.89,rule,0.38,negative,0.05,0.31,7733.03,2913.24,8.35
conceptually dense > 0.70 & common > 0.70 & common <= 0.89 & socially controversial <= 0.89 & positive > 0.5,rule,0.61,negative,0.0,0.52,27632.45,11499.39,9.38
