rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
neutral,linear,,negative,0.33,,,,
conceptually dense <= 0.70 & common <= 0.89 & negative <= 0.89 & neutral <= 0.5,rule,0.02,positive,0.11,0.02,34.33,28.11,3.7
common <= 0.70 & socially controversial <= 0.5 & unambiguous > 0.5 & positive <= 0.70 & interdisciplinary > 0.5,rule,0.02,negative,0.1,0.01,17.66,9.11,2.42
common > 0.5 & positive > 0.5 & negative > 0.5 & neutral > 0.5 & subject to geographical variability > 0.89,rule,0.01,negative,0.1,0.01,5.62,1.46,1.1
common <= 0.89 & socially controversial > 0.30 & unambiguous <= 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.64,positive,0.1,0.52,4.52,1.5,1.1
socially controversial > 0.30 & positive <= 0.5 & negative > 0.70 & subject to time variability <= 0.89,rule,0.14,positive,0.09,0.14,4.81,1.5,1.09
technically complicated > 0.5 & socially controversial <= 0.5 & unambiguous > 0.5 & positive > 0.30 & negative > 0.5,rule,0.02,negative,0.09,0.02,11.61,4.2,1.57
conceptually dense > 0.5 & technically complicated <= 0.70 & common <= 0.5 & socially controversial > 0.30 & subject to time variability <= 0.70,rule,0.02,positive,0.08,0.02,8.96,5.07,1.75
common > 0.70 & unambiguous > 0.5 & positive > 0.70 & neutral > 0.5 & neutral <= 0.70,rule,0.13,positive,0.08,0.22,260.22,162.4,5.48
common > 0.70 & socially controversial > 0.30 & unambiguous > 0.5 & positive <= 0.89 & interdisciplinary > 0.5,rule,0.27,negative,0.07,0.23,21.29,7.29,2.12
common <= 0.89 & socially controversial > 0.30 & positive > 0.70 & negative <= 0.5 & neutral > 0.5,rule,0.43,positive,0.07,0.35,4.79,1.36,1.07
common > 0.70 & unambiguous > 0.5 & positive > 0.70 & neutral > 0.70 & interdisciplinary <= 0.70,rule,0.06,negative,0.07,0.08,29.43,16.31,3.0
common > 0.5 & positive > 0.30 & positive <= 0.89 & neutral > 0.5 & subject to geographical variability <= 0.89,rule,0.68,negative,0.07,0.55,6.11,1.58,1.07
technically complicated <= 0.70 & common <= 0.70 & socially controversial <= 0.5 & unambiguous > 0.5 & negative <= 0.5,rule,0.13,positive,0.07,0.14,21.66,7.14,2.1
technically complicated > 0.5 & socially controversial > 0.89 & positive <= 0.5 & neutral <= 0.5 & interdisciplinary <= 0.89,rule,0.01,positive,0.06,0.01,4.37,1.84,1.06
conceptually dense > 0.5 & technically complicated <= 0.5 & negative <= 0.30 & neutral > 0.70 & subject to time variability > 0.5,rule,0.01,positive,0.06,0.02,7.46,2.61,1.06
unambiguous > 0.5 & negative <= 0.5 & neutral <= 0.70 & subject to geographical variability <= 0.70 & interdisciplinary <= 0.70,rule,0.02,positive,0.06,0.02,37.94,23.23,3.35
conceptually dense <= 0.70 & common > 0.70 & positive > 0.5 & neutral <= 0.70 & interdisciplinary <= 0.70,rule,0.06,positive,0.06,0.06,14.92,4.21,1.52
common <= 0.70 & socially controversial > 0.30 & unambiguous <= 0.70 & positive <= 0.89 & subject to geographical variability > 0.70,rule,0.49,positive,0.06,0.4,7.56,2.06,1.06
common > 0.70 & negative > 0.30 & neutral > 0.5 & interdisciplinary <= 0.89,rule,0.27,negative,0.06,0.25,8.89,4.68,1.64
socially controversial > 0.5 & unambiguous <= 0.70 & positive <= 0.5 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.12,positive,0.05,0.09,6.72,3.23,1.24
conceptually dense <= 0.70 & technically complicated > 0.5 & positive > 0.5 & neutral <= 0.70 & interdisciplinary > 0.70,rule,0.05,negative,0.05,0.06,12.09,3.95,1.45
common <= 0.70 & positive <= 0.89 & subject to geographical variability <= 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.03,negative,0.05,0.02,6.93,2.06,1.05
socially controversial > 0.30 & socially controversial <= 0.70 & unambiguous > 0.5 & negative <= 0.5,rule,0.39,positive,0.05,0.32,4.04,1.39,1.05
negative > 0.30 & negative <= 0.5 & neutral > 0.5 & neutral <= 0.70 & interdisciplinary <= 0.89,rule,0.25,negative,0.05,0.21,18.62,9.66,2.38
technically complicated > 0.5 & socially controversial <= 0.70 & unambiguous <= 0.70 & negative > 0.5 & neutral <= 0.70,rule,0.12,negative,0.05,0.12,8.45,2.46,1.05
common > 0.30 & common <= 0.70 & socially controversial > 0.30 & unambiguous <= 0.5 & negative > 0.30,rule,0.19,positive,0.04,0.22,5.74,1.89,1.04
technically complicated <= 0.70 & common <= 0.70 & socially controversial <= 0.70 & unambiguous <= 0.70 & positive <= 0.5,rule,0.02,positive,0.04,0.05,4.57,1.6,1.04
technically complicated <= 0.5 & socially controversial > 0.5 & socially controversial <= 0.70 & unambiguous > 0.5 & subject to time variability > 0.70,rule,0.02,positive,0.04,0.04,20.48,9.41,2.34
common <= 0.89 & unambiguous <= 0.5 & interdisciplinary > 0.5 & subject to time variability > 0.5 & subject to time variability <= 0.89,rule,0.27,positive,0.04,0.22,3.47,1.85,1.04
common > 0.5 & positive <= 0.70 & negative <= 0.70 & neutral <= 0.5 & interdisciplinary > 0.70,rule,0.04,negative,0.04,0.04,7.61,2.5,1.04
