rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
positive,linear,,positive,0.63,,,,
unambiguous > 0.5 & positive <= 0.70 & interdisciplinary <= 0.5,rule,0.0,negative,0.5,0.01,3172.04,3074.45,12.02
common > 0.5 & positive > 0.5 & positive <= 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.18,negative,0.45,0.23,1736.97,1262.31,10.36
unambiguous > 0.5 & positive <= 0.70 & neutral > 0.5 & interdisciplinary <= 0.5,rule,0.0,negative,0.44,0.0,3280.96,3195.84,11.58
socially controversial <= 0.30 & positive <= 0.5 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.0,negative,0.42,0.0,1005.7,923.24,9.7
positive <= 0.70 & interdisciplinary > 0.89,rule,0.01,positive,0.32,0.26,1153.11,1114.19,9.29
positive <= 0.70 & interdisciplinary <= 0.5 & subject to time variability <= 0.5,rule,0.0,negative,0.29,0.01,291.49,283.28,7.26
common <= 0.89 & positive <= 0.70 & negative <= 0.89 & subject to geographical variability > 0.89 & interdisciplinary > 0.70,rule,0.04,negative,0.28,0.03,23.16,9.04,2.82
socially controversial <= 0.70 & unambiguous > 0.5 & positive <= 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.08,negative,0.28,0.12,770.95,571.91,8.15
common > 0.89 & positive > 0.30 & positive <= 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.0,negative,0.27,0.0,18.61,9.66,2.87
technically complicated > 0.70 & positive <= 0.70 & negative > 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.03,negative,0.23,0.02,153.95,107.87,5.74
technically complicated > 0.5 & socially controversial > 0.5 & positive <= 0.70 & interdisciplinary <= 0.5,rule,0.0,negative,0.21,0.0,25.51,24.0,3.83
technically complicated > 0.70 & common > 0.5 & positive <= 0.70 & neutral > 0.5 & interdisciplinary <= 0.89,rule,0.06,negative,0.21,0.16,30.88,16.25,3.39
socially controversial > 0.70 & unambiguous > 0.5 & positive > 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.04,negative,0.21,0.06,325.06,239.69,6.66
common > 0.5 & positive <= 0.70 & negative <= 0.70 & interdisciplinary <= 0.5,rule,0.0,negative,0.2,0.0,985.94,961.07,8.25
socially controversial > 0.70 & positive <= 0.5 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.09,negative,0.2,0.07,113.37,88.33,5.38
technically complicated <= 0.70 & common > 0.5 & positive <= 0.70 & neutral > 0.5 & interdisciplinary <= 0.89,rule,0.15,negative,0.17,0.16,30.88,16.25,3.27
common > 0.89 & positive > 0.30 & positive <= 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.0,negative,0.16,0.0,15.88,9.04,2.56
technically complicated > 0.5 & unambiguous > 0.5 & positive <= 0.5 & interdisciplinary > 0.70,rule,0.06,negative,0.16,0.05,57.09,37.87,4.2
technically complicated <= 0.70 & common > 0.70 & positive <= 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.12,negative,0.15,0.2,379.04,269.38,6.41
unambiguous > 0.70 & positive > 0.30 & positive <= 0.70 & negative > 0.5 & interdisciplinary > 0.70,rule,0.0,negative,0.14,0.0,19.16,11.27,2.77
common > 0.5 & positive <= 0.70 & interdisciplinary <= 0.5 & subject to time variability > 0.5,rule,0.0,negative,0.14,0.0,240.9,230.44,6.22
technically complicated > 0.70 & unambiguous > 0.5 & positive <= 0.70 & neutral > 0.70 & interdisciplinary <= 0.89,rule,0.01,negative,0.14,0.01,33.7,22.76,3.58
conceptually dense <= 0.5 & positive <= 0.70 & neutral > 0.5 & interdisciplinary <= 0.70 & subject to time variability <= 0.70,rule,0.0,negative,0.13,0.0,28.84,20.32,3.41
common <= 0.89 & positive <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.27,negative,0.13,0.25,19.85,9.66,2.56
