rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
neutral,linear,,negative,0.29,,,,
conceptually dense <= 0.70 & technically complicated <= 0.70 & common <= 0.89 & unambiguous <= 0.70 & positive > 0.5,rule,0.01,positive,0.26,0.01,97.79,49.73,4.94
unambiguous <= 0.70 & positive > 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.02,positive,0.26,0.06,15.8,5.8,2.21
common <= 0.89 & socially controversial <= 0.89 & unambiguous <= 0.70 & negative > 0.70 & subject to geographical variability > 0.89,rule,0.02,positive,0.16,0.09,11.08,3.86,1.57
technically complicated > 0.70 & socially controversial > 0.70 & unambiguous <= 0.5 & positive > 0.30 & neutral > 0.5,rule,0.03,negative,0.16,0.03,25.98,6.95,2.24
unambiguous > 0.70 & positive > 0.5 & negative > 0.70 & neutral > 0.70 & subject to geographical variability > 0.89,rule,0.01,positive,0.13,0.01,11.24,4.77,1.76
technically complicated <= 0.5 & common <= 0.89 & socially controversial > 0.30 & subject to geographical variability > 0.5 & subject to time variability <= 0.70,rule,0.02,positive,0.13,0.03,16.79,6.54,2.13
common <= 0.89 & socially controversial <= 0.89 & unambiguous > 0.70 & positive > 0.89 & subject to time variability > 0.5,rule,0.01,positive,0.12,0.01,34.56,17.1,3.19
conceptually dense > 0.70 & conceptually dense <= 0.89 & unambiguous <= 0.70 & subject to geographical variability <= 0.70 & subject to time variability > 0.5,rule,0.01,positive,0.12,0.01,10.02,3.7,1.46
technically complicated > 0.5 & common <= 0.89 & unambiguous <= 0.70 & positive > 0.70 & interdisciplinary <= 0.89,rule,0.06,positive,0.12,0.07,16.28,4.77,1.75
socially controversial > 0.70 & socially controversial <= 0.89 & neutral <= 0.5 & subject to geographical variability <= 0.89,rule,0.01,positive,0.11,0.08,8.41,3.09,1.25
common <= 0.89 & socially controversial > 0.5 & unambiguous <= 0.5 & negative <= 0.89 & neutral <= 0.70,rule,0.05,positive,0.11,0.04,21.41,6.98,2.15
conceptually dense <= 0.89 & common <= 0.89 & unambiguous <= 0.5 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.03,positive,0.11,0.04,15.28,3.92,1.51
