rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
technically complicated <= 0.5 & common > 0.89 & negative <= 0.70 & subject to time variability > 0.5,rule,0.01,positive,0.13,0.01,30.54,28.1,3.76
conceptually dense > 0.70 & common > 0.89 & socially controversial > 0.5 & subject to time variability > 0.5,rule,0.01,positive,0.09,0.01,0.92,0.48,1.09
common > 0.89 & positive > 0.30 & positive <= 0.89 & negative > 0.30 & interdisciplinary > 0.89,rule,0.02,positive,0.07,0.02,1.02,0.76,1.07
common > 0.89 & unambiguous > 0.5 & positive > 0.30 & subject to geographical variability > 0.5 & subject to time variability <= 0.89,rule,0.03,positive,0.07,0.02,0.96,0.41,1.07
technically complicated <= 0.70 & common > 0.89 & socially controversial <= 0.89 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.02,positive,0.07,0.02,2.48,1.57,1.07
technically complicated <= 0.5 & common > 0.89 & positive <= 0.89 & negative <= 0.70 & subject to geographical variability > 0.5,rule,0.01,positive,0.07,0.01,36.85,33.66,3.77
technically complicated <= 0.70 & common > 0.89 & positive > 0.60 & neutral > 0.70 & subject to geographical variability > 0.5,rule,0.02,positive,0.06,0.01,2.21,0.75,1.06
conceptually dense > 0.70 & technically complicated > 0.5 & common > 0.89 & socially controversial > 0.5 & negative > 0.5,rule,0.01,positive,0.06,0.01,14.69,12.23,2.65
conceptually dense > 0.70 & technically complicated <= 0.70 & common > 0.70 & subject to geographical variability <= 0.89,rule,0.23,positive,0.05,0.21,0.71,0.25,1.05
conceptually dense > 0.70 & technically complicated > 0.5 & common > 0.89 & socially controversial > 0.5 & negative > 0.70,rule,0.01,positive,0.05,0.01,37.47,33.66,3.69
conceptually dense > 0.70 & technically complicated <= 0.5 & common > 0.70 & common <= 0.89 & socially controversial <= 0.70,rule,0.03,positive,0.04,0.02,5.56,2.84,1.09
common <= 0.89 & socially controversial > 0.89 & positive <= 0.5 & neutral <= 0.5 & subject to geographical variability <= 0.89,rule,0.01,positive,0.03,0.02,4.92,2.3,1.03
common <= 0.89 & unambiguous <= 0.70 & positive <= 0.30 & neutral <= 0.70 & interdisciplinary > 0.89,rule,0.01,positive,0.03,0.01,31.03,21.89,3.19
socially controversial > 0.89 & negative > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89 & subject to time variability <= 0.89,rule,0.04,positive,0.03,0.04,2.09,0.61,1.03
common <= 0.89 & socially controversial > 0.89 & unambiguous <= 0.5 & positive > 0.30 & negative > 0.30,rule,0.02,negative,0.03,0.06,0.92,0.36,1.03
technically complicated <= 0.5 & common > 0.70 & positive > 0.30 & neutral > 0.5 & subject to geographical variability <= 0.89,rule,0.11,positive,0.03,0.1,1.3,0.35,1.03
conceptually dense > 0.70 & technically complicated <= 0.5 & common <= 0.89 & neutral > 0.70 & subject to geographical variability <= 0.89,rule,0.05,positive,0.03,0.04,48.17,30.76,3.54
technically complicated <= 0.70 & common > 0.5 & common <= 0.89 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.12,positive,0.03,0.1,9.36,5.36,1.73
socially controversial > 0.70 & positive <= 0.70 & negative > 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.1,positive,0.03,0.08,1.7,0.56,1.03
common <= 0.89 & unambiguous > 0.70 & negative > 0.30 & negative <= 0.70 & neutral > 0.5,rule,0.4,negative,0.03,0.45,0.8,0.21,1.03
conceptually dense <= 0.89 & technically complicated > 0.70 & socially controversial > 0.70 & negative <= 0.5 & interdisciplinary > 0.89,rule,0.04,positive,0.02,0.04,1.04,0.27,1.02
technically complicated <= 0.70 & common <= 0.89 & socially controversial <= 0.89 & positive > 0.5 & interdisciplinary <= 0.89,rule,0.2,negative,0.02,0.18,0.93,0.38,1.02
conceptually dense <= 0.89 & common <= 0.89 & unambiguous > 0.5 & negative > 0.70 & neutral > 0.5,rule,0.26,negative,0.02,0.21,1.16,0.31,1.02
technically complicated > 0.70 & common <= 0.70 & socially controversial > 0.5 & positive <= 0.5,rule,0.02,positive,0.02,0.07,2.42,1.41,1.02
conceptually dense > 0.70 & common > 0.5 & negative > 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.11,positive,0.02,0.12,0.59,0.18,1.02
technically complicated <= 0.5 & common > 0.89 & socially controversial <= 0.89 & positive > 0.30 & positive <= 0.89,rule,0.01,positive,0.02,0.02,1.44,0.63,1.02
socially controversial <= 0.89 & unambiguous <= 0.5 & negative > 0.70 & neutral > 0.5 & subject to time variability <= 0.89,rule,0.02,positive,0.02,0.04,1.13,0.29,1.02
common <= 0.89 & socially controversial <= 0.89 & unambiguous > 0.5 & negative <= 0.89 & subject to time variability <= 0.89,rule,0.83,negative,0.01,0.68,0.9,0.23,1.01
technically complicated <= 0.70 & common > 0.5 & unambiguous <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.05,positive,0.01,0.1,1.86,0.46,1.01
technically complicated <= 0.70 & socially controversial > 0.70 & positive <= 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.05,positive,0.01,0.08,0.87,0.28,1.01
technically complicated > 0.5 & common > 0.5 & socially controversial <= 0.89 & unambiguous <= 0.5 & interdisciplinary <= 0.89,rule,0.02,negative,0.01,0.02,1.43,0.41,1.01
conceptually dense > 0.70 & technically complicated <= 0.70 & negative > 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.06,positive,0.01,0.1,0.66,0.2,1.01
common <= 0.89 & socially controversial > 0.70 & unambiguous <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.17,positive,0.01,0.22,1.42,0.39,1.01
common,linear,,positive,0.01,,,,
technically complicated <= 0.5 & common > 0.70 & unambiguous <= 0.70 & negative <= 0.5 & neutral > 0.70,rule,0.01,positive,0.01,0.01,1.57,0.55,1.01
unambiguous <= 0.70 & positive > 0.5 & neutral > 0.5 & neutral <= 0.70 & subject to time variability <= 0.89,rule,0.06,positive,0.01,0.06,1.14,0.36,1.01
common <= 0.89 & negative > 0.30 & neutral > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.28,negative,0.01,0.24,0.74,0.36,1.01
common <= 0.89 & unambiguous <= 0.70 & negative > 0.30 & negative <= 0.89 & interdisciplinary <= 0.89,rule,0.09,negative,0.01,0.3,1.02,0.31,1.01
conceptually dense > 0.70 & common > 0.89 & neutral <= 0.70 & subject to geographical variability > 0.5,rule,0.01,positive,0.01,0.02,0.82,0.55,1.01
technically complicated > 0.5 & common > 0.5 & unambiguous <= 0.5 & neutral <= 0.70 & interdisciplinary <= 0.89,rule,0.01,negative,0.01,0.01,1.0,0.49,1.01
technically complicated > 0.70 & socially controversial > 0.5 & negative <= 0.89 & interdisciplinary > 0.89,rule,0.31,positive,0.01,0.38,0.58,0.26,1.01
common <= 0.89 & negative > 0.30 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.51,positive,0.01,0.64,0.8,0.24,1.01
conceptually dense > 0.5 & technically complicated <= 0.5 & common > 0.70 & common <= 0.89 & subject to geographical variability <= 0.89,rule,0.08,positive,0.01,0.07,0.9,0.36,1.01
conceptually dense > 0.70 & technically complicated > 0.70 & common > 0.70 & common <= 0.89 & socially controversial > 0.5,rule,0.25,negative,0.01,0.21,0.66,0.29,1.01
conceptually dense > 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & unambiguous > 0.70 & negative <= 0.70,rule,0.08,negative,0.01,0.06,0.85,0.22,1.01
technically complicated > 0.70 & common > 0.5 & common <= 0.89 & unambiguous <= 0.5 & positive > 0.30,rule,0.04,negative,0.01,0.03,0.92,0.32,1.01
conceptually dense > 0.5 & technically complicated <= 0.5 & unambiguous > 0.70 & subject to geographical variability > 0.70 & subject to time variability <= 0.70,rule,0.02,positive,0.01,0.02,0.75,0.27,1.01
technically complicated > 0.5 & technically complicated <= 0.70 & unambiguous <= 0.5 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.01,positive,0.01,0.1,1.32,0.33,1.01
socially controversial <= 0.89 & unambiguous > 0.5 & positive <= 0.70 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.13,negative,0.01,0.41,0.76,0.29,1.01
common > 0.89 & unambiguous > 0.5 & subject to geographical variability > 0.70 & subject to time variability > 0.5,rule,0.03,positive,0.01,0.02,1.19,0.73,1.01
technically complicated <= 0.5 & common > 0.89 & positive > 0.30 & negative <= 0.70 & subject to time variability > 0.5,rule,0.01,positive,0.01,0.01,13.63,11.67,2.48
technically complicated > 0.5 & common <= 0.89 & socially controversial > 0.5 & socially controversial <= 0.70 & negative <= 0.5,rule,0.05,negative,0.01,0.07,4.32,2.84,1.05
conceptually dense > 0.70 & technically complicated > 0.5 & common <= 0.89 & socially controversial <= 0.5 & neutral > 0.70,rule,0.31,negative,0.01,0.27,5.17,3.29,1.2
technically complicated > 0.5 & common <= 0.89 & positive <= 0.70 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.13,negative,0.01,0.1,2.48,1.49,1.01
technically complicated > 0.5 & common <= 0.89 & neutral > 0.70 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.45,negative,0.01,0.37,6.74,4.35,1.49
common <= 0.89 & socially controversial > 0.70 & positive <= 0.5 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.08,positive,0.01,0.07,10.81,7.52,2.04
conceptually dense <= 0.89 & technically complicated > 0.70 & common <= 0.89 & socially controversial > 0.70 & negative > 0.5,rule,0.22,negative,0.01,0.18,4.69,2.91,1.08
