rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary,linear,,positive,2.37,,,,
positive,linear,,positive,1.06,,,,
positive <= 0.70 & neutral <= 0.70 & interdisciplinary <= 0.89,rule,0.03,negative,0.42,0.06,3266.06,1939.03,10.78
positive <= 0.70 & neutral > 0.70 & interdisciplinary <= 0.89,rule,0.04,negative,0.41,0.06,3266.06,1939.03,10.68
socially controversial > 0.89 & unambiguous > 0.5 & positive <= 0.70 & neutral > 0.5 & interdisciplinary <= 0.89,rule,0.01,negative,0.4,0.04,83.12,48.43,5.43
common > 0.5 & positive > 0.5 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.01,negative,0.39,0.05,72.16,38.59,5.08
common > 0.5 & positive > 0.30 & positive <= 0.70 & negative <= 0.89 & interdisciplinary <= 0.89,rule,0.06,negative,0.33,0.05,13.03,5.88,2.36
conceptually dense > 0.5 & socially controversial <= 0.70 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.03,negative,0.23,0.02,1189.33,697.47,8.04
common > 0.5 & socially controversial <= 0.89 & positive > 0.70 & neutral <= 0.89 & interdisciplinary <= 0.89,rule,0.29,positive,0.2,0.23,68.02,62.43,4.95
technically complicated > 0.5 & positive <= 0.70 & neutral > 0.5 & interdisciplinary <= 0.89 & subject to time variability > 0.5,rule,0.05,negative,0.2,0.04,147.01,84.03,5.32
socially controversial <= 0.89 & positive <= 0.70 & neutral > 0.70 & interdisciplinary <= 0.89,rule,0.04,negative,0.19,0.04,36.86,19.36,3.52
unambiguous > 0.70 & positive <= 0.70 & negative <= 0.70 & subject to geographical variability > 0.5 & interdisciplinary <= 0.89,rule,0.01,negative,0.19,0.01,835.21,493.41,7.38
conceptually dense > 0.5 & positive > 0.5 & positive <= 0.70 & neutral > 0.5 & interdisciplinary <= 0.89,rule,0.01,negative,0.18,0.05,172.57,99.44,5.43
socially controversial > 0.89 & positive <= 0.30 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.0,negative,0.15,0.0,14.13,10.33,2.68
conceptually dense <= 0.70 & technically complicated <= 0.5 & common <= 0.89 & positive > 0.70 & interdisciplinary <= 0.89,rule,0.05,positive,0.14,0.05,639.66,589.61,7.28
common > 0.5 & positive > 0.70 & interdisciplinary > 0.89,rule,0.41,positive,0.14,0.34,1595.72,1478.85,8.33
unambiguous > 0.70 & positive <= 0.70 & negative <= 0.5 & interdisciplinary <= 0.89 & subject to time variability > 0.5,rule,0.0,negative,0.12,0.0,40.6,19.28,3.33
technically complicated <= 0.5 & unambiguous <= 0.5 & positive <= 0.70 & neutral <= 0.5 & interdisciplinary <= 0.89,rule,0.0,negative,0.12,0.0,1309.47,767.49,7.45
unambiguous > 0.70 & positive <= 0.30 & neutral <= 0.70 & interdisciplinary > 0.89,rule,0.01,positive,0.11,0.02,1103.59,1090.03,7.73
conceptually dense > 0.70 & positive <= 0.5 & neutral > 0.70 & interdisciplinary <= 0.89,rule,0.03,negative,0.11,0.03,240.82,235.28,6.07
common <= 0.89 & positive > 0.30 & positive <= 0.70 & negative <= 0.89 & interdisciplinary > 0.89,rule,0.16,negative,0.11,0.13,272.7,157.3,5.62
technically complicated > 0.5 & positive > 0.30 & positive <= 0.70 & subject to geographical variability > 0.70 & interdisciplinary <= 0.89,rule,0.05,negative,0.1,0.04,133.68,77.82,4.78
positive > 0.5 & positive <= 0.70 & neutral <= 0.89 & interdisciplinary > 0.89,rule,0.03,negative,0.1,0.14,936.29,553.7,6.98
socially controversial > 0.70 & positive <= 0.70 & subject to geographical variability > 0.70 & interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.05,negative,0.1,0.05,43.81,24.35,3.52
technically complicated > 0.5 & positive > 0.30 & positive <= 0.70 & neutral > 0.5 & interdisciplinary <= 0.89,rule,0.05,negative,0.09,0.04,222.31,131.05,5.3
