rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary,linear,,positive,57.4,,,,
common <= 0.5 & positive > 0.5 & interdisciplinary > 0.89,rule,0.02,negative,8.79,0.02,288711.51,267430.5,122.35
common <= 0.5 & positive > 0.5 & interdisciplinary <= 0.89,rule,0.01,negative,5.17,0.25,4031.22,3838.39,50.92
technically complicated > 0.5 & common > 0.5 & positive > 0.70 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.39,positive,1.4,0.32,171588.16,155115.67,28.72
conceptually dense > 0.5 & common <= 0.5 & positive > 0.5 & neutral > 0.5 & interdisciplinary <= 0.89,rule,0.01,negative,1.32,0.01,1738.94,1618.23,17.16
conceptually dense > 0.5 & common > 0.5 & positive > 0.70 & interdisciplinary <= 0.89 & subject to time variability <= 0.89,rule,0.25,positive,1.05,0.21,1201.33,1069.21,14.29
common > 0.70 & socially controversial <= 0.89 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.05,negative,0.92,0.05,2929.8,2813.11,15.24
conceptually dense > 0.89 & common > 0.5 & unambiguous > 0.5 & negative <= 0.5 & interdisciplinary > 0.89,rule,0.01,positive,0.87,0.01,1663.5,1442.91,13.58
technically complicated > 0.70 & common > 0.5 & unambiguous > 0.5 & positive > 0.70 & interdisciplinary > 0.89,rule,0.29,positive,0.85,0.25,292905.39,263445.41,23.04
conceptually dense > 0.5 & common > 0.89 & unambiguous > 0.5 & interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.01,negative,0.82,0.01,3168.7,2902.76,14.55
common,linear,,positive,0.81,,,,
common <= 0.89 & positive <= 0.5 & interdisciplinary <= 0.89 & subject to time variability <= 0.70,rule,0.0,negative,0.73,0.07,2507.52,2330.37,13.44
positive,linear,,positive,0.71,,,,
socially controversial > 0.89 & unambiguous > 0.5 & positive > 0.70 & subject to geographical variability > 0.89 & interdisciplinary > 0.89,rule,0.01,positive,0.66,0.01,1006.37,790.93,11.09
common > 0.5 & common <= 0.70 & positive > 0.70 & neutral > 0.70 & interdisciplinary <= 0.89,rule,0.03,positive,0.64,0.03,22689.89,21804.69,16.34
technically complicated <= 0.70 & common > 0.70 & positive <= 0.70 & negative <= 0.70 & interdisciplinary <= 0.89,rule,0.0,negative,0.63,0.01,81915.16,80277.33,18.39
technically complicated > 0.5 & socially controversial <= 0.89 & positive <= 0.70 & neutral > 0.70 & interdisciplinary <= 0.89,rule,0.04,negative,0.62,0.04,801.04,635.87,10.49
common > 0.70 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.06,negative,0.58,0.24,1114.81,1040.29,10.99
technically complicated <= 0.70 & socially controversial <= 0.5 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.0,negative,0.57,0.02,243656.99,238975.62,19.42
technically complicated <= 0.70 & socially controversial > 0.70 & positive > 0.30 & negative > 0.70 & interdisciplinary > 0.89,rule,0.05,positive,0.56,0.16,779.3,676.57,10.17
