rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary,linear,,positive,0.71,,,,
common,linear,,positive,0.41,,,,
common <= 0.89 & unambiguous > 0.5 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.06,negative,0.34,0.05,649.92,401.76,8.05
conceptually dense <= 0.89 & common <= 0.5 & positive > 0.5 & negative <= 0.89 & subject to geographical variability <= 0.89,rule,0.02,negative,0.33,0.02,5.31,2.78,1.36
subject to time variability,linear,,negative,0.31,,,,
conceptually dense > 0.5 & common > 0.5 & common <= 0.89 & positive > 0.70 & neutral <= 0.70,rule,0.06,positive,0.24,0.05,18.19,7.55,2.5
socially controversial > 0.89 & positive > 0.30 & neutral <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.03,positive,0.21,0.08,13.9,3.94,1.65
common > 0.5 & socially controversial > 0.70 & positive > 0.70 & subject to geographical variability > 0.89 & subject to time variability <= 0.89,rule,0.04,negative,0.19,0.04,21.81,6.99,2.31
conceptually dense > 0.70 & common > 0.5 & socially controversial <= 0.89 & positive > 0.70 & subject to time variability <= 0.70,rule,0.03,positive,0.16,0.08,27.67,9.64,2.63
technically complicated > 0.5 & common <= 0.5 & positive > 0.5 & subject to geographical variability <= 0.89 & subject to time variability > 0.5,rule,0.02,negative,0.16,0.02,4.94,2.34,1.16
common > 0.5 & common <= 0.89 & socially controversial > 0.89 & positive <= 0.70 & neutral > 0.5,rule,0.04,negative,0.16,0.05,14.9,4.12,1.64
common > 0.5 & socially controversial > 0.89 & positive > 0.70 & interdisciplinary > 0.89,rule,0.02,positive,0.15,0.15,139.51,92.09,5.22
technically complicated > 0.5 & socially controversial > 0.30 & socially controversial <= 0.70 & positive <= 0.70 & negative <= 0.5,rule,0.01,negative,0.15,0.01,14.57,5.32,1.92
technically complicated <= 0.5 & common > 0.5 & negative > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.02,negative,0.15,0.01,18.73,6.61,2.18
technically complicated > 0.70 & common > 0.70 & unambiguous <= 0.70 & negative <= 0.5,rule,0.06,negative,0.14,0.15,16.29,8.17,2.4
common > 0.5 & socially controversial > 0.5 & unambiguous > 0.5 & subject to geographical variability > 0.89 & interdisciplinary > 0.89,rule,0.07,positive,0.14,0.07,14.9,4.71,1.76
technically complicated <= 0.70 & socially controversial > 0.5 & unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary > 0.89,rule,0.02,negative,0.14,0.08,22.77,9.35,2.54
common > 0.5 & positive > 0.70 & neutral > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.28,positive,0.13,0.23,122.01,68.82,4.78
common <= 0.89 & socially controversial > 0.5 & positive <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.04,negative,0.13,0.04,9.22,2.88,1.2
conceptually dense > 0.70 & technically complicated <= 0.5 & unambiguous > 0.70 & neutral > 0.70 & subject to time variability > 0.70,rule,0.03,negative,0.13,0.03,20.22,5.6,1.95
common > 0.5 & common <= 0.89 & positive > 0.70 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.61,positive,0.13,0.53,19.21,5.77,1.98
conceptually dense <= 0.5 & common > 0.5 & socially controversial > 0.30 & neutral > 0.70 & subject to geographical variability > 0.70,rule,0.01,positive,0.13,0.02,12.51,3.33,1.36
conceptually dense <= 0.89 & positive <= 0.5 & negative > 0.5 & interdisciplinary > 0.89,rule,0.16,positive,0.12,0.15,26.35,13.37,2.89
common <= 0.89 & socially controversial > 0.89 & positive <= 0.5 & negative > 0.5,rule,0.06,negative,0.12,0.16,8.67,2.46,1.12
conceptually dense <= 0.89 & technically complicated > 0.5 & common > 0.5 & positive <= 0.70 & negative <= 0.70,rule,0.02,negative,0.11,0.02,16.24,8.16,2.32
common <= 0.5 & positive <= 0.5 & negative <= 0.89 & neutral > 0.5 & interdisciplinary > 0.89,rule,0.0,positive,0.11,0.0,6.36,2.27,1.11
conceptually dense > 0.70 & positive > 0.70 & subject to geographical variability > 0.5 & interdisciplinary <= 0.89 & subject to time variability <= 0.70,rule,0.03,positive,0.11,0.02,20.85,8.39,2.37
common <= 0.89 & socially controversial > 0.70 & positive > 0.70 & negative <= 0.70 & interdisciplinary > 0.89,rule,0.14,positive,0.11,0.11,22.9,8.21,2.33
socially controversial > 0.30 & unambiguous <= 0.70 & positive > 0.70 & interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.06,negative,0.1,0.17,16.62,4.64,1.69
common <= 0.5 & socially controversial <= 0.5 & positive > 0.70 & subject to time variability > 0.5,rule,0.01,negative,0.1,0.01,12.52,6.99,2.15
technically complicated <= 0.5 & common > 0.5 & unambiguous > 0.70 & neutral <= 0.70 & interdisciplinary > 0.89,rule,0.01,positive,0.1,0.01,19.18,6.51,2.06
common <= 0.5 & socially controversial <= 0.70 & positive > 0.70 & subject to time variability > 0.5,rule,0.01,negative,0.1,0.01,67.6,31.78,3.79
socially controversial <= 0.89 & unambiguous > 0.70 & positive <= 0.5 & negative > 0.70 & interdisciplinary > 0.89,rule,0.06,positive,0.09,0.07,14.66,6.22,2.0
common > 0.5 & socially controversial <= 0.70 & unambiguous > 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.89,rule,0.17,positive,0.08,0.19,30.75,15.41,2.94
common > 0.5 & common <= 0.70 & neutral > 0.5 & subject to geographical variability > 0.70 & interdisciplinary > 0.89,rule,0.12,positive,0.08,0.1,23.97,14.51,2.89
technically complicated > 0.70 & socially controversial <= 0.70 & unambiguous > 0.70 & positive > 0.70 & interdisciplinary > 0.89,rule,0.13,positive,0.08,0.12,13.91,5.57,1.86
