rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
positive,linear,,positive,2.62,,,,
common > 0.5 & positive > 0.5 & positive <= 0.70,rule,0.04,negative,0.87,0.04,1849.53,1833.27,14.01
socially controversial <= 0.70 & positive > 0.30 & positive <= 0.70,rule,0.05,negative,0.3,0.04,2417.15,2396.53,10.08
technically complicated <= 0.89 & socially controversial > 0.70 & positive > 0.30 & positive <= 0.70 & negative <= 0.89,rule,0.18,negative,0.29,0.18,60.64,55.51,5.19
technically complicated > 0.5 & positive <= 0.70 & negative <= 0.70 & neutral > 0.5 & subject to time variability > 0.5,rule,0.02,negative,0.21,0.02,1351.89,1338.17,8.68
technically complicated > 0.70 & socially controversial > 0.70 & unambiguous <= 0.5 & positive > 0.30 & positive <= 0.70,rule,0.02,negative,0.17,0.02,114.44,105.12,5.44
unambiguous > 0.5 & positive > 0.30 & positive <= 0.70 & neutral > 0.70 & subject to geographical variability <= 0.89,rule,0.1,negative,0.17,0.09,199.68,191.09,6.15
socially controversial > 0.89 & unambiguous > 0.5 & positive <= 0.70 & subject to geographical variability <= 0.89 & subject to time variability <= 0.89,rule,0.03,negative,0.17,0.15,52.39,46.69,4.48
positive > 0.70 & negative > 0.70 & neutral <= 0.89 & subject to geographical variability > 0.5 & subject to time variability > 0.5,rule,0.09,positive,0.16,0.55,79.12,75.69,5.01
conceptually dense <= 0.89 & unambiguous <= 0.5 & positive > 0.30 & positive <= 0.70 & negative > 0.70,rule,0.03,negative,0.13,0.03,96.74,90.96,5.11
unambiguous > 0.70 & positive <= 0.70 & negative <= 0.5 & neutral > 0.70 & subject to time variability > 0.5,rule,0.01,negative,0.13,0.01,1689.21,1666.24,8.4
conceptually dense > 0.5 & technically complicated > 0.5 & positive <= 0.70 & neutral > 0.5 & interdisciplinary <= 0.89,rule,0.05,negative,0.13,0.05,71.08,65.76,4.71
conceptually dense <= 0.70 & technically complicated <= 0.5 & common > 0.5 & common <= 0.89 & positive > 0.70,rule,0.05,positive,0.13,0.05,642.63,633.73,7.31
socially controversial > 0.70 & unambiguous > 0.5 & positive <= 0.5 & neutral <= 0.5,rule,0.01,positive,0.12,0.02,29.36,17.34,3.19
technically complicated > 0.5 & positive > 0.70 & negative > 0.30 & neutral <= 0.89 & subject to geographical variability > 0.5,rule,0.59,positive,0.12,0.48,379.46,372.33,6.65
technically complicated <= 0.70 & positive > 0.30 & positive <= 0.70 & neutral <= 0.70 & interdisciplinary > 0.89,rule,0.03,negative,0.1,0.03,795.52,781.72,7.32
unambiguous > 0.5 & positive > 0.30 & positive <= 0.70 & negative > 0.70 & neutral > 0.5,rule,0.17,negative,0.09,0.14,252.12,243.27,5.97
technically complicated > 0.70 & common > 0.5 & positive > 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.89,rule,0.3,positive,0.09,0.24,3130.06,3107.22,8.75
technically complicated > 0.5 & common <= 0.89 & positive <= 0.5 & neutral > 0.5,rule,0.18,negative,0.09,0.15,5.6,1.56,1.09
conceptually dense <= 0.89 & positive > 0.70 & neutral <= 0.89 & subject to geographical variability > 0.5 & subject to time variability > 0.5,rule,0.67,positive,0.09,0.55,29.0,26.18,3.54
subject to time variability,linear,,negative,0.09,,,,
conceptually dense > 0.5 & common <= 0.89 & positive <= 0.70 & neutral > 0.5 & interdisciplinary > 0.89,rule,0.17,negative,0.09,0.14,70.9,65.76,4.55
unambiguous <= 0.5 & positive > 0.30 & positive <= 0.70 & negative > 0.70 & subject to geographical variability > 0.89,rule,0.01,negative,0.09,0.03,250.07,243.27,6.0
conceptually dense <= 0.89 & common > 0.5 & positive <= 0.30,rule,0.04,positive,0.08,0.16,4.62,1.73,1.08
conceptually dense > 0.5 & common <= 0.89 & positive <= 0.70 & neutral > 0.5 & subject to geographical variability > 0.89,rule,0.04,negative,0.08,0.03,31.39,25.46,3.48
technically complicated > 0.70 & common > 0.5 & socially controversial > 0.5 & positive > 0.70 & subject to time variability <= 0.89,rule,0.19,positive,0.08,0.15,1048.17,1039.23,7.5
conceptually dense <= 0.89 & socially controversial > 0.89 & unambiguous <= 0.70 & positive <= 0.70 & subject to time variability <= 0.89,rule,0.03,positive,0.08,0.03,41.23,36.17,3.86
socially controversial > 0.89 & positive <= 0.5 & neutral > 0.5 & neutral <= 0.70,rule,0.04,negative,0.08,0.07,79.96,50.39,4.23
socially controversial > 0.70 & socially controversial <= 0.89 & positive <= 0.70 & negative > 0.70 & negative <= 0.89,rule,0.14,positive,0.08,0.12,40.67,36.01,3.86
technically complicated > 0.70 & socially controversial <= 0.5 & positive <= 0.5 & neutral > 0.70,rule,0.03,negative,0.07,0.03,16.49,11.16,2.58
technically complicated <= 0.70 & common > 0.5 & socially controversial <= 0.89 & positive > 0.70 & interdisciplinary <= 0.89,rule,0.21,positive,0.07,0.17,1047.45,1039.23,7.4
technically complicated <= 0.70 & socially controversial > 0.5 & socially controversial <= 0.89 & unambiguous <= 0.70 & positive <= 0.70,rule,0.02,negative,0.07,0.02,170.33,161.63,5.47
technically complicated > 0.5 & positive <= 0.70 & negative <= 0.5 & neutral > 0.70 & subject to time variability > 0.5,rule,0.01,negative,0.06,0.01,537.37,527.27,6.62
socially controversial > 0.70 & unambiguous > 0.5 & positive <= 0.70 & subject to geographical variability > 0.89 & interdisciplinary > 0.89,rule,0.03,positive,0.06,0.03,56.13,46.69,4.07
positive > 0.30 & positive <= 0.70 & negative <= 0.89 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.12,negative,0.06,0.18,25.73,22.0,3.28
technically complicated <= 0.70 & socially controversial > 0.70 & unambiguous > 0.5 & positive <= 0.70 & neutral > 0.5,rule,0.05,negative,0.06,0.05,508.85,498.54,6.59
common > 0.5 & positive > 0.70 & negative <= 0.70 & neutral <= 0.89 & subject to geographical variability <= 0.89,rule,0.58,positive,0.06,0.49,73.11,70.66,4.52
technically complicated <= 0.70 & positive > 0.30 & positive <= 0.5 & interdisciplinary > 0.89,rule,0.03,negative,0.05,0.03,5.17,1.5,1.05
common > 0.5 & socially controversial <= 0.89 & positive > 0.70 & negative > 0.5,rule,0.18,positive,0.05,0.53,67.54,65.76,4.38
conceptually dense > 0.5 & technically complicated <= 0.70 & socially controversial <= 0.70 & unambiguous <= 0.70 & positive > 0.70,rule,0.03,positive,0.05,0.03,164.35,159.94,5.34
technically complicated <= 0.70 & unambiguous > 0.5 & unambiguous <= 0.70 & positive <= 0.70 & neutral > 0.5,rule,0.02,negative,0.05,0.02,73.14,66.78,4.41
common > 0.5 & positive > 0.70 & positive <= 0.89 & negative <= 0.70 & neutral <= 0.89,rule,0.59,positive,0.05,0.47,897.86,889.21,7.1
