rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
positive > 0.70 & subject to geographical variability <= 0.89,rule,0.68,positive,0.45,0.58,814.56,814.42,9.7
positive,linear,,positive,0.43,,,,
positive > 0.70 & subject to geographical variability > 0.89,rule,0.05,positive,0.41,0.59,941.18,941.08,9.66
common > 0.5 & unambiguous <= 0.5 & positive > 0.30 & positive <= 0.70 & neutral <= 0.5,rule,0.01,negative,0.07,0.01,41.01,39.67,3.94
technically complicated > 0.5 & positive <= 0.70 & neutral > 0.70,rule,0.13,negative,0.06,0.11,963.38,956.81,7.26
positive <= 0.70 & neutral > 0.70,rule,0.14,negative,0.06,0.21,819.8,814.42,7.1
socially controversial <= 0.89 & unambiguous > 0.5 & positive > 0.30 & positive <= 0.70 & subject to time variability <= 0.89,rule,0.17,negative,0.05,0.15,4.29,3.83,1.41
positive <= 0.70 & neutral <= 0.70 & subject to geographical variability > 0.89,rule,0.03,negative,0.04,0.11,966.26,956.81,7.14
technically complicated > 0.5 & common > 0.5 & positive > 0.5 & positive <= 0.70 & subject to geographical variability <= 0.89,rule,0.03,negative,0.04,0.03,13.84,12.97,2.68
socially controversial > 0.70 & positive <= 0.30 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.02,positive,0.04,0.02,1.53,0.39,1.04
conceptually dense <= 0.89 & positive <= 0.70 & subject to geographical variability > 0.89,rule,0.05,negative,0.04,0.04,47.96,47.58,4.02
technically complicated > 0.5 & common > 0.5 & positive > 0.5 & positive <= 0.70 & neutral > 0.5,rule,0.04,negative,0.04,0.03,4.11,3.67,1.35
unambiguous <= 0.70 & positive <= 0.30 & neutral <= 0.70 & interdisciplinary > 0.89,rule,0.01,positive,0.03,0.02,3.23,1.53,1.03
technically complicated > 0.5 & socially controversial > 0.89 & positive <= 0.70 & negative <= 0.89 & neutral > 0.5,rule,0.04,negative,0.03,0.03,6.53,6.05,1.85
technically complicated > 0.70 & common > 0.70 & positive <= 0.5 & neutral <= 0.70,rule,0.05,negative,0.03,0.05,1.24,0.8,1.03
positive > 0.70 & interdisciplinary > 0.89,rule,0.43,positive,0.03,0.59,486.29,486.27,6.39
conceptually dense > 0.70 & technically complicated <= 0.70 & common > 0.70 & positive <= 0.70 & subject to geographical variability <= 0.89,rule,0.06,positive,0.03,0.06,17.24,16.26,2.87
common > 0.70 & unambiguous <= 0.70 & positive > 0.30 & positive <= 0.70 & neutral <= 0.70,rule,0.06,negative,0.03,0.06,124.06,122.2,4.96
technically complicated > 0.70 & common > 0.70 & positive <= 0.70 & neutral > 0.5,rule,0.14,negative,0.02,0.14,64.67,63.83,4.23
technically complicated > 0.5 & common > 0.70 & unambiguous <= 0.5 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.01,negative,0.02,0.01,9.06,8.3,2.16
common > 0.5 & socially controversial <= 0.89 & positive > 0.70 & interdisciplinary <= 0.89 & subject to time variability <= 0.89,rule,0.29,positive,0.02,0.55,6.08,6.05,1.83
technically complicated > 0.5 & technically complicated <= 0.70 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.03,negative,0.02,0.03,212.74,210.57,5.46
socially controversial > 0.89 & positive <= 0.5 & neutral <= 0.5 & subject to geographical variability <= 0.89,rule,0.01,positive,0.02,0.02,0.91,0.32,1.02
common > 0.5 & socially controversial > 0.5 & positive <= 0.5 & subject to geographical variability <= 0.89,rule,0.14,positive,0.02,0.13,0.51,0.14,1.02
conceptually dense <= 0.89 & unambiguous <= 0.70 & positive > 0.30 & positive <= 0.70 & neutral <= 0.70,rule,0.07,negative,0.02,0.06,5.04,4.09,1.43
unambiguous <= 0.5 & positive <= 0.30 & interdisciplinary > 0.89 & subject to time variability <= 0.89,rule,0.0,positive,0.02,0.0,1.14,0.63,1.02
socially controversial <= 0.89 & positive > 0.70 & subject to geographical variability > 0.5,rule,0.68,positive,0.02,0.56,580.87,580.85,6.46
common <= 0.89 & socially controversial > 0.89 & unambiguous <= 0.70 & positive <= 0.5,rule,0.03,positive,0.02,0.05,0.79,0.28,1.02
technically complicated <= 0.70 & common > 0.70 & positive <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.03,positive,0.01,0.05,22.84,21.93,3.11
conceptually dense <= 0.89 & technically complicated > 0.5 & socially controversial > 0.5 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.04,negative,0.01,0.16,6.92,6.5,1.89
conceptually dense > 0.70 & technically complicated <= 0.70 & common > 0.5 & positive <= 0.70 & subject to geographical variability <= 0.89,rule,0.07,positive,0.01,0.06,8.95,8.29,2.13
technically complicated > 0.5 & common > 0.5 & unambiguous <= 0.70 & positive > 0.30 & positive <= 0.70,rule,0.11,negative,0.01,0.17,9.6,9.35,2.27
common > 0.70 & socially controversial > 0.70 & positive > 0.70 & negative > 0.5,rule,0.13,positive,0.01,0.13,3.85,3.83,1.36
conceptually dense > 0.70 & positive <= 0.70 & negative <= 0.89 & neutral > 0.5 & subject to geographical variability <= 0.89,rule,0.19,negative,0.01,0.16,3.64,3.08,1.14
common > 0.5 & unambiguous > 0.5 & positive <= 0.70 & neutral > 0.5 & subject to geographical variability <= 0.89,rule,0.18,negative,0.01,0.17,16.28,15.77,2.8
technically complicated > 0.70 & common > 0.70 & unambiguous > 0.70 & positive <= 0.70 & subject to time variability <= 0.89,rule,0.07,negative,0.01,0.06,3.31,2.82,1.05
conceptually dense > 0.70 & positive > 0.30 & positive <= 0.70 & negative <= 0.89 & neutral <= 0.70,rule,0.1,negative,0.01,0.1,18.4,17.9,2.92
socially controversial <= 0.5 & positive <= 0.70,rule,0.04,negative,0.01,0.21,29.47,29.27,3.41
technically complicated <= 0.70 & unambiguous > 0.5 & positive <= 0.70 & negative <= 0.89 & neutral > 0.5,rule,0.06,negative,0.01,0.05,116.87,115.56,4.8
technically complicated > 0.70 & common > 0.5 & positive > 0.30 & positive <= 0.70 & negative <= 0.89,rule,0.16,negative,0.01,0.13,45.05,44.26,3.82
conceptually dense <= 0.89 & socially controversial > 0.70 & positive <= 0.70 & negative > 0.70 & subject to geographical variability > 0.89,rule,0.05,negative,0.01,0.04,110.5,109.64,4.74
socially controversial <= 0.70 & positive > 0.70,rule,0.47,positive,0.01,0.58,256.1,256.09,5.59
common > 0.5 & socially controversial <= 0.89 & positive > 0.70,rule,0.68,positive,0.01,0.56,361.23,361.18,5.98
positive <= 0.70 & negative <= 0.89 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.13,negative,0.01,0.11,189.35,187.96,5.29
common > 0.5 & socially controversial <= 0.70 & positive > 0.70 & negative <= 0.5 & interdisciplinary <= 0.89,rule,0.22,positive,0.01,0.19,372.67,372.56,5.98
technically complicated > 0.5 & positive <= 0.70 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.13,negative,0.01,0.1,555.16,551.86,6.4
technically complicated <= 0.70 & common > 0.70 & positive <= 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.04,positive,0.01,0.04,808.09,798.73,6.75
socially controversial <= 0.89 & positive <= 0.70 & negative <= 0.70 & subject to geographical variability <= 0.89 & subject to time variability <= 0.89,rule,0.02,negative,0.01,0.14,27.37,26.33,3.29
positive > 0.70 & subject to geographical variability > 0.89 & interdisciplinary > 0.89,rule,0.04,positive,0.01,0.04,957.01,956.81,6.93
technically complicated > 0.5 & common > 0.70 & positive > 0.30 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.04,negative,0.0,0.04,3.97,3.61,1.29
technically complicated <= 0.5 & positive > 0.70 & subject to geographical variability > 0.5,rule,0.11,positive,0.0,0.57,270.86,270.83,5.63
technically complicated <= 0.70 & socially controversial <= 0.70 & positive > 0.70 & interdisciplinary <= 0.89,rule,0.17,positive,0.0,0.2,241.94,241.85,5.51
positive > 0.70 & negative > 0.70,rule,0.09,positive,0.0,0.58,226.67,226.66,5.43
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.5 & positive > 0.70 & subject to geographical variability > 0.5,rule,0.33,positive,0.0,0.27,4.44,4.41,1.49
technically complicated > 0.5 & common <= 0.89 & socially controversial > 0.30 & positive > 0.70 & interdisciplinary > 0.89,rule,0.41,positive,0.0,0.34,4.73,4.7,1.55
conceptually dense > 0.5 & technically complicated <= 0.70 & socially controversial <= 0.89 & unambiguous > 0.70 & positive > 0.70,rule,0.19,positive,0.0,0.34,19.48,19.45,2.97
technically complicated > 0.5 & socially controversial > 0.30 & positive > 0.70 & negative > 0.5 & subject to time variability > 0.5,rule,0.2,positive,0.0,0.48,5.47,5.43,1.69
technically complicated > 0.70 & common > 0.70 & positive <= 0.70 & negative > 0.70,rule,0.13,negative,0.0,0.15,18.05,17.49,2.86
conceptually dense <= 0.89 & unambiguous <= 0.70 & positive > 0.30 & positive <= 0.70 & neutral <= 0.5,rule,0.01,negative,0.0,0.01,113.28,110.4,4.73
conceptually dense > 0.70 & common > 0.70 & socially controversial > 0.70 & positive > 0.70,rule,0.19,positive,0.0,0.2,6.55,6.5,1.88
conceptually dense > 0.70 & technically complicated > 0.70 & positive > 0.70 & subject to time variability > 0.5,rule,0.41,positive,0.0,0.33,6.9,6.86,1.93
technically complicated > 0.70 & unambiguous > 0.5 & positive <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.1,negative,0.0,0.09,60.99,59.9,4.1
socially controversial <= 0.5 & positive <= 0.70 & neutral > 0.5,rule,0.04,negative,0.0,0.19,58.17,57.67,4.06
common > 0.70 & socially controversial > 0.5 & positive > 0.70 & negative > 0.5 & subject to geographical variability > 0.5,rule,0.14,positive,0.0,0.13,50.12,50.09,3.92
technically complicated > 0.70 & positive > 0.70 & interdisciplinary > 0.89 & subject to time variability > 0.5,rule,0.33,positive,0.0,0.33,8.86,8.8,2.18
positive <= 0.5 & neutral <= 0.5 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.01,positive,0.0,0.02,0.69,0.25,1.0
technically complicated > 0.5 & common > 0.5 & unambiguous > 0.5 & positive <= 0.70 & neutral > 0.70,rule,0.12,negative,0.0,0.1,40.87,40.27,3.7
technically complicated <= 0.70 & socially controversial > 0.70 & positive <= 0.70 & negative > 0.70 & subject to geographical variability <= 0.89,rule,0.06,positive,0.0,0.05,25.41,24.8,3.21
technically complicated <= 0.70 & socially controversial > 0.30 & socially controversial <= 0.70 & unambiguous > 0.5 & positive > 0.70,rule,0.17,positive,0.0,0.14,2.69,2.65,1.0
