rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary,linear,,positive,2.13,,,,
technically complicated <= 0.5 & socially controversial <= 0.70 & positive > 0.5 & neutral > 0.70 & interdisciplinary <= 0.70,rule,0.01,negative,0.87,0.01,253.27,162.5,9.53
technically complicated > 0.5 & common > 0.5 & socially controversial > 0.70 & interdisciplinary <= 0.70,rule,0.0,negative,0.75,0.0,300.11,154.6,8.82
conceptually dense > 0.5 & socially controversial <= 0.70 & positive > 0.30 & positive <= 0.5 & interdisciplinary > 0.70,rule,0.02,negative,0.67,0.02,100.17,33.73,5.86
conceptually dense <= 0.70 & socially controversial <= 0.30 & negative <= 0.89 & neutral > 0.70,rule,0.0,negative,0.62,0.06,135.07,104.86,7.52
common,linear,,negative,0.56,,,,
conceptually dense > 0.5 & socially controversial <= 0.70 & unambiguous <= 0.70 & positive > 0.70 & interdisciplinary > 0.70,rule,0.32,positive,0.44,0.26,120.13,32.85,5.02
technically complicated > 0.70 & socially controversial > 0.5 & unambiguous > 0.5 & positive <= 0.70 & subject to time variability <= 0.89,rule,0.17,positive,0.42,0.14,208.88,124.53,6.85
socially controversial <= 0.70 & positive <= 0.70 & negative > 0.70 & negative <= 0.89 & interdisciplinary > 0.70,rule,0.01,negative,0.4,0.02,116.04,34.02,4.94
conceptually dense > 0.5 & socially controversial > 0.70 & unambiguous <= 0.70 & positive <= 0.30 & neutral <= 0.70,rule,0.04,negative,0.38,0.04,109.15,45.32,5.26
conceptually dense > 0.5 & technically complicated <= 0.5 & socially controversial <= 0.70 & negative > 0.5 & neutral > 0.5,rule,0.02,negative,0.37,0.02,103.07,26.38,4.49
conceptually dense <= 0.70 & technically complicated > 0.30 & socially controversial <= 0.5 & unambiguous <= 0.70 & positive <= 0.89,rule,0.08,negative,0.34,0.07,188.75,136.07,6.57
conceptually dense > 0.70 & technically complicated > 0.5 & unambiguous > 0.5 & positive <= 0.30,rule,0.04,positive,0.34,0.03,977.4,814.08,8.99
technically complicated > 0.70 & socially controversial > 0.70 & unambiguous > 0.5 & negative <= 0.70 & neutral > 0.70,rule,0.08,positive,0.33,0.07,509.56,279.12,7.51
conceptually dense > 0.5 & technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.5 & interdisciplinary > 0.70,rule,0.05,negative,0.3,0.04,381.84,211.26,6.95
technically complicated <= 0.70 & common > 0.5 & common <= 0.70 & socially controversial > 0.5 & socially controversial <= 0.70,rule,0.02,positive,0.29,0.02,154.83,72.29,5.54
conceptually dense > 0.70 & technically complicated > 0.70 & socially controversial > 0.5 & unambiguous > 0.5 & positive > 0.5,rule,0.29,positive,0.29,0.24,1234.79,778.19,8.57
technically complicated <= 0.70 & common <= 0.70 & socially controversial > 0.5 & socially controversial <= 0.70 & neutral > 0.30,rule,0.02,positive,0.28,0.02,155.61,68.43,5.4
technically complicated > 0.5 & common <= 0.70 & socially controversial > 0.70 & neutral > 0.5 & interdisciplinary > 0.70,rule,0.09,positive,0.28,0.15,138.18,37.75,4.63
conceptually dense <= 0.70 & socially controversial <= 0.70 & positive <= 0.70 & neutral > 0.40 & interdisciplinary > 0.70,rule,0.01,negative,0.28,0.01,241.55,130.3,6.25
