rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary,linear,,negative,7.84,,,,
socially controversial,linear,,negative,6.92,,,,
conceptually dense,linear,,negative,5.28,,,,
common,linear,,positive,4.5,,,,
technically complicated > 0.5 & common > 0.5 & socially controversial > 0.70 & interdisciplinary <= 0.70,rule,0.0,positive,2.89,0.0,7736.87,3704.27,31.97
conceptually dense > 0.5 & socially controversial <= 0.70 & positive > 0.30 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.04,positive,2.47,0.03,3985.81,1243.33,24.72
conceptually dense <= 0.70 & technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.70 & subject to time variability <= 0.89,rule,0.1,positive,2.27,0.12,4221.19,1929.19,24.71
technically complicated <= 0.5 & common > 0.5 & positive > 0.5 & neutral > 0.70 & interdisciplinary <= 0.70,rule,0.01,positive,2.25,0.01,2265.52,830.82,21.85
conceptually dense <= 0.70 & technically complicated <= 0.5 & socially controversial <= 0.5 & neutral > 0.70,rule,0.03,positive,2.24,0.03,4936.63,3239.76,26.21
conceptually dense > 0.5 & conceptually dense <= 0.89 & common <= 0.70 & positive > 0.30 & negative > 0.89,rule,0.06,negative,2.05,0.06,2657.61,832.41,20.48
technically complicated > 0.5 & technically complicated <= 0.70 & socially controversial > 0.5 & socially controversial <= 0.89 & interdisciplinary > 0.70,rule,0.26,negative,1.93,0.22,2684.74,1076.08,20.46
conceptually dense > 0.70 & conceptually dense <= 0.89 & technically complicated > 0.5 & common <= 0.5,rule,0.04,negative,1.59,0.03,6631.67,4386.65,21.7
conceptually dense > 0.5 & socially controversial <= 0.70 & positive > 0.30 & positive <= 0.5 & negative > 0.70,rule,0.01,positive,1.58,0.02,3953.57,1540.35,18.91
technically complicated > 0.70 & common <= 0.5 & socially controversial <= 0.70 & neutral <= 0.40,rule,0.01,negative,1.56,0.02,2299.5,828.33,17.23
conceptually dense > 0.70 & conceptually dense <= 0.89 & technically complicated > 0.70 & common <= 0.89 & socially controversial > 0.30,rule,0.45,negative,1.56,0.56,2202.76,902.82,17.4
socially controversial <= 0.70 & positive <= 0.70 & negative > 0.70 & negative <= 0.89 & interdisciplinary > 0.70,rule,0.01,positive,1.51,0.01,6485.5,2130.07,19.25
