rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary,linear,,positive,1.56,,,,
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.30 & unambiguous > 0.5 & subject to time variability <= 0.89,rule,0.69,positive,0.92,0.55,608.38,297.24,10.92
conceptually dense > 0.5 & socially controversial <= 0.70 & positive > 0.30 & positive <= 0.5 & interdisciplinary > 0.70,rule,0.02,negative,0.83,0.02,606.9,240.64,10.05
technically complicated > 0.70 & common <= 0.70 & socially controversial > 0.5 & neutral <= 0.70,rule,0.08,positive,0.56,0.17,426.48,137.39,7.69
common <= 0.70 & socially controversial > 0.5 & positive > 0.70 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.11,positive,0.46,0.09,1116.86,374.23,8.67
conceptually dense <= 0.89 & common <= 0.89 & socially controversial <= 0.89 & negative > 0.89 & interdisciplinary > 0.70,rule,0.13,positive,0.43,0.11,192.02,51.64,5.65
technically complicated > 0.70 & socially controversial > 0.30 & unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.19,negative,0.43,0.15,177.94,52.74,5.69
technically complicated <= 0.70 & unambiguous <= 0.70 & positive <= 0.30 & neutral <= 0.5,rule,0.02,negative,0.41,0.02,222.44,95.26,6.42
technically complicated <= 0.70 & common > 0.5 & unambiguous <= 0.70 & positive <= 0.30 & neutral <= 0.5,rule,0.02,negative,0.36,0.02,282.22,113.57,6.45
technically complicated > 0.5 & common > 0.70 & socially controversial > 0.70 & positive > 0.5 & negative <= 0.5,rule,0.0,positive,0.32,0.18,518.41,174.96,6.79
common > 0.70 & socially controversial > 0.5 & unambiguous > 0.5 & negative <= 0.70 & neutral > 0.70,rule,0.24,positive,0.31,0.19,327.42,93.6,5.94
conceptually dense > 0.5 & common > 0.70 & socially controversial <= 0.89 & neutral <= 0.5,rule,0.15,positive,0.3,0.22,246.9,78.6,5.69
conceptually dense <= 0.70 & technically complicated <= 0.70 & common <= 0.70 & unambiguous > 0.5 & interdisciplinary <= 0.70,rule,0.02,negative,0.3,0.01,3318.13,2426.3,10.17
technically complicated > 0.70 & common <= 0.70 & socially controversial > 0.70 & positive <= 0.70 & negative > 0.70,rule,0.04,positive,0.29,0.11,908.8,366.77,7.63
conceptually dense > 0.70 & technically complicated <= 0.70 & common > 0.70 & positive > 0.70,rule,0.12,negative,0.29,0.11,3340.65,2562.82,10.14
technically complicated > 0.5 & technically complicated <= 0.70 & unambiguous <= 0.70 & positive <= 0.5 & negative > 0.70,rule,0.06,negative,0.28,0.05,340.04,103.39,5.94
technically complicated > 0.5 & common <= 0.70 & positive > 0.5 & interdisciplinary > 0.70,rule,0.24,positive,0.28,0.21,198.61,70.12,5.45
conceptually dense > 0.70 & technically complicated > 0.70 & common <= 0.5 & neutral > 0.5,rule,0.01,positive,0.28,0.01,393.28,174.26,6.61
conceptually dense <= 0.70 & technically complicated <= 0.5 & socially controversial > 0.5 & negative > 0.5 & neutral > 0.5,rule,0.04,negative,0.27,0.04,313.26,123.38,6.1
technically complicated <= 0.5 & common > 0.70 & unambiguous > 0.5 & unambiguous <= 0.70 & neutral > 0.5,rule,0.1,positive,0.27,0.1,218.95,91.72,5.76
technically complicated > 0.5 & common <= 0.70 & positive <= 0.70 & neutral > 0.5 & neutral <= 0.70,rule,0.03,positive,0.27,0.07,450.14,122.48,6.12
conceptually dense > 0.5 & conceptually dense <= 0.70 & positive > 0.70 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.14,positive,0.27,0.13,655.62,332.73,7.35
conceptually dense <= 0.89 & technically complicated > 0.5 & common <= 0.70 & socially controversial > 0.5 & positive > 0.5,rule,0.21,positive,0.25,0.17,485.98,180.01,6.5
technically complicated > 0.70 & socially controversial > 0.70 & positive > 0.30 & positive <= 0.70 & negative <= 0.70,rule,0.02,negative,0.23,0.03,1090.74,563.55,7.76
conceptually dense > 0.70 & technically complicated <= 0.5 & common > 0.70 & negative > 0.5 & neutral > 0.5,rule,0.03,positive,0.23,0.05,195.8,48.16,4.75
common > 0.5 & socially controversial <= 0.70 & positive <= 0.70 & negative > 0.70 & negative <= 0.89,rule,0.01,negative,0.22,0.01,211.24,91.24,5.51
socially controversial <= 0.5 & unambiguous > 0.5 & positive > 0.70 & positive <= 0.89 & negative <= 0.5,rule,0.09,negative,0.22,0.07,215.24,69.05,5.15
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.70 & positive > 0.5,rule,0.07,negative,0.22,0.15,393.41,103.39,5.65
technically complicated > 0.70 & socially controversial > 0.70 & unambiguous <= 0.70 & negative > 0.89 & interdisciplinary > 0.70,rule,0.05,negative,0.21,0.06,274.02,113.57,5.71
common > 0.5 & socially controversial > 0.70 & positive > 0.30 & positive <= 0.70 & negative > 0.70,rule,0.19,positive,0.2,0.16,174.7,41.54,4.48
technically complicated <= 0.5 & socially controversial > 0.5 & negative > 0.5 & interdisciplinary > 0.70,rule,0.09,negative,0.2,0.27,233.46,77.13,5.2
