rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary,linear,,negative,2.17,,,,
socially controversial <= 0.89 & positive <= 0.70 & interdisciplinary <= 0.5,rule,0.0,negative,1.56,0.01,403.58,401.15,15.36
common <= 0.5 & positive <= 0.5 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.01,negative,0.57,0.01,33.13,12.14,3.91
conceptually dense > 0.70 & technically complicated <= 0.5 & unambiguous > 0.30 & positive <= 0.70 & negative > 0.89,rule,0.01,negative,0.45,0.01,57.45,34.53,5.13
technically complicated <= 0.89 & unambiguous > 0.30 & unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.3,negative,0.44,0.24,28.94,15.67,3.97
positive,linear,,positive,0.41,,,,
common > 0.5 & unambiguous <= 0.5 & positive <= 0.70 & negative > 0.89 & subject to geographical variability <= 0.89,rule,0.0,negative,0.38,0.0,32.22,16.59,3.86
common <= 0.5 & unambiguous <= 0.70 & positive > 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.01,positive,0.33,0.02,390.46,312.58,7.64
socially controversial <= 0.70 & positive > 0.30 & positive <= 0.5 & interdisciplinary > 0.70,rule,0.02,negative,0.32,0.02,213.23,165.32,6.73
positive <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,positive,0.3,0.01,5290.9,4607.65,10.99
technically complicated > 0.30 & positive > 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.02,positive,0.28,0.01,4699.78,4607.65,10.79
conceptually dense <= 0.70 & common > 0.5 & common <= 0.89 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.04,negative,0.27,0.04,96.97,72.52,5.44
common > 0.70 & socially controversial > 0.70 & unambiguous > 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.0,negative,0.26,0.01,503.19,421.81,7.62
common > 0.5 & socially controversial <= 0.70 & positive > 0.30 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.04,negative,0.21,0.03,5119.07,4417.1,10.12
technically complicated > 0.5 & common > 0.5 & unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.26,negative,0.2,0.23,322.1,261.55,6.67
common <= 0.70 & positive <= 0.70 & negative > 0.89 & neutral > 0.30 & neutral <= 0.5,rule,0.0,positive,0.2,0.01,29.42,15.54,3.29
conceptually dense > 0.70 & common > 0.89 & positive <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70,rule,0.0,negative,0.19,0.0,226.74,180.72,6.18
technically complicated <= 0.5 & common <= 0.70 & positive <= 0.70 & negative > 0.89 & neutral > 0.30,rule,0.0,positive,0.18,0.0,67.69,38.63,4.3
technically complicated > 0.70 & positive <= 0.70 & negative > 0.89 & neutral > 0.30 & neutral <= 0.5,rule,0.0,positive,0.18,0.01,82.79,56.5,4.77
positive > 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.02,positive,0.17,0.01,4595.96,4522.69,9.82
conceptually dense > 0.70 & technically complicated > 0.70 & positive <= 0.70 & negative > 0.89 & subject to time variability <= 0.89,rule,0.03,positive,0.17,0.03,111.03,76.62,5.1
common > 0.5 & positive <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,positive,0.17,0.01,2985.11,2591.02,9.21
common > 0.5 & unambiguous <= 0.5 & positive <= 0.70 & negative > 0.89 & interdisciplinary > 0.70,rule,0.0,negative,0.17,0.01,48.37,33.83,4.13
common > 0.5 & socially controversial <= 0.5 & positive > 0.5 & positive <= 0.70,rule,0.01,negative,0.16,0.02,61.76,55.34,4.65
common,linear,,negative,0.15,,,,
unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,positive,0.15,0.01,3666.98,3190.1,9.28
conceptually dense > 0.70 & technically complicated > 0.5 & common > 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.23,negative,0.15,0.21,257.14,196.98,6.07
common <= 0.70 & socially controversial <= 0.70 & positive <= 0.5 & negative > 0.70,rule,0.01,negative,0.15,0.01,18.05,6.64,2.18
common <= 0.70 & socially controversial <= 0.70 & positive <= 0.5 & negative > 0.89,rule,0.0,negative,0.15,0.03,13.74,4.81,1.8
conceptually dense <= 0.70 & technically complicated <= 0.70 & positive <= 0.70 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.01,negative,0.15,0.02,812.41,691.97,7.52
conceptually dense <= 0.5 & technically complicated > 0.5 & unambiguous > 0.5 & positive > 0.70 & interdisciplinary > 0.70,rule,0.01,positive,0.13,0.01,673.82,654.23,7.34
technically complicated > 0.70 & positive <= 0.70 & negative > 0.89 & neutral <= 0.30 & interdisciplinary > 0.70,rule,0.03,negative,0.13,0.03,499.27,411.83,6.8
common > 0.5 & socially controversial <= 0.70 & unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.04,negative,0.13,0.04,790.88,659.48,7.33
technically complicated <= 0.70 & unambiguous > 0.30 & unambiguous <= 0.70 & positive <= 0.30,rule,0.03,negative,0.13,0.02,27.79,11.66,2.76
common > 0.5 & socially controversial > 0.70 & positive <= 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.89,rule,0.01,negative,0.13,0.2,895.18,739.26,7.44
conceptually dense > 0.70 & positive <= 0.70 & negative > 0.70 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.03,negative,0.12,0.04,257.87,214.62,6.03
common > 0.5 & positive > 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,positive,0.12,0.01,3715.75,3647.2,9.19
conceptually dense > 0.5 & technically complicated > 0.30 & common > 0.5 & positive > 0.70 & interdisciplinary > 0.70,rule,0.61,positive,0.12,0.51,320.06,312.58,6.45
conceptually dense > 0.70 & technically complicated > 0.70 & common > 0.5 & positive <= 0.70 & negative <= 0.89,rule,0.13,negative,0.11,0.11,35.35,19.71,3.31
conceptually dense > 0.70 & common > 0.89 & socially controversial > 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.0,negative,0.11,0.18,69.67,50.7,4.35
conceptually dense <= 0.70 & technically complicated > 0.5 & socially controversial > 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.03,negative,0.1,0.03,291.17,232.72,6.0
common > 0.5 & socially controversial > 0.5 & unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.27,negative,0.1,0.23,58.14,41.4,4.08
conceptually dense <= 0.89 & technically complicated <= 0.70 & common > 0.70 & socially controversial > 0.89 & positive <= 0.70,rule,0.01,negative,0.1,0.0,22.75,10.64,2.6
socially controversial > 0.70 & positive <= 0.5 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.02,negative,0.1,0.04,35.77,16.4,3.09
conceptually dense <= 0.70 & common > 0.5 & positive > 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.02,negative,0.1,0.09,134.85,104.7,5.12
technically complicated > 0.70 & common > 0.5 & positive > 0.30 & positive <= 0.70 & subject to time variability <= 0.89,rule,0.16,negative,0.1,0.14,97.46,67.63,4.64
technically complicated > 0.70 & common > 0.70 & socially controversial > 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.1,negative,0.1,0.15,5457.34,4607.65,9.24
technically complicated > 0.5 & common > 0.70 & positive <= 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.89,rule,0.0,negative,0.09,0.15,384.59,306.54,6.25
conceptually dense > 0.70 & socially controversial <= 0.5 & unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.01,negative,0.09,0.01,46.5,31.64,3.76
conceptually dense > 0.70 & technically complicated <= 0.5 & positive <= 0.70 & negative > 0.89 & interdisciplinary > 0.70,rule,0.01,negative,0.09,0.01,131.5,96.84,5.0
positive <= 0.30 & subject to geographical variability <= 0.89 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.0,positive,0.09,0.01,7.36,4.83,1.72
technically complicated > 0.5 & common > 0.70 & positive > 0.5 & positive <= 0.70 & negative > 0.89,rule,0.01,negative,0.09,0.03,40.48,23.97,3.46
conceptually dense <= 0.70 & common <= 0.5 & positive <= 0.5 & interdisciplinary > 0.70,rule,0.0,negative,0.09,0.01,135.02,101.23,5.03
technically complicated > 0.5 & unambiguous > 0.70 & positive <= 0.70 & negative <= 0.89 & neutral > 0.30,rule,0.0,negative,0.09,0.0,22.25,11.81,2.7
technically complicated > 0.5 & socially controversial > 0.70 & unambiguous <= 0.70 & positive <= 0.70 & subject to time variability <= 0.89,rule,0.23,positive,0.09,0.22,48.84,29.37,3.7
technically complicated > 0.5 & common > 0.70 & positive <= 0.70 & neutral <= 0.70 & interdisciplinary > 0.70,rule,0.14,negative,0.08,0.13,413.61,331.12,6.28
conceptually dense > 0.5 & technically complicated <= 0.5 & socially controversial <= 0.5 & positive > 0.70 & neutral > 0.5,rule,0.02,positive,0.08,0.02,62.79,59.03,4.4
technically complicated <= 0.70 & positive > 0.30 & positive <= 0.5 & neutral <= 0.30,rule,0.02,positive,0.08,0.04,17.36,5.32,1.81
technically complicated > 0.70 & common > 0.5 & unambiguous <= 0.70 & positive > 0.30 & positive <= 0.70,rule,0.16,negative,0.08,0.14,52.1,34.54,3.82
conceptually dense <= 0.89 & technically complicated <= 0.5 & common > 0.70 & positive <= 0.70 & negative > 0.89,rule,0.0,negative,0.08,0.0,144.99,110.72,5.09
common <= 0.70 & socially controversial > 0.70 & positive <= 0.70 & negative > 0.70 & interdisciplinary > 0.70,rule,0.07,positive,0.08,0.07,634.38,532.17,6.77
