rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common,linear,,negative,7.8,,,,
common > 0.5 & common <= 0.89 & socially controversial <= 0.70 & positive > 0.70 & interdisciplinary > 0.5,rule,0.33,negative,6.63,0.51,8744.1,4905.1,64.81
common > 0.5 & common <= 0.89 & socially controversial > 0.70 & positive > 0.70 & interdisciplinary > 0.5,rule,0.31,negative,4.77,0.51,8744.1,4905.1,49.02
common <= 0.5 & socially controversial <= 0.70 & positive > 0.70,rule,0.02,positive,4.41,0.03,850068.94,572391.56,71.74
conceptually dense > 0.70 & technically complicated > 0.70 & common > 0.5 & positive > 0.70 & neutral <= 0.70,rule,0.08,negative,3.82,0.21,588507.23,361073.88,61.62
socially controversial <= 0.70 & positive > 0.30 & positive <= 0.70 & negative > 0.70 & interdisciplinary > 0.70,rule,0.02,positive,3.24,0.04,57640.73,46986.73,45.64
common > 0.5 & socially controversial > 0.5 & socially controversial <= 0.89 & positive > 0.70 & interdisciplinary > 0.70,rule,0.51,negative,3.01,0.41,5807.67,3031.1,32.17
common > 0.5 & socially controversial > 0.70 & socially controversial <= 0.89 & unambiguous <= 0.70 & positive > 0.70,rule,0.3,negative,2.9,0.24,4073.11,1355.01,28.12
common > 0.5 & socially controversial <= 0.70 & positive <= 0.70 & negative > 0.70 & negative <= 0.89,rule,0.01,positive,2.89,0.01,31277.67,26985.46,39.65
conceptually dense <= 0.70 & common > 0.70 & positive <= 0.70 & neutral > 0.30 & subject to time variability <= 0.89,rule,0.02,positive,2.88,0.02,494166.92,458951.72,50.56
technically complicated > 0.70 & common > 0.5 & socially controversial <= 0.5 & positive > 0.70 & negative <= 0.70,rule,0.05,negative,2.77,0.21,31193.67,16285.64,36.56
conceptually dense <= 0.70 & common <= 0.5 & positive > 0.70 & negative <= 0.89,rule,0.01,positive,2.72,0.01,580893.65,399960.56,47.95
technically complicated > 0.70 & common <= 0.70 & socially controversial > 0.30 & positive <= 0.70 & negative > 0.70,rule,0.05,negative,2.63,0.08,16002.01,11347.76,33.85
conceptually dense <= 0.70 & common > 0.70 & positive > 0.30 & positive <= 0.70 & subject to time variability <= 0.89,rule,0.03,positive,2.6,0.02,389421.63,363392.44,46.14
conceptually dense <= 0.70 & common > 0.30 & unambiguous > 0.5 & unambiguous <= 0.70 & positive <= 0.70,rule,0.06,positive,2.55,0.05,113754.77,105107.38,41.08
technically complicated <= 0.70 & unambiguous > 0.5 & positive <= 0.70 & neutral <= 0.70 & interdisciplinary <= 0.70,rule,0.01,positive,2.16,0.01,8500.48,4107.07,26.29
technically complicated > 0.70 & common > 0.70 & positive > 0.70 & neutral > 0.30,rule,0.16,negative,2.11,0.15,13799.13,9193.34,28.43
technically complicated > 0.5 & common > 0.5 & socially controversial <= 0.89 & positive > 0.5 & interdisciplinary > 0.70,rule,0.61,negative,1.94,0.58,8360.18,2841.16,23.38
conceptually dense > 0.5 & socially controversial <= 0.5 & positive <= 0.70 & negative <= 0.89 & interdisciplinary > 0.70,rule,0.01,positive,1.74,0.01,8172.41,3828.67,22.62
common > 0.5 & socially controversial > 0.70 & positive > 0.70 & interdisciplinary > 0.70,rule,0.3,negative,1.74,0.41,60795.01,39325.94,28.95
conceptually dense > 0.5 & common > 0.5 & common <= 0.70 & positive > 0.70 & neutral > 0.40,rule,0.13,negative,1.68,0.15,24552.36,12542.64,25.26
common <= 0.5 & socially controversial > 0.30 & socially controversial <= 0.5 & unambiguous > 0.5 & positive > 0.30,rule,0.01,positive,1.64,0.01,3256.45,2351.18,20.46
conceptually dense > 0.5 & technically complicated > 0.30 & common > 0.5 & common <= 0.70 & positive > 0.70,rule,0.19,negative,1.6,0.49,8736.54,3926.67,21.54
conceptually dense > 0.70 & technically complicated > 0.5 & common > 0.5 & socially controversial <= 0.89 & positive > 0.70,rule,0.38,negative,1.51,0.3,8206.47,4107.07,20.88
common > 0.5 & unambiguous > 0.5 & positive > 0.5 & positive <= 0.89 & interdisciplinary > 0.5,rule,0.74,negative,1.51,0.6,5331.5,1846.7,18.91
conceptually dense > 0.5 & technically complicated > 0.5 & common > 0.5 & common <= 0.70 & positive > 0.70,rule,0.17,negative,1.49,0.14,230701.07,137127.39,29.44
technically complicated > 0.5 & common > 0.5 & common <= 0.70 & positive > 0.70,rule,0.17,negative,1.47,0.16,5919.37,3553.8,20.16
common <= 0.70 & positive <= 0.70 & negative > 0.5 & neutral > 0.5 & neutral <= 0.70,rule,0.03,negative,1.44,0.08,17901.45,13108.44,23.17
technically complicated <= 0.70 & common > 0.5 & socially controversial > 0.5 & positive > 0.70 & negative <= 0.89,rule,0.23,negative,1.4,0.21,36889.98,17808.28,23.5
common > 0.70 & common <= 0.89 & unambiguous > 0.5 & positive > 0.70,rule,0.44,negative,1.39,0.35,5955.27,3553.8,19.54
