rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
conceptually dense,linear,,positive,4.82,,,,
interdisciplinary,linear,,positive,3.6,,,,
technically complicated,linear,,positive,1.74,,,,
common <= 0.89 & socially controversial > 0.5 & positive > 0.5 & negative <= 0.70 & interdisciplinary > 0.70,rule,0.62,positive,0.36,0.51,108.94,47.89,5.25
conceptually dense <= 0.70 & technically complicated <= 0.70 & socially controversial > 0.5,rule,0.01,negative,0.36,0.05,2141.29,1388.16,9.86
technically complicated > 0.5 & socially controversial > 0.5 & negative <= 0.5 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.36,positive,0.35,0.29,53.09,23.05,4.24
technically complicated > 0.70 & socially controversial > 0.5 & negative <= 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.39,positive,0.29,0.35,96.46,49.91,5.05
conceptually dense > 0.70 & technically complicated > 0.70 & positive > 0.5 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.41,positive,0.23,0.34,244.2,121.71,5.9
conceptually dense > 0.70 & technically complicated > 0.70 & socially controversial > 0.5 & positive > 0.70 & negative <= 0.5,rule,0.2,positive,0.2,0.18,2000.35,998.72,8.27
conceptually dense > 0.70 & technically complicated > 0.5 & common <= 0.89 & socially controversial > 0.5 & unambiguous > 0.70,rule,0.49,positive,0.19,0.57,40.79,16.16,3.3
common <= 0.89 & socially controversial > 0.5 & positive > 0.70 & negative <= 0.70 & interdisciplinary > 0.70,rule,0.48,positive,0.15,0.38,57.34,18.79,3.37
conceptually dense > 0.70 & common <= 0.70 & socially controversial > 0.30 & positive > 0.70,rule,0.21,positive,0.12,0.54,51.68,23.85,3.54
technically complicated <= 0.70 & common > 0.5 & common <= 0.89 & socially controversial <= 0.70 & subject to time variability > 0.70,rule,0.29,negative,0.06,0.39,47.82,19.72,3.15
conceptually dense > 0.70 & technically complicated > 0.70 & socially controversial > 0.5 & positive > 0.70 & subject to time variability <= 0.89,rule,0.27,positive,0.06,0.22,319.76,157.98,5.39
technically complicated > 0.70 & positive > 0.5 & neutral > 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.35,positive,0.05,0.32,39.06,19.72,3.13
technically complicated > 0.5 & common <= 0.70 & positive > 0.5 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.25,positive,0.04,0.21,68.33,34.77,3.68
conceptually dense > 0.70 & technically complicated > 0.5 & common > 0.5 & common <= 0.70,rule,0.27,positive,0.03,0.22,55.2,30.6,3.53
technically complicated > 0.5 & common <= 0.70 & positive > 0.5 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.21,positive,0.01,0.19,81.43,31.76,3.5
conceptually dense > 0.70 & technically complicated <= 0.70 & common > 0.70 & socially controversial > 0.30 & subject to geographical variability > 0.70,rule,0.32,negative,0.0,0.26,94.09,41.72,3.73
