rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
technically complicated > 0.70 & common > 0.5 & socially controversial > 0.5 & positive > 0.70 & negative <= 0.5,rule,0.2,positive,0.02,0.16,1.16,0.44,1.02
technically complicated > 0.5 & common > 0.70 & socially controversial <= 0.70 & negative <= 0.70 & neutral > 0.70,rule,0.3,negative,0.02,0.3,0.45,0.14,1.02
common <= 0.89 & negative > 0.30 & negative <= 0.5 & subject to time variability > 0.70,rule,0.6,positive,0.02,0.72,0.17,0.05,1.02
technically complicated > 0.5 & common > 0.70 & socially controversial <= 0.5 & positive > 0.70,rule,0.14,negative,0.01,0.23,0.64,0.31,1.01
technically complicated > 0.5 & common > 0.70 & neutral > 0.70 & neutral <= 0.89 & subject to time variability > 0.70,rule,0.48,negative,0.01,0.49,0.38,0.15,1.01
common > 0.5 & positive > 0.70 & negative > 0.5 & negative <= 0.70 & neutral > 0.70,rule,0.09,negative,0.01,0.07,0.58,0.21,1.01
common > 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & positive > 0.5 & negative <= 0.70,rule,0.24,positive,0.01,0.21,0.36,0.09,1.01
conceptually dense > 0.70 & socially controversial > 0.5 & positive > 0.70 & negative <= 0.5 & interdisciplinary > 0.70,rule,0.34,positive,0.0,0.41,0.23,0.06,1.0
common > 0.5 & socially controversial > 0.5 & positive > 0.70 & negative > 0.5,rule,0.14,negative,0.0,0.29,0.19,0.08,1.0
conceptually dense > 0.70 & common <= 0.89 & positive > 0.5 & negative <= 0.70 & neutral <= 0.89,rule,0.82,positive,0.0,0.66,0.32,0.16,1.0
