rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
conceptually dense,linear,,positive,1.5,,,,
technically complicated <= 0.70 & common > 0.70 & positive > 0.70 & negative <= 0.5 & subject to time variability <= 0.89,rule,0.27,negative,0.82,0.22,89.12,22.29,5.66
common > 0.5 & common <= 0.89 & socially controversial > 0.5 & positive > 0.5 & subject to time variability <= 0.89,rule,0.63,positive,0.7,0.51,66.11,30.68,5.82
technically complicated > 0.5 & socially controversial > 0.30 & neutral <= 0.89 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.88,positive,0.66,0.7,101.45,32.17,5.77
socially controversial > 0.5 & socially controversial <= 0.89 & positive > 0.70 & negative > 0.5 & subject to time variability <= 0.89,rule,0.14,positive,0.33,0.11,2269.72,1888.05,10.02
technically complicated > 0.5 & common <= 0.89 & socially controversial > 0.5 & socially controversial <= 0.89 & subject to time variability <= 0.89,rule,0.7,positive,0.31,0.57,183.4,91.73,5.93
technically complicated > 0.70 & socially controversial <= 0.89 & positive > 0.30 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.46,positive,0.21,0.37,62.96,31.74,4.19
socially controversial > 0.5 & socially controversial <= 0.89 & unambiguous <= 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.21,positive,0.18,0.17,211.96,116.26,5.62
common <= 0.89 & socially controversial <= 0.5 & unambiguous > 0.70 & positive > 0.70 & subject to time variability > 0.70,rule,0.22,negative,0.16,0.19,85.17,31.67,4.0
conceptually dense > 0.70 & common <= 0.70 & negative > 0.5 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.12,positive,0.14,0.22,168.4,80.23,5.02
socially controversial > 0.5 & positive > 0.70 & negative > 0.5 & subject to time variability <= 0.89,rule,0.14,positive,0.1,0.12,4309.11,3752.18,9.04
socially controversial > 0.5 & positive > 0.5 & negative > 0.5 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.26,positive,0.09,0.22,2649.24,2103.86,8.33
technically complicated <= 0.70 & common > 0.70 & positive > 0.5 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.31,negative,0.08,0.33,109.63,38.81,3.95
conceptually dense > 0.70 & socially controversial <= 0.89 & neutral > 0.5 & neutral <= 0.89 & subject to geographical variability > 0.70,rule,0.91,positive,0.06,0.74,75.7,31.37,3.64
conceptually dense > 0.70 & technically complicated > 0.5 & common <= 0.70 & positive <= 0.89 & subject to geographical variability > 0.70,rule,0.28,positive,0.03,0.22,188.38,87.02,4.6
conceptually dense > 0.70 & socially controversial > 0.5 & positive > 0.5 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.51,positive,0.01,0.41,51.22,16.67,2.84
common > 0.5 & common <= 0.89 & unambiguous > 0.70 & positive > 0.70 & negative <= 0.5,rule,0.51,negative,0.01,0.48,81.63,33.21,3.52
