rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
socially controversial > 0.5 & socially controversial <= 0.89 & positive > 0.30 & positive <= 0.70 & interdisciplinary <= 0.70,rule,0.01,negative,1.43,0.19,117.67,41.22,9.02
technically complicated <= 0.70 & common > 0.5 & unambiguous <= 0.70 & positive <= 0.70 & subject to time variability <= 0.89,rule,0.04,negative,1.19,0.07,144.42,57.49,8.88
common > 0.5 & positive <= 0.70 & negative > 0.5 & interdisciplinary <= 0.70,rule,0.01,negative,0.87,0.01,2062.2,1651.95,13.88
technically complicated > 0.70 & positive > 0.30 & positive <= 0.70 & subject to time variability > 0.89,rule,0.01,negative,0.72,0.01,123.95,46.17,6.57
technically complicated > 0.5 & common > 0.5 & common <= 0.70 & positive > 0.70 & subject to time variability > 0.70,rule,0.19,positive,0.7,0.15,266.84,88.87,7.61
socially controversial > 0.30 & socially controversial <= 0.5 & positive > 0.70 & subject to geographical variability > 0.70 & subject to time variability <= 0.70,rule,0.01,positive,0.61,0.01,265.27,95.1,7.34
conceptually dense > 0.70 & common > 0.5 & common <= 0.89 & socially controversial > 0.5 & positive > 0.70,rule,0.48,positive,0.54,0.4,128.62,54.57,6.14
technically complicated > 0.70 & common <= 0.70 & socially controversial > 0.5 & negative <= 0.5 & subject to geographical variability > 0.70,rule,0.08,negative,0.44,0.11,106.31,31.55,4.97
technically complicated <= 0.70 & common > 0.70 & socially controversial > 0.30 & positive > 0.70 & interdisciplinary <= 0.70,rule,0.04,positive,0.43,0.04,215.37,74.47,6.18
conceptually dense > 0.70 & technically complicated > 0.70 & common > 0.70 & positive > 0.5 & subject to time variability <= 0.89,rule,0.27,positive,0.43,0.22,343.17,130.82,6.99
socially controversial > 0.5 & positive > 0.70 & negative > 0.5 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.09,positive,0.42,0.08,1624.44,800.05,9.52
conceptually dense > 0.70 & technically complicated > 0.5 & common > 0.5 & positive > 0.70 & subject to geographical variability > 0.70,rule,0.62,positive,0.4,0.53,88.71,35.49,5.0
