rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common,linear,,positive,17.34,,,,
common > 0.70 & common <= 0.89 & socially controversial > 0.89 & positive > 0.30 & positive <= 0.70,rule,0.06,negative,2.76,0.21,3342.32,1332.45,27.07
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.70 & unambiguous <= 0.70 & positive > 0.30,rule,0.57,negative,2.51,0.49,74259.73,47403.26,37.77
technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.89 & positive > 0.30 & subject to geographical variability <= 0.89,rule,0.39,positive,2.48,0.32,3583.74,884.97,23.63
common <= 0.89 & socially controversial > 0.5 & positive > 0.5 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.75,negative,2.22,0.62,8160.59,3074.56,25.84
conceptually dense <= 0.70 & common > 0.70 & negative > 0.5 & negative <= 0.70 & interdisciplinary > 0.70,rule,0.04,positive,1.9,0.03,7859.88,4286.63,24.28
conceptually dense <= 0.70 & common > 0.70 & common <= 0.89 & negative > 0.5 & negative <= 0.70,rule,0.03,positive,1.79,0.02,130830.03,101775.95,32.2
conceptually dense > 0.5 & common <= 0.89 & positive > 0.30 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.81,negative,1.78,0.71,3365.0,1290.39,19.9
conceptually dense > 0.5 & conceptually dense <= 0.70 & common <= 0.89 & positive > 0.70 & negative > 0.5,rule,0.03,positive,1.68,0.03,29269.74,22031.35,26.8
common <= 0.89 & neutral <= 0.70 & subject to geographical variability > 0.89 & interdisciplinary <= 0.89 & subject to time variability <= 0.89,rule,0.1,negative,1.36,0.09,14262.13,4807.14,19.99
technically complicated > 0.5 & common <= 0.89 & socially controversial > 0.5 & positive > 0.5 & interdisciplinary > 0.70,rule,0.77,negative,1.31,0.62,9388.5,4244.33,19.27
conceptually dense > 0.70 & common > 0.70 & socially controversial > 0.70 & positive > 0.5 & neutral > 0.5,rule,0.62,negative,1.3,0.5,3681.23,1108.83,16.09
conceptually dense > 0.5 & common <= 0.89 & negative <= 0.70 & subject to geographical variability <= 0.89 & subject to time variability <= 0.89,rule,0.5,negative,1.23,0.45,3128.55,901.03,15.2
conceptually dense > 0.70 & common > 0.70 & common <= 0.89 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.42,negative,0.94,0.38,7963.8,3356.09,15.71
common > 0.89 & socially controversial <= 0.5 & positive <= 0.89,rule,0.02,positive,0.93,0.02,49683.27,47403.26,20.75
conceptually dense > 0.70 & common <= 0.89 & neutral <= 0.70 & subject to geographical variability > 0.89 & interdisciplinary <= 0.89,rule,0.11,negative,0.92,0.1,21810.98,10341.9,17.78
common <= 0.89 & unambiguous > 0.70 & positive > 0.5 & positive <= 0.89 & subject to time variability > 0.70,rule,0.22,negative,0.79,0.18,17307.7,10877.33,16.67
common <= 0.89 & positive > 0.30 & negative > 0.70 & subject to geographical variability > 0.89 & interdisciplinary > 0.70,rule,0.09,negative,0.61,0.26,5763.83,1863.44,12.11
common <= 0.89 & unambiguous > 0.70 & positive > 0.5 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.22,negative,0.6,0.18,13059.99,6847.1,14.16
common <= 0.89 & socially controversial > 0.70 & unambiguous > 0.5 & unambiguous <= 0.70 & positive > 0.30,rule,0.57,negative,0.46,0.45,5311.86,1688.33,10.88
common <= 0.89 & socially controversial <= 0.89 & unambiguous > 0.70 & positive > 0.5,rule,0.23,negative,0.43,0.19,2785.8,1166.61,10.09
conceptually dense > 0.70 & common <= 0.89 & unambiguous <= 0.70 & positive > 0.30 & interdisciplinary <= 0.89,rule,0.56,negative,0.4,0.49,26164.22,14521.69,13.39
conceptually dense > 0.5 & common <= 0.89 & positive > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.5,negative,0.32,0.56,15966.77,9409.95,12.11
technically complicated > 0.70 & common > 0.70 & positive > 0.5 & negative <= 0.70 & subject to geographical variability <= 0.89,rule,0.21,negative,0.31,0.25,3960.54,1586.07,9.68
conceptually dense > 0.70 & common <= 0.89 & unambiguous <= 0.70 & positive > 0.70 & interdisciplinary <= 0.89,rule,0.35,negative,0.19,0.31,12058.31,6782.13,10.54
conceptually dense > 0.5 & conceptually dense <= 0.70 & common > 0.70 & common <= 0.89 & negative <= 0.5,rule,0.04,negative,0.15,0.03,51274.7,40323.46,12.19
technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.89 & interdisciplinary <= 0.89 & subject to time variability <= 0.89,rule,0.42,positive,0.09,0.34,4595.77,1811.37,8.19
conceptually dense > 0.70 & technically complicated > 0.70 & common > 0.70 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.23,negative,0.08,0.18,5927.34,1585.71,7.97
conceptually dense > 0.70 & common <= 0.89 & negative <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.4,negative,0.07,0.38,14368.48,4807.14,9.09
technically complicated > 0.70 & common > 0.5 & socially controversial > 0.70 & positive > 0.30 & neutral <= 0.70,rule,0.33,negative,0.06,0.27,2348.45,1096.1,7.42
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.70 & interdisciplinary <= 0.89 & subject to time variability <= 0.89,rule,0.61,negative,0.05,0.51,13900.37,6420.96,9.2
conceptually dense > 0.70 & common <= 0.89 & negative > 0.5 & negative <= 0.70 & subject to geographical variability <= 0.89,rule,0.38,negative,0.03,0.35,19678.68,10341.9,9.48
common <= 0.89 & socially controversial > 0.70 & unambiguous <= 0.70 & positive > 0.30 & subject to time variability <= 0.89,rule,0.55,negative,0.0,0.46,17710.82,9423.29,9.18
