rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common,linear,,positive,0.03,,,,
conceptually dense <= 0.89 & technically complicated <= 0.70 & common > 0.5 & positive > 0.70,rule,0.38,positive,0.02,0.54,0.07,0.03,1.02
common > 0.5 & common <= 0.89 & socially controversial <= 0.70 & interdisciplinary <= 0.89,rule,0.17,negative,0.02,0.13,0.14,0.04,1.02
common <= 0.89 & unambiguous > 0.70 & positive > 0.30 & negative > 0.70 & interdisciplinary <= 0.89,rule,0.05,negative,0.01,0.04,0.42,0.17,1.01
common > 0.5 & negative <= 0.70 & neutral <= 0.70 & interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.3,positive,0.01,0.26,0.13,0.03,1.01
technically complicated > 0.5 & common <= 0.89 & negative > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70,rule,0.64,negative,0.01,0.55,0.17,0.05,1.01
technically complicated <= 0.70 & common > 0.5 & socially controversial > 0.70 & positive > 0.70 & interdisciplinary <= 0.89,rule,0.22,positive,0.01,0.18,0.3,0.11,1.01
common > 0.5 & socially controversial > 0.70 & positive > 0.70 & neutral <= 0.70 & interdisciplinary > 0.70,rule,0.33,positive,0.01,0.27,0.36,0.15,1.01
conceptually dense <= 0.89 & technically complicated > 0.5 & common > 0.70 & common <= 0.89 & interdisciplinary > 0.70,rule,0.79,negative,0.01,0.63,0.28,0.07,1.01
technically complicated > 0.70 & common > 0.5 & unambiguous <= 0.70 & positive > 0.5 & neutral <= 0.70,rule,0.25,positive,0.01,0.22,0.51,0.21,1.01
conceptually dense > 0.70 & common > 0.70 & socially controversial <= 0.89 & positive <= 0.70 & subject to geographical variability <= 0.89,rule,0.17,negative,0.01,0.15,0.5,0.22,1.01
conceptually dense > 0.5 & common <= 0.89 & socially controversial <= 0.70 & positive > 0.70 & interdisciplinary <= 0.89,rule,0.15,negative,0.01,0.13,0.43,0.12,1.01
conceptually dense > 0.70 & conceptually dense <= 0.89 & common > 0.70 & common <= 0.89 & positive <= 0.70,rule,0.26,negative,0.0,0.23,0.37,0.15,1.0
common <= 0.89 & unambiguous > 0.70 & negative > 0.5 & interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.16,negative,0.0,0.19,0.14,0.05,1.0
common <= 0.89 & unambiguous <= 0.70 & positive > 0.5 & neutral <= 0.70 & subject to geographical variability > 0.89,rule,0.1,positive,0.0,0.08,0.78,0.22,1.0
conceptually dense > 0.70 & common > 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & negative <= 0.89,rule,0.6,negative,0.0,0.56,0.1,0.03,1.0
technically complicated <= 0.70 & common > 0.70 & unambiguous > 0.5 & positive > 0.70 & interdisciplinary <= 0.89,rule,0.35,positive,0.0,0.46,0.09,0.02,1.0
common > 0.70 & socially controversial <= 0.89 & positive <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70,rule,0.18,negative,0.0,0.16,0.48,0.23,1.0
conceptually dense > 0.70 & conceptually dense <= 0.89 & common > 0.70 & common <= 0.89 & socially controversial > 0.70,rule,0.64,negative,0.0,0.58,0.14,0.04,1.0
conceptually dense <= 0.89 & common <= 0.89 & socially controversial <= 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.17,negative,0.0,0.14,0.17,0.06,1.0
common <= 0.89 & positive > 0.70 & neutral <= 0.70 & interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.32,positive,0.0,0.25,0.61,0.16,1.0
common > 0.70 & socially controversial > 0.70 & positive <= 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.26,negative,0.0,0.22,0.15,0.05,1.0
technically complicated > 0.5 & common > 0.5 & unambiguous <= 0.70 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.16,negative,0.0,0.25,0.12,0.03,1.0
technically complicated <= 0.70 & common > 0.5 & positive > 0.5 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.45,positive,0.0,0.36,0.15,0.04,1.0
common <= 0.89 & unambiguous > 0.70 & positive > 0.30 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.05,negative,0.0,0.05,0.21,0.06,1.0
technically complicated > 0.5 & common <= 0.89 & socially controversial <= 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.15,negative,0.0,0.11,0.27,0.07,1.0
technically complicated > 0.5 & common > 0.5 & negative > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70,rule,0.26,negative,0.0,0.29,0.21,0.05,1.0
common <= 0.89 & positive > 0.30 & positive <= 0.5 & neutral > 0.5,rule,0.07,negative,0.0,0.06,0.27,0.13,1.0
conceptually dense > 0.5 & common <= 0.89 & socially controversial <= 0.89 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.8,negative,0.0,0.64,0.29,0.13,1.0
technically complicated > 0.5 & common > 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & negative > 0.5,rule,0.6,negative,0.0,0.56,0.31,0.09,1.0
common > 0.5 & common <= 0.89 & socially controversial > 0.89 & positive > 0.5 & interdisciplinary > 0.70,rule,0.06,positive,0.0,0.66,0.26,0.07,1.0
conceptually dense > 0.70 & common > 0.5 & common <= 0.89 & positive <= 0.5 & interdisciplinary > 0.70,rule,0.08,negative,0.0,0.06,0.25,0.07,1.0
conceptually dense > 0.70 & common > 0.70 & socially controversial > 0.70 & negative > 0.70,rule,0.33,negative,0.0,0.27,0.13,0.04,1.0
