rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common,linear,,negative,1.06,,,,
conceptually dense <= 0.70 & common > 0.5 & positive <= 0.89 & neutral > 0.5 & interdisciplinary <= 0.70,rule,0.16,negative,0.39,0.15,77.95,31.53,4.81
technically complicated > 0.30 & common > 0.5 & socially controversial <= 0.5 & negative <= 0.5 & interdisciplinary <= 0.70,rule,0.13,negative,0.33,0.11,92.95,31.45,4.58
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.70 & positive <= 0.5 & negative > 0.70,rule,0.1,positive,0.3,0.08,1586.09,1442.93,9.44
conceptually dense <= 0.70 & technically complicated <= 0.5 & common > 0.5 & socially controversial <= 0.5 & interdisciplinary > 0.70,rule,0.03,negative,0.28,0.03,246.09,158.23,6.48
common <= 0.89 & positive > 0.70 & neutral > 0.5 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.24,positive,0.27,0.2,153.65,79.74,5.57
common > 0.30 & socially controversial <= 0.5 & unambiguous > 0.5 & interdisciplinary <= 0.70 & subject to time variability <= 0.5,rule,0.04,negative,0.26,0.03,224.91,138.1,6.21
conceptually dense <= 0.70 & common > 0.89 & socially controversial > 0.30 & socially controversial <= 0.5,rule,0.01,negative,0.26,0.01,180.73,111.13,5.96
common > 0.30 & unambiguous <= 0.5 & neutral <= 0.70 & subject to time variability > 0.5 & subject to time variability <= 0.70,rule,0.03,negative,0.24,0.02,85.92,40.51,4.59
common > 0.5 & negative > 0.30 & subject to geographical variability <= 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.03,negative,0.24,0.03,77.82,47.95,4.79
conceptually dense > 0.5 & conceptually dense <= 0.70 & common > 0.5 & subject to geographical variability <= 0.70 & interdisciplinary > 0.70,rule,0.02,negative,0.22,0.02,2259.72,1757.08,9.09
common > 0.70 & socially controversial <= 0.70 & unambiguous > 0.5 & positive <= 0.89 & interdisciplinary <= 0.70,rule,0.09,negative,0.21,0.09,78.62,38.47,4.42
conceptually dense <= 0.70 & common > 0.70 & negative <= 0.5 & neutral > 0.70 & subject to time variability <= 0.70,rule,0.08,negative,0.21,0.07,84.96,33.22,4.25
common <= 0.5 & socially controversial > 0.5 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.04,positive,0.21,0.03,25.86,8.66,2.61
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.5 & positive <= 0.70 & neutral <= 0.70,rule,0.32,positive,0.19,0.26,149.34,102.93,5.51
technically complicated > 0.5 & common <= 0.89 & socially controversial > 0.30 & positive > 0.5 & interdisciplinary > 0.70,rule,0.49,positive,0.19,0.46,101.7,55.58,4.79
conceptually dense > 0.70 & technically complicated <= 0.70 & common <= 0.89 & negative > 0.30 & subject to geographical variability > 0.70,rule,0.44,positive,0.18,0.48,653.38,548.95,7.42
conceptually dense <= 0.5 & common > 0.70 & socially controversial <= 0.30 & positive <= 0.89,rule,0.01,negative,0.18,0.02,370.18,241.44,6.47
conceptually dense > 0.70 & technically complicated <= 0.70 & common <= 0.89 & unambiguous > 0.5 & positive > 0.30,rule,0.25,positive,0.18,0.21,85.51,30.58,4.03
conceptually dense > 0.70 & technically complicated <= 0.70 & positive <= 0.70 & neutral > 0.5 & interdisciplinary <= 0.89,rule,0.12,negative,0.17,0.21,101.36,55.05,4.67
technically complicated <= 0.5 & common > 0.5 & subject to geographical variability > 0.70 & interdisciplinary <= 0.70 & subject to time variability > 0.5,rule,0.1,positive,0.16,0.14,252.62,125.28,5.6
conceptually dense <= 0.5 & common > 0.5 & socially controversial <= 0.30 & neutral > 0.5 & interdisciplinary <= 0.70,rule,0.03,negative,0.16,0.05,134.66,57.93,4.71
conceptually dense > 0.5 & conceptually dense <= 0.70 & common > 0.70 & positive <= 0.70 & interdisciplinary > 0.5,rule,0.03,negative,0.16,0.03,94.44,40.07,4.3
conceptually dense > 0.70 & technically complicated > 0.70 & common <= 0.70 & positive > 0.5,rule,0.12,positive,0.16,0.11,250.26,208.7,6.21
common <= 0.89 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89 & subject to time variability > 0.5 & subject to time variability <= 0.89,rule,0.78,positive,0.16,0.67,51.32,20.89,3.53
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.5 & negative <= 0.5 & interdisciplinary > 0.70,rule,0.17,negative,0.16,0.34,64.93,33.79,4.09
conceptually dense > 0.5 & conceptually dense <= 0.70 & common > 0.5 & socially controversial <= 0.5 & negative > 0.30,rule,0.13,positive,0.16,0.18,40.61,17.06,3.28
conceptually dense <= 0.5 & common > 0.5 & socially controversial <= 0.30 & negative > 0.30,rule,0.01,negative,0.15,0.01,115.29,62.83,4.77
conceptually dense > 0.5 & conceptually dense <= 0.70 & technically complicated <= 0.5 & common <= 0.70 & negative > 0.30,rule,0.04,positive,0.15,0.09,183.62,93.94,5.23
conceptually dense > 0.70 & technically complicated > 0.5 & common > 0.5 & positive > 0.5 & subject to time variability > 0.5,rule,0.4,positive,0.15,0.36,218.15,163.83,5.85
conceptually dense > 0.70 & technically complicated <= 0.5 & common > 0.70 & common <= 0.89 & socially controversial > 0.70,rule,0.03,positive,0.15,0.11,95.91,61.99,4.73
common > 0.5 & common <= 0.70 & socially controversial > 0.30 & socially controversial <= 0.5 & interdisciplinary > 0.70,rule,0.11,positive,0.14,0.1,250.23,186.08,5.95
conceptually dense <= 0.5 & common > 0.70 & positive <= 0.89 & negative <= 0.89 & interdisciplinary <= 0.70,rule,0.04,negative,0.14,0.1,81.21,27.23,3.78
conceptually dense <= 0.70 & common > 0.30 & common <= 0.70 & socially controversial <= 0.5 & interdisciplinary <= 0.70,rule,0.06,negative,0.14,0.05,1315.9,872.29,7.74
conceptually dense <= 0.70 & common <= 0.89 & positive > 0.30 & subject to geographical variability > 0.70 & interdisciplinary > 0.70,rule,0.12,positive,0.13,0.09,4163.59,3022.74,9.04
technically complicated <= 0.70 & common > 0.30 & common <= 0.70 & unambiguous <= 0.5 & subject to time variability <= 0.70,rule,0.02,negative,0.11,0.02,83.47,32.1,3.85
technically complicated <= 0.70 & common <= 0.70 & unambiguous <= 0.70 & negative <= 0.30 & interdisciplinary > 0.5,rule,0.02,negative,0.11,0.01,39.39,11.72,2.74
technically complicated <= 0.70 & common <= 0.89 & unambiguous <= 0.70 & positive <= 0.89 & negative <= 0.30,rule,0.02,negative,0.11,0.02,50.25,18.77,3.27
technically complicated <= 0.5 & common > 0.5 & socially controversial > 0.5 & unambiguous > 0.5 & interdisciplinary > 0.70,rule,0.03,positive,0.11,0.02,192.77,125.28,5.38
common > 0.5 & socially controversial > 0.70 & negative <= 0.5 & subject to geographical variability > 0.70,rule,0.03,positive,0.11,0.26,29.48,15.77,3.05
common > 0.5 & common <= 0.89 & unambiguous <= 0.70 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.02,positive,0.11,0.45,66.72,26.57,3.64
conceptually dense <= 0.5 & common > 0.70 & positive <= 0.89 & neutral > 0.70,rule,0.03,negative,0.1,0.03,700.4,480.62,6.77
conceptually dense > 0.70 & technically complicated <= 0.5 & common <= 0.89 & socially controversial > 0.70 & positive <= 0.5,rule,0.01,positive,0.1,0.08,3089.61,2849.05,8.76
technically complicated <= 0.5 & common > 0.5 & neutral > 0.5 & neutral <= 0.89 & subject to geographical variability <= 0.70,rule,0.07,negative,0.1,0.1,82.74,47.24,4.26
conceptually dense > 0.5 & technically complicated <= 0.5 & common > 0.5 & subject to geographical variability <= 0.70 & subject to time variability > 0.5,rule,0.02,negative,0.1,0.02,47.2,20.55,3.32
conceptually dense > 0.70 & common > 0.5 & socially controversial > 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.27,positive,0.1,0.25,580.1,483.35,6.8
common > 0.70 & positive > 0.70 & positive <= 0.89 & neutral > 0.70 & interdisciplinary <= 0.70,rule,0.05,negative,0.1,0.04,269.47,128.75,5.36
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.5 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.19,positive,0.1,0.16,864.73,724.13,7.25
conceptually dense > 0.70 & technically complicated <= 0.70 & common <= 0.89 & neutral > 0.5 & subject to geographical variability > 0.89,rule,0.01,negative,0.09,0.04,298.02,216.48,5.84
conceptually dense > 0.70 & technically complicated > 0.5 & unambiguous <= 0.5 & positive > 0.5 & interdisciplinary > 0.70,rule,0.13,positive,0.09,0.12,261.45,184.35,5.67
common > 0.70 & common <= 0.89 & neutral <= 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.5,rule,0.28,positive,0.09,0.24,150.82,70.08,4.63
conceptually dense > 0.70 & technically complicated > 0.70 & unambiguous > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.12,negative,0.09,0.1,327.84,243.89,5.99
common <= 0.70 & socially controversial > 0.30 & socially controversial <= 0.70 & positive > 0.70 & subject to geographical variability <= 0.70,rule,0.04,positive,0.09,0.04,109.3,79.74,4.76
conceptually dense <= 0.70 & common <= 0.70 & unambiguous <= 0.70 & negative > 0.5 & subject to geographical variability > 0.70,rule,0.03,positive,0.09,0.02,111.64,61.99,4.49
technically complicated <= 0.70 & negative > 0.30 & neutral <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.55,positive,0.09,0.46,50.11,17.76,3.12
conceptually dense > 0.70 & common <= 0.70 & positive > 0.5 & subject to geographical variability <= 0.89 & subject to time variability > 0.5,rule,0.34,positive,0.08,0.27,144.85,102.49,5.0
technically complicated <= 0.70 & common <= 0.70 & unambiguous <= 0.70 & positive <= 0.89 & negative <= 0.30,rule,0.01,negative,0.08,0.01,59.31,20.8,3.26
socially controversial > 0.70 & socially controversial <= 0.89 & neutral <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.70,rule,0.05,positive,0.08,0.14,79.54,35.21,3.84
technically complicated <= 0.70 & common > 0.5 & positive <= 0.70 & interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.26,negative,0.08,0.36,55.52,22.5,3.37
conceptually dense > 0.70 & common > 0.5 & negative > 0.5 & subject to geographical variability > 0.89 & interdisciplinary > 0.70,rule,0.04,positive,0.08,0.03,154.05,113.38,5.13
common > 0.30 & unambiguous <= 0.70 & negative <= 0.5 & subject to time variability <= 0.5,rule,0.02,negative,0.08,0.01,25.51,8.77,2.34
technically complicated <= 0.70 & common > 0.30 & unambiguous <= 0.5 & neutral > 0.5 & subject to time variability <= 0.70,rule,0.02,negative,0.08,0.02,68.17,25.78,3.51
common > 0.70 & unambiguous > 0.70 & neutral > 0.70 & subject to geographical variability > 0.5 & interdisciplinary > 0.5,rule,0.03,positive,0.08,0.03,49.8,14.64,2.91
conceptually dense > 0.70 & technically complicated > 0.5 & unambiguous > 0.5 & positive <= 0.5 & interdisciplinary <= 0.89,rule,0.05,negative,0.08,0.1,62.65,31.53,3.74
common <= 0.70 & socially controversial <= 0.70 & positive <= 0.70 & negative <= 0.70 & subject to time variability > 0.70,rule,0.04,positive,0.08,0.05,91.81,48.79,4.19
common <= 0.70 & positive > 0.5 & positive <= 0.89 & interdisciplinary <= 0.70 & subject to time variability <= 0.70,rule,0.08,positive,0.08,0.06,110.31,49.37,4.22
conceptually dense > 0.70 & technically complicated > 0.5 & common <= 0.89 & unambiguous <= 0.70 & subject to geographical variability <= 0.70,rule,0.03,positive,0.07,0.02,495.5,427.59,6.49
common > 0.5 & socially controversial > 0.5 & negative > 0.5 & negative <= 0.89 & interdisciplinary <= 0.70,rule,0.08,negative,0.07,0.09,85.73,33.12,3.73
conceptually dense > 0.70 & technically complicated <= 0.70 & common <= 0.89 & positive <= 0.5 & neutral <= 0.5,rule,0.08,positive,0.07,0.08,1010.23,891.8,7.29
conceptually dense <= 0.5 & common > 0.5 & neutral > 0.5 & interdisciplinary <= 0.70,rule,0.06,negative,0.07,0.15,83.48,26.01,3.47
conceptually dense > 0.70 & technically complicated > 0.5 & socially controversial > 0.30 & unambiguous <= 0.5 & interdisciplinary > 0.70,rule,0.19,positive,0.07,0.16,68.66,33.04,3.76
conceptually dense > 0.70 & common <= 0.70 & socially controversial > 0.70 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.03,positive,0.07,0.03,143.07,92.91,4.87
conceptually dense > 0.70 & common <= 0.89 & positive > 0.5 & negative > 0.30 & subject to geographical variability > 0.70,rule,0.47,positive,0.07,0.38,1828.92,1636.34,7.94
technically complicated > 0.5 & common <= 0.70 & unambiguous > 0.5 & subject to time variability > 0.5 & subject to time variability <= 0.70,rule,0.12,negative,0.07,0.14,72.69,40.51,3.94
common > 0.70 & unambiguous > 0.5 & neutral <= 0.70 & subject to time variability > 0.5 & subject to time variability <= 0.70,rule,0.06,positive,0.07,0.11,79.92,40.51,3.97
common <= 0.70 & socially controversial <= 0.89 & unambiguous <= 0.5 & positive > 0.5 & interdisciplinary > 0.70,rule,0.11,positive,0.06,0.3,84.34,49.38,4.14
