rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
neutral,linear,,negative,0.96,,,,
technically complicated <= 0.70 & common > 0.89 & socially controversial <= 0.5 & unambiguous > 0.5 & subject to time variability <= 0.70,rule,0.01,positive,0.21,0.01,54.98,34.52,4.29
technically complicated <= 0.70 & common > 0.89 & socially controversial > 0.5 & neutral <= 0.70,rule,0.01,positive,0.18,0.01,12.26,6.7,2.24
technically complicated > 0.5 & technically complicated <= 0.70 & socially controversial > 0.89 & positive <= 0.5 & neutral <= 0.5,rule,0.01,positive,0.15,0.01,87.9,73.38,4.93
technically complicated <= 0.70 & common > 0.89 & unambiguous > 0.5 & positive > 0.70,rule,0.01,positive,0.15,0.01,40.27,25.88,3.73
conceptually dense > 0.5 & technically complicated <= 0.70 & common > 0.89 & neutral <= 0.70,rule,0.01,positive,0.14,0.01,8.9,4.02,1.58
technically complicated,linear,,negative,0.12,,,,
technically complicated <= 0.70 & common > 0.89 & neutral > 0.5 & subject to geographical variability <= 0.89,rule,0.01,positive,0.12,0.23,12.89,5.91,2.0
common <= 0.89 & unambiguous > 0.70 & negative > 0.30 & negative <= 0.89,rule,0.04,negative,0.12,0.04,21.64,8.12,2.35
technically complicated <= 0.70 & common > 0.89 & negative <= 0.30 & neutral > 0.5,rule,0.0,positive,0.12,0.01,13.25,5.5,1.91
technically complicated > 0.70 & negative <= 0.5 & neutral > 0.70 & subject to geographical variability <= 0.70 & subject to time variability <= 0.70,rule,0.01,negative,0.11,0.01,8.86,3.83,1.49
conceptually dense <= 0.70 & common <= 0.70 & unambiguous <= 0.70 & neutral <= 0.5,rule,0.01,positive,0.11,0.07,24.64,14.56,2.96
conceptually dense > 0.5 & technically complicated > 0.70 & common <= 0.89 & unambiguous > 0.5 & neutral > 0.70,rule,0.06,negative,0.11,0.16,56.82,26.23,3.63
common <= 0.5 & neutral <= 0.5 & interdisciplinary <= 0.70,rule,0.01,positive,0.1,0.01,15.44,13.65,2.88
conceptually dense > 0.70 & common > 0.5 & common <= 0.89 & positive > 0.5 & neutral <= 0.5,rule,0.07,negative,0.1,0.06,100.12,81.32,4.85
socially controversial > 0.5 & positive <= 0.5 & negative <= 0.89 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.12,positive,0.1,0.1,19.89,9.04,2.42
technically complicated <= 0.70 & common <= 0.70 & unambiguous <= 0.70 & neutral <= 0.70,rule,0.33,positive,0.1,0.26,6.0,2.14,1.1
technically complicated <= 0.70 & common > 0.70 & common <= 0.89 & negative <= 0.89 & subject to geographical variability > 0.89,rule,0.03,negative,0.09,0.02,18.75,5.03,1.77
