rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common > 0.5 & socially controversial <= 0.89 & positive > 0.5 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.21,negative,14.36,0.18,20203.79,9526.87,140.72
conceptually dense > 0.5 & socially controversial > 0.30 & positive <= 0.5 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.03,negative,13.19,0.03,16454.79,8073.62,127.64
common > 0.5 & positive > 0.30 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.02,negative,8.77,0.01,4621.73,2170.42,75.07
socially controversial > 0.5 & positive <= 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.89,rule,0.01,negative,8.4,0.01,4863.99,4369.05,78.78
technically complicated > 0.70 & common <= 0.89 & positive <= 0.70 & interdisciplinary > 0.89,rule,0.01,negative,8.4,0.06,7537.13,2153.42,72.17
conceptually dense <= 0.70 & technically complicated <= 0.5 & negative <= 0.70 & interdisciplinary <= 0.5,rule,0.02,positive,7.85,0.02,4147.98,3272.92,71.65
technically complicated > 0.5 & socially controversial <= 0.89 & unambiguous > 0.5 & interdisciplinary > 0.89,rule,0.02,negative,7.2,0.01,4519.21,2393.72,63.82
socially controversial <= 0.89 & positive <= 0.5 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.03,negative,5.94,0.03,107526.09,70534.35,77.46
socially controversial <= 0.89 & positive <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70 & subject to time variability > 0.5,rule,0.08,negative,5.72,0.06,50383.45,29891.34,69.26
common > 0.5 & unambiguous > 0.5 & positive > 0.30 & interdisciplinary > 0.89,rule,0.02,negative,5.07,0.01,3749.36,1827.75,45.58
conceptually dense <= 0.70 & common > 0.5 & positive <= 0.70 & interdisciplinary <= 0.5,rule,0.0,positive,4.88,0.0,227251.73,223988.47,72.43
common <= 0.5 & positive > 0.70 & positive <= 0.89 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.03,positive,4.75,0.29,33183.27,16770.98,55.89
