rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary,linear,,negative,9.01,,,,
conceptually dense <= 0.70 & common > 0.5 & positive <= 0.70 & negative > 0.5 & neutral <= 0.70,rule,0.04,positive,5.48,0.04,16965.99,9182.37,59.11
common > 0.5 & common <= 0.89 & socially controversial <= 0.70 & unambiguous > 0.5 & positive <= 0.5,rule,0.04,positive,3.29,0.03,11890.54,4080.76,35.7
common > 0.5 & common <= 0.70 & positive <= 0.70 & interdisciplinary <= 0.5,rule,0.0,positive,2.16,0.0,30099.96,20615.48,31.38
technically complicated > 0.5 & common <= 0.89 & unambiguous <= 0.5 & positive <= 0.70 & neutral > 0.5,rule,0.08,negative,1.89,0.07,7913.84,2749.51,22.89
conceptually dense > 0.5 & common > 0.5 & common <= 0.70 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.28,negative,1.81,0.22,11232.23,3306.14,22.74
conceptually dense > 0.70 & socially controversial > 0.5 & positive > 0.30 & positive <= 0.70 & subject to time variability <= 0.89,rule,0.31,negative,1.8,0.25,22715.42,9182.37,25.53
conceptually dense <= 0.70 & common > 0.5 & socially controversial > 0.5 & positive > 0.30 & positive <= 0.70,rule,0.04,positive,1.73,0.03,17107.84,7739.97,24.41
technically complicated > 0.70 & common <= 0.70 & unambiguous > 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.03,positive,1.68,0.05,13709.78,6628.8,23.59
common <= 0.70 & socially controversial > 0.70 & unambiguous > 0.5 & positive <= 0.5 & interdisciplinary > 0.70,rule,0.01,negative,1.66,0.03,46013.2,18968.88,26.25
common > 0.5 & positive > 0.70 & negative > 0.30 & interdisciplinary > 0.5,rule,0.47,negative,1.63,0.4,4007.58,1324.58,18.92
technically complicated > 0.30 & common > 0.5 & positive > 0.70 & neutral <= 0.89 & subject to geographical variability <= 0.70,rule,0.11,negative,1.63,0.09,5658.83,2510.93,20.56
common <= 0.5 & positive > 0.5 & subject to geographical variability > 0.5 & subject to geographical variability <= 0.89,rule,0.06,positive,1.6,0.05,2952.2,1766.51,19.47
technically complicated > 0.5 & common > 0.5 & common <= 0.89 & positive > 0.5,rule,0.53,negative,1.59,0.52,3278.22,1184.81,18.32
conceptually dense > 0.70 & common > 0.5 & common <= 0.89 & positive > 0.70,rule,0.27,negative,1.59,0.23,5906.51,1674.36,19.25
conceptually dense > 0.5 & common > 0.5 & common <= 0.89 & positive > 0.70 & subject to geographical variability > 0.70,rule,0.41,negative,1.57,0.33,17937.72,5755.58,22.22
common > 0.5 & positive > 0.70 & positive <= 0.89 & negative > 0.30 & subject to geographical variability > 0.70,rule,0.41,negative,1.52,0.35,3866.35,991.32,17.38
conceptually dense > 0.5 & technically complicated <= 0.5 & common > 0.5 & socially controversial <= 0.89 & subject to time variability > 0.5,rule,0.17,negative,1.43,0.17,4045.06,1661.33,18.06
conceptually dense > 0.70 & common > 0.5 & common <= 0.89 & socially controversial <= 0.70 & negative <= 0.70,rule,0.26,negative,1.36,0.35,16059.73,6518.66,20.7
technically complicated > 0.5 & technically complicated <= 0.70 & unambiguous <= 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.13,negative,1.3,0.11,100776.9,43026.71,24.52
technically complicated <= 0.5 & common > 0.5 & common <= 0.70 & positive <= 0.70 & subject to geographical variability > 0.70,rule,0.02,positive,1.28,0.06,8053.58,1970.41,17.27
conceptually dense <= 0.70 & common > 0.5 & common <= 0.70 & unambiguous > 0.5 & interdisciplinary > 0.5,rule,0.11,negative,1.28,0.1,5361.29,1833.73,17.12
technically complicated > 0.5 & common > 0.5 & common <= 0.89 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.34,negative,1.28,0.27,7984.23,2986.23,18.27
common > 0.5 & common <= 0.70 & positive > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary > 0.5,rule,0.41,negative,1.21,0.34,8140.15,2356.45,17.19
common > 0.70 & unambiguous > 0.5 & positive > 0.70 & negative > 0.30 & neutral <= 0.70,rule,0.13,negative,1.14,0.11,5552.51,1666.87,15.87
common > 0.5 & socially controversial <= 0.70 & negative > 0.70 & interdisciplinary > 0.5,rule,0.04,positive,1.11,0.14,4037.03,1154.33,14.91
technically complicated <= 0.70 & common <= 0.89 & positive <= 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.5,rule,0.3,negative,1.09,0.25,5914.82,1392.41,15.15
