rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
technically complicated <= 0.70 & common > 0.89,rule,0.02,positive,0.69,0.03,879.16,868.35,11.43
common > 0.89 & socially controversial > 0.5,rule,0.02,positive,0.42,0.03,685.44,677.49,9.24
common > 0.89 & subject to geographical variability > 0.89,rule,0.0,positive,0.39,0.03,154.13,151.13,6.95
common,linear,,positive,0.37,,,,
conceptually dense > 0.70 & technically complicated > 0.70 & common > 0.89,rule,0.01,positive,0.34,0.02,247.69,241.75,7.38
common > 0.89 & socially controversial <= 0.30,rule,0.0,positive,0.34,0.03,20.31,18.76,3.93
conceptually dense > 0.5 & technically complicated > 0.70 & common > 0.89 & positive > 0.30 & subject to geographical variability > 0.70,rule,0.01,positive,0.31,0.01,119.91,113.46,6.2
common > 0.89 & unambiguous > 0.5 & positive <= 0.70,rule,0.01,positive,0.31,0.01,613.31,599.02,8.36
technically complicated > 0.70 & common > 0.89 & unambiguous <= 0.70 & subject to geographical variability > 0.70,rule,0.01,positive,0.27,0.01,51.44,48.68,4.95
technically complicated > 0.5 & common > 0.89 & socially controversial <= 0.70 & subject to geographical variability <= 0.89,rule,0.01,positive,0.25,0.01,59.62,56.4,5.05
conceptually dense > 0.5 & common > 0.89 & socially controversial > 0.30 & subject to geographical variability > 0.70 & subject to time variability > 0.5,rule,0.03,positive,0.23,0.02,33.84,29.42,4.16
common > 0.89 & unambiguous > 0.5 & negative > 0.30 & negative <= 0.5 & subject to geographical variability <= 0.89,rule,0.02,positive,0.22,0.02,10.29,8.28,2.57
common > 0.89 & socially controversial <= 0.89 & unambiguous > 0.5 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.02,positive,0.19,0.02,120.47,113.03,5.6
conceptually dense > 0.5 & common > 0.89 & subject to geographical variability <= 0.89 & subject to time variability > 0.5 & subject to time variability <= 0.89,rule,0.02,positive,0.19,0.02,122.09,115.39,5.63
conceptually dense > 0.70 & technically complicated <= 0.70 & common > 0.89 & unambiguous <= 0.70 & subject to geographical variability <= 0.89,rule,0.0,negative,0.14,0.0,248.58,241.75,6.23
conceptually dense > 0.5 & common > 0.89 & unambiguous > 0.5 & positive > 0.30 & positive <= 0.70,rule,0.01,positive,0.12,0.01,136.1,130.35,5.47
common > 0.89 & socially controversial <= 0.5 & positive > 0.70 & subject to geographical variability <= 0.70 & interdisciplinary <= 0.89,rule,0.0,positive,0.11,0.01,14.47,10.6,2.62
common > 0.89 & unambiguous > 0.5 & subject to geographical variability > 0.5 & subject to geographical variability <= 0.89 & subject to time variability > 0.5,rule,0.03,positive,0.1,0.02,6.79,4.47,1.65
technically complicated <= 0.70 & common > 0.89 & socially controversial > 0.5 & unambiguous <= 0.70 & subject to geographical variability <= 0.89,rule,0.0,negative,0.09,0.0,115.15,107.09,5.12
conceptually dense > 0.70 & technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.89 & unambiguous > 0.5,rule,0.01,negative,0.09,0.01,711.45,691.76,7.13
conceptually dense > 0.89 & common <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.01,positive,0.08,0.01,1.34,0.54,1.08
technically complicated <= 0.5 & common > 0.89 & positive > 0.89 & subject to geographical variability > 0.5,rule,0.0,positive,0.08,0.0,87.61,83.79,4.78
technically complicated <= 0.70 & common > 0.89 & neutral > 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.01,negative,0.08,0.01,15.65,12.68,2.73
conceptually dense > 0.5 & common > 0.89 & positive <= 0.70,rule,0.01,positive,0.07,0.02,498.96,495.57,6.64
technically complicated > 0.5 & common > 0.89,rule,0.02,positive,0.07,0.03,960.58,947.24,7.32
conceptually dense > 0.5 & common > 0.89 & socially controversial <= 0.89 & unambiguous > 0.70 & subject to time variability > 0.5,rule,0.01,positive,0.06,0.01,77.71,73.69,4.56
technically complicated > 0.5 & common > 0.89 & socially controversial <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.01,positive,0.05,0.01,21.42,15.46,2.87
technically complicated <= 0.5 & common > 0.89 & positive <= 0.89 & neutral > 0.70 & subject to geographical variability > 0.70,rule,0.01,negative,0.05,0.01,109.84,103.51,4.86
