rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
positive,linear,,positive,0.21,,,,
socially controversial > 0.89 & unambiguous > 0.70 & positive > 0.30 & positive <= 0.70 & subject to geographical variability > 0.89,rule,0.0,negative,0.08,0.01,5.13,3.87,1.47
positive > 0.89 & negative <= 0.5 & subject to geographical variability <= 0.70,rule,0.01,positive,0.08,0.02,12.17,7.39,2.16
socially controversial <= 0.89 & unambiguous > 0.70 & positive <= 0.30,rule,0.01,negative,0.07,0.02,6.6,5.33,1.8
common <= 0.89 & socially controversial <= 0.5 & unambiguous > 0.5 & positive <= 0.5 & interdisciplinary <= 0.89,rule,0.02,negative,0.05,0.04,1.32,0.47,1.05
conceptually dense <= 0.89 & common <= 0.89 & unambiguous > 0.70 & positive <= 0.5 & subject to geographical variability <= 0.89,rule,0.1,negative,0.05,0.08,5.36,4.32,1.54
technically complicated <= 0.89 & common > 0.70 & socially controversial <= 0.5 & positive <= 0.5,rule,0.03,negative,0.04,0.03,0.53,0.18,1.04
common > 0.70 & unambiguous > 0.70 & positive > 0.5 & negative <= 0.30 & subject to time variability <= 0.70,rule,0.02,positive,0.04,0.06,3.37,2.73,1.05
unambiguous > 0.5 & positive > 0.30 & positive <= 0.70 & negative > 0.70 & subject to time variability <= 0.89,rule,0.17,negative,0.04,0.16,4.0,3.04,1.16
technically complicated <= 0.5 & positive <= 0.70 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.0,negative,0.03,0.11,0.89,0.51,1.03
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.5 & positive <= 0.5 & negative > 0.89,rule,0.01,negative,0.03,0.01,5.05,4.18,1.47
unambiguous > 0.5 & positive > 0.70 & positive <= 0.89 & negative > 0.30 & negative <= 0.5,rule,0.48,negative,0.03,0.39,5.25,4.4,1.52
technically complicated > 0.70 & socially controversial <= 0.89 & positive > 0.30 & positive <= 0.5 & subject to geographical variability > 0.5,rule,0.1,negative,0.03,0.12,1.06,0.54,1.03
common <= 0.89 & socially controversial <= 0.70 & positive > 0.70 & negative <= 0.70 & subject to geographical variability > 0.5,rule,0.41,positive,0.03,0.35,0.87,0.46,1.03
socially controversial <= 0.30 & positive > 0.70 & negative <= 0.30 & subject to geographical variability <= 0.70,rule,0.01,positive,0.03,0.01,28.53,26.97,3.39
conceptually dense > 0.5 & positive > 0.89 & negative <= 0.5 & subject to time variability <= 0.70,rule,0.01,positive,0.03,0.01,3.67,2.17,1.03
conceptually dense > 0.70 & unambiguous > 0.70 & positive <= 0.5 & negative > 0.5 & interdisciplinary > 0.89,rule,0.08,negative,0.03,0.07,3.96,3.14,1.18
unambiguous <= 0.70 & positive > 0.5 & negative <= 0.5 & interdisciplinary <= 0.89 & subject to time variability <= 0.70,rule,0.01,positive,0.02,0.01,5.23,4.32,1.49
conceptually dense <= 0.89 & common > 0.5 & unambiguous > 0.5 & negative > 0.70 & subject to geographical variability > 0.70,rule,0.27,negative,0.02,0.22,0.98,0.41,1.02
common > 0.70 & unambiguous <= 0.5 & positive <= 0.70 & subject to geographical variability <= 0.89,rule,0.02,negative,0.02,0.02,3.06,2.74,1.03
technically complicated <= 0.70 & socially controversial <= 0.89 & positive > 0.5 & negative > 0.70 & neutral > 0.5,rule,0.03,negative,0.02,0.03,4.96,4.14,1.45
socially controversial > 0.70 & unambiguous > 0.70 & positive <= 0.5 & negative > 0.70,rule,0.09,negative,0.02,0.08,4.55,3.73,1.34
conceptually dense <= 0.70 & common <= 0.89 & positive > 0.70 & neutral > 0.5 & subject to time variability <= 0.5,rule,0.02,positive,0.02,0.02,0.47,0.19,1.02
conceptually dense <= 0.89 & common <= 0.89 & positive <= 0.70 & neutral <= 0.70 & subject to time variability <= 0.89,rule,0.12,negative,0.02,0.1,2.54,1.79,1.02
common <= 0.70 & unambiguous <= 0.70 & positive > 0.5 & neutral <= 0.70 & subject to time variability > 0.70,rule,0.02,positive,0.02,0.01,2.3,1.49,1.02
technically complicated <= 0.70 & common > 0.5 & positive > 0.5 & negative <= 0.70 & neutral > 0.5,rule,0.29,positive,0.02,0.23,0.6,0.21,1.02
conceptually dense <= 0.89 & unambiguous <= 0.5 & positive > 0.30 & positive <= 0.5 & interdisciplinary > 0.89,rule,0.02,positive,0.02,0.02,1.82,1.32,1.02
common > 0.70 & socially controversial > 0.5 & unambiguous > 0.70 & positive <= 0.70 & negative <= 0.89,rule,0.08,positive,0.02,0.09,5.63,4.39,1.5
technically complicated > 0.70 & positive <= 0.5 & negative <= 0.89 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.02,negative,0.02,0.02,1.41,0.52,1.02
common > 0.70 & common <= 0.89 & socially controversial > 0.89 & positive <= 0.5 & subject to time variability <= 0.89,rule,0.05,negative,0.02,0.04,1.54,1.14,1.02
common <= 0.89 & socially controversial > 0.70 & positive <= 0.70 & subject to time variability <= 0.89,rule,0.2,negative,0.02,0.17,1.3,0.52,1.02
common <= 0.70 & socially controversial > 0.5 & unambiguous > 0.70 & positive > 0.30 & negative > 0.70,rule,0.02,negative,0.02,0.02,1.26,0.38,1.02
common > 0.89 & unambiguous > 0.70 & positive > 0.70 & neutral > 0.5 & subject to time variability > 0.5,rule,0.02,positive,0.02,0.02,0.47,0.19,1.02
conceptually dense <= 0.89 & common <= 0.89 & unambiguous > 0.5 & positive <= 0.70 & subject to time variability <= 0.89,rule,0.21,negative,0.02,0.17,1.54,0.98,1.02
socially controversial <= 0.5 & positive <= 0.5 & negative <= 0.89 & subject to geographical variability > 0.5 & interdisciplinary <= 0.89,rule,0.02,negative,0.02,0.03,3.21,2.22,1.02
socially controversial <= 0.89 & unambiguous > 0.70 & positive <= 0.30 & subject to geographical variability <= 0.89,rule,0.01,negative,0.02,0.01,8.07,6.88,1.97
common > 0.5 & common <= 0.89 & positive > 0.70 & negative > 0.5 & subject to time variability > 0.70,rule,0.2,negative,0.02,0.16,13.42,11.47,2.5
socially controversial <= 0.89 & positive > 0.70 & negative > 0.5 & neutral > 0.5 & subject to time variability > 0.70,rule,0.19,negative,0.02,0.17,17.93,15.71,2.8
unambiguous > 0.70 & positive <= 0.5 & negative > 0.70 & interdisciplinary > 0.89,rule,0.08,negative,0.02,0.09,2.46,0.9,1.02
technically complicated > 0.70 & common <= 0.70 & unambiguous <= 0.70 & positive <= 0.5 & interdisciplinary > 0.89,rule,0.01,positive,0.02,0.05,14.47,12.32,2.57
technically complicated > 0.5 & positive > 0.5 & negative > 0.5 & negative <= 0.70 & neutral <= 0.70,rule,0.02,negative,0.02,0.02,86.8,77.82,4.46
common > 0.70 & unambiguous > 0.70 & positive <= 0.30,rule,0.02,negative,0.02,0.02,1.74,1.3,1.02
technically complicated > 0.70 & socially controversial <= 0.70 & unambiguous > 0.70 & positive <= 0.70 & interdisciplinary > 0.89,rule,0.02,positive,0.01,0.02,1.42,0.72,1.01
socially controversial <= 0.89 & unambiguous <= 0.5 & positive <= 0.5 & interdisciplinary <= 0.89,rule,0.01,negative,0.01,0.01,49.7,48.65,3.91
socially controversial <= 0.5 & positive > 0.30 & positive <= 0.5 & subject to geographical variability > 0.5 & subject to geographical variability <= 0.89,rule,0.03,negative,0.01,0.02,2.84,1.75,1.01
technically complicated > 0.5 & socially controversial > 0.5 & positive > 0.70 & negative > 0.5 & interdisciplinary > 0.89,rule,0.14,positive,0.01,0.12,0.68,0.45,1.01
socially controversial > 0.70 & unambiguous > 0.5 & positive <= 0.70 & interdisciplinary > 0.89,rule,0.14,negative,0.01,0.13,0.94,0.39,1.01
common <= 0.89 & unambiguous > 0.70 & positive <= 0.5 & negative > 0.70 & subject to geographical variability <= 0.89,rule,0.09,negative,0.01,0.09,2.48,1.5,1.01
common > 0.70 & positive <= 0.30 & negative > 0.89,rule,0.01,negative,0.01,0.01,0.47,0.26,1.01
common > 0.89 & unambiguous > 0.70 & positive > 0.70 & negative <= 0.70,rule,0.02,positive,0.01,0.29,1.6,1.33,1.01
common > 0.70 & socially controversial > 0.5 & unambiguous > 0.70 & positive <= 0.5 & negative <= 0.89,rule,0.07,positive,0.01,0.08,27.62,23.59,3.2
socially controversial <= 0.89 & positive > 0.70 & positive <= 0.89 & subject to geographical variability > 0.5 & subject to time variability > 0.70,rule,0.6,negative,0.01,0.53,1.56,1.16,1.01
unambiguous <= 0.70 & positive > 0.70 & negative > 0.30 & negative <= 0.5 & subject to time variability <= 0.70,rule,0.01,positive,0.01,0.01,7.19,5.8,1.77
unambiguous <= 0.70 & positive > 0.5 & negative > 0.30 & negative <= 0.5 & subject to time variability <= 0.70,rule,0.01,positive,0.01,0.06,46.56,39.29,3.71
common <= 0.70 & unambiguous > 0.5 & positive > 0.5 & negative <= 0.5 & subject to time variability > 0.70,rule,0.09,negative,0.01,0.08,45.68,39.29,3.72
conceptually dense <= 0.70 & positive <= 0.89 & negative <= 0.5 & neutral > 0.70 & subject to time variability > 0.5,rule,0.06,negative,0.01,0.38,0.58,0.25,1.01
