rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary,linear,,positive,0.18,,,,
common > 0.89 & neutral <= 0.70 & interdisciplinary > 0.89,rule,0.01,positive,0.08,0.01,29.49,28.79,3.61
common > 0.89 & socially controversial > 0.30 & negative > 0.30 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.02,positive,0.08,0.02,0.59,0.41,1.08
technically complicated <= 0.5 & common > 0.89 & positive <= 0.89 & interdisciplinary <= 0.89,rule,0.01,positive,0.07,0.01,28.41,26.7,3.5
socially controversial > 0.70 & positive <= 0.70 & negative > 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.1,positive,0.07,0.08,1.86,0.65,1.07
technically complicated <= 0.5 & common > 0.89 & positive <= 0.89,rule,0.01,positive,0.06,0.01,34.03,32.87,3.71
conceptually dense > 0.70 & technically complicated <= 0.5 & common > 0.70 & socially controversial <= 0.70 & subject to geographical variability <= 0.89,rule,0.03,positive,0.06,0.07,1.02,0.3,1.06
common > 0.89 & positive > 0.70 & subject to geographical variability > 0.5 & subject to time variability <= 0.89,rule,0.02,positive,0.06,0.02,0.5,0.26,1.06
common,linear,,positive,0.05,,,,
common > 0.89 & positive <= 0.89 & negative > 0.30 & subject to geographical variability > 0.5 & subject to time variability > 0.5,rule,0.03,positive,0.05,0.03,1.03,0.54,1.05
common > 0.89 & socially controversial > 0.30 & positive <= 0.89 & negative > 0.30 & subject to geographical variability > 0.70,rule,0.03,positive,0.05,0.03,2.29,1.56,1.05
common > 0.89 & unambiguous > 0.5 & positive <= 0.89 & subject to geographical variability <= 0.89 & subject to time variability <= 0.89,rule,0.03,positive,0.05,0.02,0.6,0.26,1.05
technically complicated <= 0.70 & common > 0.70 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89,rule,0.3,positive,0.04,0.26,0.69,0.24,1.04
conceptually dense > 0.70 & technically complicated <= 0.5 & common > 0.70 & common <= 0.89 & subject to geographical variability <= 0.89,rule,0.06,positive,0.03,0.05,3.1,1.43,1.03
common > 0.89 & unambiguous > 0.5 & positive > 0.70 & neutral > 0.70 & subject to geographical variability > 0.5,rule,0.02,positive,0.03,0.02,1.26,0.47,1.03
technically complicated <= 0.70 & common > 0.5 & common <= 0.89 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.12,positive,0.03,0.1,9.87,5.86,1.82
conceptually dense > 0.5 & technically complicated <= 0.5 & common > 0.70 & interdisciplinary <= 0.89,rule,0.07,positive,0.02,0.08,0.81,0.32,1.02
common <= 0.89 & unambiguous > 0.70 & negative > 0.30 & negative <= 0.70 & neutral > 0.5,rule,0.4,negative,0.02,0.45,0.85,0.25,1.02
conceptually dense > 0.5 & common <= 0.89 & positive > 0.30 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.58,negative,0.02,0.49,0.75,0.18,1.02
technically complicated > 0.5 & common > 0.5 & common <= 0.89 & unambiguous <= 0.5 & positive > 0.30,rule,0.06,negative,0.02,0.05,1.38,0.45,1.02
common <= 0.89 & socially controversial > 0.70 & unambiguous <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.17,positive,0.02,0.22,1.56,0.54,1.02
technically complicated > 0.5 & common <= 0.89 & unambiguous > 0.5 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.54,negative,0.02,0.46,1.71,0.8,1.02
technically complicated > 0.70 & common > 0.70 & common <= 0.89 & positive <= 0.70,rule,0.14,negative,0.01,0.13,0.47,0.22,1.01
common <= 0.89 & unambiguous <= 0.70 & positive > 0.70 & neutral > 0.5 & interdisciplinary > 0.89,rule,0.19,positive,0.01,0.22,1.07,0.25,1.01
common <= 0.89 & unambiguous > 0.5 & neutral > 0.5 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.76,negative,0.01,0.65,1.34,0.62,1.01
common <= 0.89 & negative > 0.30 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.51,positive,0.01,0.64,0.95,0.31,1.01
technically complicated > 0.5 & neutral > 0.70 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.46,negative,0.01,0.47,0.69,0.22,1.01
technically complicated <= 0.70 & common > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.12,positive,0.01,0.12,1.77,0.52,1.01
technically complicated > 0.5 & common > 0.5 & socially controversial <= 0.89 & positive > 0.5 & interdisciplinary <= 0.89,rule,0.2,negative,0.01,0.17,0.57,0.23,1.01
technically complicated > 0.5 & common <= 0.89 & socially controversial <= 0.89 & unambiguous > 0.5 & subject to time variability <= 0.89,rule,0.72,negative,0.01,0.58,1.16,0.45,1.01
common <= 0.89 & socially controversial <= 0.89 & unambiguous > 0.5 & negative > 0.30 & subject to time variability <= 0.89,rule,0.81,negative,0.01,0.66,0.61,0.24,1.01
technically complicated > 0.5 & socially controversial <= 0.5 & unambiguous > 0.5 & positive <= 0.89 & neutral > 0.70,rule,0.34,negative,0.01,0.28,0.58,0.22,1.01
technically complicated > 0.70 & common <= 0.89 & socially controversial <= 0.70 & interdisciplinary > 0.89,rule,0.21,negative,0.01,0.2,7.32,5.39,1.69
conceptually dense <= 0.70 & technically complicated <= 0.70 & common <= 0.89 & socially controversial <= 0.5 & interdisciplinary <= 0.89,rule,0.08,negative,0.01,0.07,4.37,2.27,1.01
common <= 0.89 & unambiguous <= 0.70 & positive <= 0.30 & neutral <= 0.70 & interdisciplinary > 0.89,rule,0.01,positive,0.01,0.01,33.41,24.28,3.23
technically complicated > 0.5 & common <= 0.89 & socially controversial <= 0.70 & unambiguous > 0.5 & neutral > 0.70,rule,0.41,negative,0.01,0.33,19.15,13.87,2.64
technically complicated > 0.70 & common > 0.70 & common <= 0.89 & unambiguous <= 0.70 & positive > 0.30,rule,0.17,negative,0.01,0.21,2.28,0.8,1.01
common <= 0.89 & positive <= 0.5 & neutral <= 0.5 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.01,positive,0.01,0.01,3.1,1.59,1.01
conceptually dense <= 0.89 & technically complicated > 0.70 & common > 0.70 & common <= 0.89 & unambiguous <= 0.70,rule,0.17,negative,0.01,0.14,5.24,3.57,1.28
technically complicated > 0.70 & common > 0.70 & common <= 0.89 & socially controversial > 0.70 & negative > 0.5,rule,0.18,negative,0.01,0.16,10.73,7.73,2.07
technically complicated <= 0.70 & common > 0.70 & common <= 0.89 & positive > 0.5 & interdisciplinary <= 0.89,rule,0.18,negative,0.01,0.16,2.56,1.2,1.01
technically complicated > 0.5 & common <= 0.89 & unambiguous > 0.5 & positive <= 0.70 & neutral > 0.70,rule,0.12,negative,0.01,0.1,2.87,1.59,1.01
conceptually dense <= 0.70 & technically complicated <= 0.70 & common <= 0.89 & negative > 0.30 & interdisciplinary <= 0.89,rule,0.08,negative,0.01,0.07,10.49,6.49,1.89
positive > 0.30 & negative <= 0.5 & neutral > 0.5 & interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.17,negative,0.0,0.21,0.77,0.35,1.0
technically complicated > 0.70 & common <= 0.70 & socially controversial > 0.70 & subject to geographical variability <= 0.89,rule,0.07,positive,0.0,0.06,2.12,1.34,1.0
conceptually dense > 0.70 & technically complicated > 0.5 & unambiguous > 0.5 & neutral > 0.70 & interdisciplinary <= 0.89,rule,0.18,negative,0.0,0.18,1.48,0.72,1.0
common <= 0.89 & unambiguous > 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.48,negative,0.0,0.39,0.87,0.26,1.0
technically complicated > 0.70 & technically complicated <= 0.89 & socially controversial <= 0.70 & neutral > 0.5 & subject to geographical variability <= 0.89,rule,0.3,negative,0.0,0.41,0.34,0.24,1.0
technically complicated > 0.5 & socially controversial <= 0.70 & positive <= 0.89 & neutral > 0.70 & subject to geographical variability <= 0.89,rule,0.42,negative,0.0,0.34,0.75,0.3,1.0
technically complicated > 0.5 & unambiguous <= 0.5 & negative > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.02,positive,0.0,0.03,1.02,0.27,1.0
conceptually dense <= 0.89 & technically complicated > 0.70 & common > 0.70 & common <= 0.89 & socially controversial > 0.70,rule,0.2,negative,0.0,0.16,9.51,7.0,1.95
conceptually dense <= 0.89 & technically complicated > 0.70 & common <= 0.89 & socially controversial > 0.70 & negative <= 0.5,rule,0.04,positive,0.0,0.04,5.22,3.48,1.25
conceptually dense <= 0.89 & technically complicated > 0.70 & common <= 0.89 & socially controversial > 0.70 & negative > 0.5,rule,0.22,negative,0.0,0.18,4.78,3.0,1.1
common <= 0.89 & socially controversial > 0.89 & positive <= 0.5 & neutral <= 0.5 & subject to geographical variability <= 0.89,rule,0.01,positive,0.0,0.02,5.32,2.71,1.0
common <= 0.89 & socially controversial <= 0.89 & positive > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.29,negative,0.0,0.27,1.15,0.33,1.0
common > 0.70 & common <= 0.89 & unambiguous > 0.70 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.44,negative,0.0,0.42,2.82,1.53,1.0
common <= 0.89 & unambiguous <= 0.70 & positive <= 0.70 & neutral > 0.5 & interdisciplinary > 0.89,rule,0.08,negative,0.0,0.22,1.07,0.25,1.0
common > 0.89 & positive <= 0.89 & neutral > 0.5 & subject to geographical variability > 0.5 & interdisciplinary > 0.89,rule,0.02,positive,0.0,0.03,2.61,1.63,1.0
conceptually dense > 0.70 & common <= 0.89 & negative > 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.11,positive,0.0,0.1,3.08,1.75,1.0
common <= 0.89 & unambiguous > 0.70 & negative <= 0.89 & neutral > 0.5 & subject to geographical variability <= 0.89,rule,0.53,negative,0.0,0.67,1.27,0.5,1.0
