rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common <= 0.5 & positive > 0.5,rule,0.03,positive,2078.21,0.03,1121028544.0,853794816.0,42759.4
technically complicated > 0.5 & common <= 0.5 & positive > 0.5 & subject to geographical variability > 0.70,rule,0.02,positive,181.74,0.02,832260160.0,584350016.0,3688.79
common <= 0.5 & positive > 0.5 & positive <= 0.70,rule,0.0,positive,132.66,0.02,466738048.0,344843104.0,2627.5
technically complicated > 0.70 & common <= 0.5 & positive > 0.5,rule,0.02,positive,121.79,0.02,886126464.0,633368704.0,2488.43
common <= 0.5 & socially controversial > 0.70 & positive > 0.5,rule,0.02,positive,78.57,0.02,521928960.0,386642432.0,1573.43
technically complicated > 0.5 & common <= 0.5 & positive > 0.5 & subject to time variability > 0.5,rule,0.02,positive,66.71,0.02,826925632.0,619667456.0,1370.86
technically complicated > 0.70 & common <= 0.5 & positive > 0.5 & subject to time variability > 0.70,rule,0.02,positive,64.36,0.02,463740032.0,342537600.0,1284.39
technically complicated > 0.70 & common <= 0.5 & socially controversial > 0.5 & positive > 0.5 & negative > 0.5,rule,0.01,positive,60.31,0.01,205901152.0,148944736.0,1153.84
common,linear,,negative,42.6,,,,
positive,linear,,positive,40.94,,,,
conceptually dense > 0.5 & conceptually dense <= 0.89 & common > 0.5 & common <= 0.89 & positive <= 0.70,rule,0.24,negative,14.18,0.2,2529265.13,2506470.75,223.66
common > 0.5 & common <= 0.89 & positive > 0.70 & positive <= 0.89 & interdisciplinary > 0.89,rule,0.4,positive,13.43,0.32,72409668.38,71905800.0,261.11
conceptually dense > 0.5 & conceptually dense <= 0.89 & common > 0.70 & positive <= 0.70,rule,0.22,negative,8.26,0.18,22789.91,17973.18,90.74
technically complicated > 0.5 & common <= 0.5 & socially controversial > 0.70 & positive > 0.5 & neutral > 0.5,rule,0.01,positive,6.46,0.01,15715065.0,10323133.0,120.49
technically complicated > 0.70 & common > 0.5 & common <= 0.89 & positive > 0.70 & subject to time variability > 0.5,rule,0.39,positive,5.1,0.31,20140654.01,20002300.0,102.56
conceptually dense > 0.5 & common > 0.5 & common <= 0.89 & socially controversial <= 0.89 & positive <= 0.70,rule,0.19,negative,4.3,0.15,23808472.38,23632730.0,89.94
common > 0.5 & socially controversial <= 0.70 & positive <= 0.70,rule,0.05,negative,4.1,0.21,859249368.0,853794816.0,104.96
conceptually dense > 0.5 & common > 0.5 & unambiguous > 0.5 & positive > 0.70 & subject to time variability <= 0.89,rule,0.63,positive,3.37,0.54,1388368.24,1365626.5,61.72
common > 0.5 & positive > 0.30 & positive <= 0.70 & negative <= 0.89 & neutral > 0.5,rule,0.2,negative,3.34,0.17,27538888.31,27344546.0,74.4
conceptually dense > 0.70 & common > 0.5 & common <= 0.89 & positive > 0.70 & neutral > 0.70,rule,0.53,positive,2.32,0.48,7919770.23,7841555.0,52.63
conceptually dense > 0.70 & common > 0.5 & unambiguous > 0.5 & positive > 0.70 & subject to time variability <= 0.89,rule,0.58,positive,1.82,0.46,2484198.97,2457226.75,41.49
technically complicated > 0.70 & common > 0.5 & positive > 0.70 & positive <= 0.89 & interdisciplinary > 0.89,rule,0.31,positive,1.29,0.25,95104838.47,94432800.0,42.11
common > 0.5 & common <= 0.89 & socially controversial <= 0.89 & positive > 0.30 & positive <= 0.70,rule,0.17,negative,0.94,0.15,102757497.75,102048944.0,35.79
common > 0.70 & socially controversial > 0.5 & positive > 0.70,rule,0.25,positive,0.01,0.43,26114.37,16770.49,9.79
