rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
positive,linear,,positive,3.32,,,,
common > 0.5 & positive > 0.5 & positive <= 0.70,rule,0.04,negative,1.06,0.04,1849.53,1833.27,15.46
socially controversial <= 0.70 & positive > 0.30 & positive <= 0.70,rule,0.05,negative,0.38,0.04,2417.15,2396.53,10.78
technically complicated <= 0.89 & socially controversial > 0.70 & positive > 0.30 & positive <= 0.70 & negative <= 0.89,rule,0.18,negative,0.26,0.18,60.64,55.51,5.08
conceptually dense <= 0.89 & common > 0.5 & positive <= 0.30,rule,0.04,positive,0.2,0.16,4.62,1.73,1.2
positive <= 0.70 & negative <= 0.70,rule,0.03,negative,0.18,0.22,3491.62,3467.59,9.65
technically complicated > 0.5 & positive > 0.30 & positive <= 0.70 & neutral > 0.70 & subject to geographical variability <= 0.89,rule,0.1,negative,0.16,0.09,421.5,410.53,6.96
technically complicated > 0.5 & common <= 0.89 & positive <= 0.5 & neutral > 0.5,rule,0.18,negative,0.12,0.15,5.6,1.56,1.12
socially controversial > 0.89 & positive <= 0.70 & neutral > 0.5 & neutral <= 0.70,rule,0.04,negative,0.12,0.08,6871.72,6801.45,9.9
technically complicated > 0.70 & common > 0.5 & positive > 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.89,rule,0.3,positive,0.1,0.24,3130.06,3107.22,8.88
conceptually dense <= 0.70 & technically complicated <= 0.5 & common > 0.5 & common <= 0.89 & positive > 0.70,rule,0.05,positive,0.09,0.05,642.63,633.73,7.03
socially controversial > 0.89 & positive <= 0.5 & neutral > 0.5,rule,0.04,negative,0.08,0.13,15.48,9.23,2.4
conceptually dense <= 0.89 & positive > 0.70 & neutral <= 0.89 & subject to geographical variability > 0.5 & subject to time variability > 0.5,rule,0.67,positive,0.08,0.55,29.0,26.18,3.54
technically complicated > 0.5 & common > 0.5 & positive > 0.70 & positive <= 0.89 & subject to geographical variability > 0.5,rule,0.57,positive,0.08,0.47,559.94,553.39,6.81
positive > 0.30 & positive <= 0.70 & negative <= 0.89 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.12,negative,0.08,0.18,25.73,22.0,3.33
common > 0.5 & socially controversial <= 0.89 & positive > 0.70 & negative > 0.5,rule,0.18,positive,0.07,0.53,67.54,65.76,4.49
technically complicated <= 0.70 & positive > 0.30 & positive <= 0.5 & interdisciplinary > 0.89,rule,0.03,negative,0.07,0.03,5.17,1.5,1.07
technically complicated > 0.70 & unambiguous > 0.5 & positive <= 0.70 & neutral <= 0.70,rule,0.05,positive,0.06,0.06,57.37,47.36,4.07
positive > 0.30 & positive <= 0.5 & neutral > 0.70 & subject to geographical variability <= 0.89,rule,0.08,negative,0.06,0.08,19.09,9.11,2.34
technically complicated > 0.5 & positive <= 0.70 & neutral > 0.5 & subject to geographical variability > 0.70 & interdisciplinary <= 0.89,rule,0.05,negative,0.05,0.04,50.2,44.04,3.98
technically complicated > 0.5 & positive > 0.70 & negative > 0.70 & subject to geographical variability > 0.5,rule,0.09,positive,0.05,0.48,212.59,208.93,5.6
common <= 0.89 & socially controversial > 0.70 & positive <= 0.30,rule,0.03,positive,0.05,0.14,17.05,11.31,2.56
technically complicated <= 0.70 & common > 0.5 & socially controversial <= 0.89 & positive > 0.70 & interdisciplinary <= 0.89,rule,0.21,positive,0.05,0.17,1047.45,1039.23,7.27
unambiguous <= 0.5 & positive > 0.30 & positive <= 0.70 & negative > 0.70 & subject to geographical variability > 0.89,rule,0.01,negative,0.04,0.03,250.07,243.27,5.72
technically complicated > 0.70 & common > 0.5 & socially controversial > 0.5 & positive > 0.70 & subject to geographical variability > 0.5,rule,0.19,positive,0.04,0.31,506.03,498.54,6.48
conceptually dense <= 0.89 & common > 0.5 & common <= 0.89 & positive > 0.30 & positive <= 0.70,rule,0.21,negative,0.04,0.17,28.08,24.15,3.32
common > 0.5 & positive > 0.70 & negative <= 0.70 & neutral <= 0.89 & subject to geographical variability <= 0.89,rule,0.58,positive,0.04,0.49,73.11,70.66,4.42
technically complicated > 0.5 & common > 0.5 & positive > 0.70 & negative > 0.30 & subject to geographical variability > 0.5,rule,0.57,positive,0.03,0.46,643.79,633.73,6.65
positive <= 0.5 & neutral <= 0.5 & subject to geographical variability <= 0.89,rule,0.02,positive,0.03,0.02,19.37,10.41,2.42
common <= 0.89 & unambiguous > 0.70 & positive > 0.70 & positive <= 0.89 & negative > 0.5,rule,0.09,positive,0.03,0.08,235.46,230.99,5.63
technically complicated <= 0.70 & socially controversial > 0.70 & unambiguous > 0.5 & positive <= 0.70 & neutral > 0.5,rule,0.05,negative,0.03,0.05,508.85,498.54,6.39
socially controversial > 0.70 & positive > 0.70 & negative <= 0.70 & neutral > 0.5,rule,0.18,negative,0.03,0.15,41.76,38.29,3.75
technically complicated > 0.70 & positive <= 0.5 & neutral <= 0.70 & subject to time variability <= 0.89,rule,0.06,positive,0.03,0.05,26.97,15.93,2.86
conceptually dense <= 0.89 & common <= 0.89 & positive > 0.30 & positive <= 0.70 & subject to time variability > 0.70,rule,0.21,negative,0.03,0.17,94.09,90.0,4.62
technically complicated > 0.5 & socially controversial > 0.70 & positive > 0.70 & negative <= 0.70 & subject to geographical variability > 0.70,rule,0.16,negative,0.02,0.19,27.6,25.69,3.31
positive <= 0.5 & neutral > 0.5 & subject to geographical variability <= 0.89 & subject to time variability <= 0.89,rule,0.16,negative,0.02,0.14,5.28,2.01,1.02
conceptually dense > 0.70 & conceptually dense <= 0.89 & positive > 0.70 & negative > 0.70,rule,0.09,positive,0.02,0.07,304.07,301.66,5.83
conceptually dense <= 0.70 & positive > 0.70 & positive <= 0.89 & negative <= 0.5 & subject to geographical variability <= 0.89,rule,0.08,positive,0.02,0.39,85.23,82.74,4.49
conceptually dense <= 0.89 & unambiguous > 0.70 & positive > 0.70 & positive <= 0.89 & neutral <= 0.89,rule,0.44,positive,0.02,0.56,107.45,105.12,4.76
technically complicated > 0.70 & socially controversial > 0.5 & unambiguous > 0.5 & positive <= 0.5,rule,0.1,positive,0.02,0.1,9.41,3.2,1.19
conceptually dense <= 0.89 & socially controversial <= 0.89 & positive > 0.70 & neutral > 0.70,rule,0.64,positive,0.02,0.52,24.58,23.62,3.23
common > 0.5 & positive > 0.70 & positive <= 0.89 & negative <= 0.70 & subject to geographical variability <= 0.89,rule,0.56,positive,0.01,0.47,1197.99,1189.4,7.18
socially controversial <= 0.70 & positive > 0.70 & positive <= 0.89 & negative > 0.5 & subject to geographical variability <= 0.89,rule,0.05,positive,0.01,0.14,84.99,82.74,4.47
conceptually dense <= 0.89 & positive > 0.70 & positive <= 0.89 & neutral <= 0.89 & interdisciplinary <= 0.89,rule,0.28,positive,0.01,0.55,42.09,40.73,3.76
technically complicated > 0.70 & common > 0.5 & socially controversial > 0.5 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.17,positive,0.01,0.23,27.16,24.64,3.25
common > 0.5 & unambiguous > 0.70 & positive > 0.70 & positive <= 0.89 & subject to geographical variability > 0.70,rule,0.4,positive,0.01,0.51,154.24,149.93,5.07
conceptually dense <= 0.89 & positive <= 0.30 & negative > 0.5 & negative <= 0.89,rule,0.03,positive,0.0,0.03,6.37,2.9,1.06
technically complicated <= 0.70 & unambiguous > 0.5 & positive <= 0.70 & neutral > 0.5 & neutral <= 0.70,rule,0.04,negative,0.0,0.03,1797.67,1775.32,7.5
socially controversial > 0.70 & socially controversial <= 0.89 & positive <= 0.5 & neutral <= 0.70,rule,0.06,positive,0.0,0.09,30.0,15.54,2.75
conceptually dense <= 0.89 & technically complicated > 0.70 & socially controversial > 0.5 & positive <= 0.5,rule,0.11,positive,0.0,0.09,7.07,2.27,1.0
technically complicated > 0.70 & common > 0.5 & socially controversial > 0.5 & positive > 0.70 & subject to geographical variability > 0.70,rule,0.19,positive,0.0,0.3,239.69,235.22,5.48
