rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common,linear,,positive,0.52,,,,
common <= 0.5 & positive > 0.70 & subject to time variability > 0.5,rule,0.02,negative,0.25,0.02,915.77,749.87,8.29
conceptually dense > 0.70 & common > 0.5 & positive > 0.70 & subject to geographical variability > 0.5 & subject to time variability <= 0.70,rule,0.03,positive,0.22,0.03,1401.47,1114.09,8.57
common > 0.70 & common <= 0.89 & positive <= 0.30 & subject to geographical variability <= 0.89,rule,0.03,negative,0.21,0.02,7.94,3.62,1.55
common > 0.70 & positive > 0.70 & neutral > 0.5 & neutral <= 0.89,rule,0.57,positive,0.2,0.46,9.46,3.57,1.53
common > 0.5 & common <= 0.70 & socially controversial <= 0.89 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.12,positive,0.2,0.1,21.8,9.14,2.66
conceptually dense <= 0.89 & socially controversial > 0.70 & negative <= 0.70 & subject to geographical variability > 0.89 & subject to time variability <= 0.89,rule,0.03,negative,0.2,0.02,18.07,6.83,2.3
technically complicated > 0.70 & common > 0.5 & positive > 0.70 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89,rule,0.34,positive,0.18,0.29,220.23,152.75,5.93
conceptually dense <= 0.89 & common > 0.5 & socially controversial <= 0.70 & positive > 0.70 & neutral > 0.70,rule,0.45,positive,0.17,0.36,99.33,69.48,4.94
common > 0.5 & positive > 0.70 & neutral <= 0.89 & subject to geographical variability <= 0.89 & subject to time variability <= 0.70,rule,0.09,positive,0.16,0.52,57.64,37.16,4.18
common <= 0.89 & socially controversial > 0.89 & unambiguous > 0.5 & positive <= 0.70 & subject to time variability <= 0.89,rule,0.04,negative,0.15,0.03,73.58,61.44,4.75
technically complicated <= 0.70 & common > 0.5 & unambiguous > 0.70 & positive > 0.70 & interdisciplinary > 0.89,rule,0.06,negative,0.15,0.08,129.44,75.73,4.97
technically complicated <= 0.70 & common <= 0.89 & socially controversial <= 0.89 & unambiguous <= 0.70 & negative <= 0.70,rule,0.07,positive,0.14,0.06,18.08,5.19,1.87
common > 0.5 & positive > 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.4,positive,0.14,0.47,67.18,39.6,4.19
technically complicated > 0.70 & common <= 0.70 & positive <= 0.70 & neutral > 0.5 & subject to geographical variability <= 0.89,rule,0.03,negative,0.13,0.02,57.82,46.62,4.35
common <= 0.89 & unambiguous > 0.5 & positive <= 0.70 & subject to geographical variability > 0.70 & interdisciplinary <= 0.89,rule,0.05,negative,0.12,0.05,180.77,159.8,5.69
conceptually dense > 0.5 & common > 0.5 & common <= 0.89 & positive > 0.70 & neutral <= 0.70,rule,0.06,positive,0.11,0.05,17.4,7.57,2.25
common > 0.5 & common <= 0.70 & positive > 0.70 & negative <= 0.70 & subject to geographical variability <= 0.89,rule,0.11,positive,0.1,0.1,227.45,161.54,5.58
technically complicated > 0.70 & socially controversial > 0.70 & unambiguous <= 0.70 & positive > 0.70 & neutral > 0.70,rule,0.07,positive,0.1,0.1,29.08,11.83,2.71
conceptually dense <= 0.70 & technically complicated <= 0.70 & common > 0.5 & unambiguous > 0.70 & positive > 0.70,rule,0.08,positive,0.09,0.08,95.18,62.68,4.52
common <= 0.89 & unambiguous > 0.5 & unambiguous <= 0.70 & positive <= 0.70 & subject to geographical variability <= 0.89,rule,0.07,negative,0.08,0.07,826.64,767.41,7.19
common > 0.5 & socially controversial > 0.70 & unambiguous > 0.70 & positive > 0.70 & interdisciplinary <= 0.89,rule,0.03,positive,0.07,0.09,249.68,174.47,5.53
common <= 0.89 & unambiguous > 0.70 & positive <= 0.5 & neutral > 0.5,rule,0.11,negative,0.07,0.09,48.49,39.3,3.94
technically complicated > 0.70 & common > 0.5 & socially controversial > 0.70 & positive > 0.70 & interdisciplinary > 0.89,rule,0.13,positive,0.07,0.11,174.7,121.32,5.16
technically complicated <= 0.70 & common <= 0.89 & unambiguous > 0.5 & positive > 0.30 & positive <= 0.70,rule,0.06,negative,0.07,0.06,66.32,55.76,4.3
common > 0.5 & common <= 0.70 & positive > 0.70 & negative <= 0.70 & interdisciplinary > 0.89,rule,0.09,positive,0.07,0.09,27.19,8.31,2.27
common > 0.5 & positive > 0.70 & neutral <= 0.89 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.29,positive,0.07,0.51,132.44,98.91,4.92
technically complicated <= 0.70 & common > 0.5 & socially controversial <= 0.70 & positive > 0.70 & subject to geographical variability > 0.70,rule,0.17,positive,0.07,0.22,59.63,36.66,3.84
conceptually dense <= 0.89 & unambiguous > 0.70 & positive > 0.30 & positive <= 0.70 & neutral > 0.5,rule,0.11,negative,0.07,0.09,384.57,364.31,6.34
socially controversial <= 0.89 & unambiguous > 0.70 & positive <= 0.5 & subject to geographical variability > 0.89,rule,0.01,negative,0.07,0.01,13.46,9.1,2.37
common > 0.5 & common <= 0.89 & socially controversial <= 0.70 & positive > 0.70 & neutral > 0.70,rule,0.43,positive,0.06,0.49,12.56,2.72,1.06
technically complicated <= 0.89 & common > 0.5 & positive > 0.70 & subject to geographical variability <= 0.89 & subject to time variability <= 0.89,rule,0.65,positive,0.06,0.56,12.16,3.67,1.37
technically complicated > 0.70 & positive > 0.5 & subject to geographical variability > 0.70 & interdisciplinary <= 0.89 & subject to time variability > 0.5,rule,0.08,negative,0.06,0.33,28.01,10.5,2.48
socially controversial > 0.70 & unambiguous > 0.70 & positive > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.03,positive,0.06,0.03,40.23,18.16,3.06
conceptually dense > 0.5 & technically complicated <= 0.70 & common > 0.5 & unambiguous <= 0.5 & positive > 0.70,rule,0.01,positive,0.05,0.03,70.41,42.22,3.92
common <= 0.89 & positive <= 0.5 & neutral > 0.70 & interdisciplinary > 0.89,rule,0.07,negative,0.05,0.06,12.63,5.82,1.85
conceptually dense > 0.5 & technically complicated <= 0.70 & unambiguous > 0.70 & negative <= 0.70 & subject to geographical variability > 0.70,rule,0.16,negative,0.05,0.19,23.21,7.15,2.06
common > 0.5 & socially controversial <= 0.70 & unambiguous > 0.70 & positive > 0.70,rule,0.35,positive,0.05,0.36,39.05,27.26,3.47
socially controversial > 0.89 & unambiguous > 0.5 & unambiguous <= 0.70 & subject to time variability <= 0.89,rule,0.03,negative,0.05,0.03,15.9,6.57,1.97
technically complicated > 0.5 & common > 0.70 & positive > 0.5 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.01,negative,0.05,0.01,29.18,20.84,3.18
technically complicated > 0.70 & common > 0.5 & socially controversial <= 0.70 & unambiguous > 0.70 & positive > 0.70,rule,0.18,positive,0.05,0.28,144.81,108.65,4.9
common > 0.5 & socially controversial <= 0.89 & positive > 0.30 & positive <= 0.70 & subject to time variability > 0.5,rule,0.18,negative,0.05,0.15,13.49,5.09,1.72
technically complicated > 0.5 & positive <= 0.70 & negative > 0.70 & negative <= 0.89 & neutral <= 0.70,rule,0.11,positive,0.05,0.09,146.95,128.29,5.12
conceptually dense > 0.70 & socially controversial > 0.30 & positive > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.59,negative,0.05,0.48,17.75,6.8,2.01
conceptually dense > 0.5 & negative <= 0.5 & neutral > 0.70 & subject to geographical variability <= 0.89,rule,0.47,negative,0.05,0.39,14.87,4.97,1.68
conceptually dense > 0.5 & positive > 0.70 & negative <= 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.03,positive,0.05,0.05,28.75,8.77,2.28
common > 0.5 & common <= 0.89 & unambiguous <= 0.5 & negative <= 0.70 & subject to geographical variability > 0.70,rule,0.02,positive,0.05,0.02,22.37,6.86,2.02
common > 0.5 & socially controversial > 0.70 & unambiguous <= 0.70 & positive > 0.70 & interdisciplinary > 0.89,rule,0.12,positive,0.05,0.11,486.91,359.61,6.19
technically complicated > 0.70 & common <= 0.89 & positive <= 0.5 & neutral > 0.70 & interdisciplinary > 0.89,rule,0.07,negative,0.04,0.07,17.56,9.32,2.33
common > 0.70 & socially controversial > 0.70 & unambiguous > 0.70 & positive > 0.70 & negative > 0.5,rule,0.05,positive,0.04,0.05,39.01,18.13,3.02
technically complicated > 0.5 & socially controversial > 0.70 & unambiguous > 0.70 & positive > 0.70 & interdisciplinary <= 0.89,rule,0.02,positive,0.04,0.03,39.91,20.91,3.17
common <= 0.89 & socially controversial > 0.89 & positive <= 0.70 & negative > 0.70 & subject to time variability <= 0.89,rule,0.06,negative,0.04,0.05,18.1,13.87,2.74
technically complicated > 0.5 & common > 0.70 & socially controversial <= 0.70 & negative > 0.70 & interdisciplinary > 0.89,rule,0.03,negative,0.04,0.03,16.89,8.02,2.16
technically complicated > 0.70 & socially controversial <= 0.89 & unambiguous <= 0.70 & positive <= 0.5,rule,0.05,positive,0.04,0.06,9.24,3.29,1.24
common > 0.70 & unambiguous <= 0.70 & positive > 0.30 & positive <= 0.5,rule,0.07,positive,0.04,0.08,67.09,40.22,3.86
technically complicated <= 0.5 & common > 0.70 & positive > 0.30 & negative > 0.70 & subject to geographical variability <= 0.89,rule,0.02,negative,0.04,0.02,12.65,5.24,1.72
technically complicated > 0.5 & common > 0.70 & positive <= 0.5 & interdisciplinary <= 0.89,rule,0.04,positive,0.04,0.04,6.53,2.13,1.04
technically complicated > 0.70 & common <= 0.70 & unambiguous <= 0.70 & negative <= 0.70 & subject to geographical variability > 0.5,rule,0.06,positive,0.04,0.05,22.52,5.98,1.87
common > 0.5 & common <= 0.89 & positive > 0.70 & subject to time variability <= 0.5,rule,0.03,positive,0.04,0.02,913.53,749.87,6.86
