rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common,linear,,negative,1.71,,,,
socially controversial,linear,,positive,1.24,,,,
interdisciplinary,linear,,positive,0.97,,,,
technically complicated > 0.5 & common > 0.5 & socially controversial > 0.70 & negative > 0.5 & interdisciplinary <= 0.70,rule,0.0,negative,0.6,0.01,71.81,27.31,5.28
conceptually dense > 0.70 & technically complicated > 0.5 & technically complicated <= 0.89 & common <= 0.5,rule,0.04,positive,0.58,0.03,88.91,52.91,6.26
conceptually dense <= 0.70 & common > 0.70 & unambiguous > 0.5 & positive <= 0.70 & negative <= 0.89,rule,0.03,negative,0.51,0.02,61.9,22.49,4.71
technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.30,rule,0.0,negative,0.47,0.0,786.94,714.31,9.68
conceptually dense > 0.5 & common <= 0.89 & socially controversial <= 0.70 & negative > 0.70 & negative <= 0.89,rule,0.01,negative,0.36,0.19,71.23,19.4,4.03
conceptually dense > 0.70 & common > 0.5 & common <= 0.89 & socially controversial > 0.5 & unambiguous > 0.5,rule,0.6,positive,0.34,0.49,223.75,105.71,6.24
conceptually dense > 0.70 & technically complicated > 0.70 & common > 0.5 & socially controversial <= 0.5 & positive > 0.70,rule,0.04,positive,0.33,0.04,2806.52,1877.49,10.02
technically complicated <= 0.89 & socially controversial <= 0.70 & positive > 0.30 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.04,negative,0.33,0.04,61.89,29.34,4.49
common > 0.70 & socially controversial > 0.89 & unambiguous <= 0.70 & neutral <= 0.30,rule,0.0,negative,0.33,0.01,40.86,14.38,3.55
technically complicated > 0.5 & common > 0.5 & socially controversial <= 0.70 & negative > 0.5 & neutral <= 0.70,rule,0.06,negative,0.32,0.06,74.33,21.31,4.04
technically complicated <= 0.70 & common > 0.5 & socially controversial <= 0.5 & positive <= 0.89 & interdisciplinary > 0.5,rule,0.07,negative,0.31,0.06,84.19,53.9,5.23
conceptually dense <= 0.70 & technically complicated <= 0.70 & common > 0.70 & positive > 0.70 & neutral > 0.70,rule,0.1,negative,0.28,0.1,84.87,34.61,4.54
common > 0.5 & socially controversial <= 0.70 & positive <= 0.5 & negative > 0.70 & neutral <= 0.70,rule,0.01,negative,0.27,0.01,71.69,22.47,3.96
conceptually dense > 0.70 & technically complicated > 0.5 & technically complicated <= 0.89 & common > 0.70 & interdisciplinary > 0.70,rule,0.42,positive,0.24,0.37,137.99,39.73,4.58
conceptually dense > 0.5 & technically complicated > 0.5 & common <= 0.70 & positive > 0.70 & interdisciplinary > 0.70,rule,0.2,positive,0.23,0.17,39.99,14.06,3.25
conceptually dense > 0.70 & common > 0.5 & common <= 0.70 & socially controversial > 0.70 & neutral <= 0.70,rule,0.09,positive,0.23,0.11,297.19,184.91,6.41
technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.70 & positive > 0.5 & interdisciplinary <= 0.70,rule,0.01,negative,0.22,0.1,206.11,80.18,5.37
conceptually dense > 0.5 & technically complicated <= 0.5 & socially controversial <= 0.70 & negative > 0.5 & neutral > 0.30,rule,0.02,negative,0.22,0.02,62.71,23.6,3.87
conceptually dense <= 0.5 & technically complicated <= 0.70 & common > 0.5 & positive > 0.5 & negative <= 0.70,rule,0.02,negative,0.21,0.02,30.14,14.46,3.24
common <= 0.89 & socially controversial > 0.70 & unambiguous <= 0.70 & positive <= 0.30 & neutral <= 0.5,rule,0.03,negative,0.21,0.03,45.63,14.61,3.23
