rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
conceptually dense > 0.5 & conceptually dense <= 0.70 & common <= 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.08,negative,0.01,0.07,0.15,0.05,1.01
conceptually dense > 0.5 & technically complicated > 0.5 & socially controversial > 0.5 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.71,negative,0.01,0.57,0.15,0.05,1.01
conceptually dense > 0.5 & technically complicated > 0.5 & common <= 0.89 & socially controversial > 0.30 & subject to time variability <= 0.89,rule,0.81,negative,0.01,0.76,0.1,0.03,1.01
socially controversial > 0.5 & negative > 0.5 & negative <= 0.70 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.29,negative,0.01,0.26,0.15,0.04,1.01
technically complicated > 0.5 & common > 0.5 & socially controversial > 0.5 & positive > 0.70 & negative <= 0.89,rule,0.39,negative,0.01,0.32,0.13,0.03,1.01
technically complicated > 0.5 & socially controversial > 0.5 & positive > 0.70 & negative <= 0.89 & neutral > 0.30,rule,0.33,negative,0.0,0.32,0.66,0.28,1.0
technically complicated > 0.5 & common <= 0.89 & socially controversial > 0.30 & neutral <= 0.70 & interdisciplinary > 0.70,rule,0.39,negative,0.0,0.32,0.07,0.02,1.0
conceptually dense > 0.70 & technically complicated <= 0.70 & common > 0.5 & socially controversial > 0.70 & interdisciplinary > 0.70,rule,0.21,positive,0.0,0.17,0.11,0.03,1.0
technically complicated > 0.70 & common > 0.5 & negative > 0.5 & negative <= 0.89 & subject to time variability <= 0.89,rule,0.37,negative,0.0,0.34,0.08,0.02,1.0
technically complicated <= 0.5 & common > 0.5 & neutral <= 0.70 & subject to time variability <= 0.89,rule,0.06,positive,0.0,0.17,0.08,0.02,1.0
technically complicated > 0.5 & common > 0.5 & positive > 0.70 & negative > 0.5 & negative <= 0.89,rule,0.37,negative,0.0,0.31,0.13,0.05,1.0
conceptually dense > 0.5 & conceptually dense <= 0.70 & technically complicated > 0.5 & common <= 0.70 & neutral > 0.30,rule,0.05,negative,0.0,0.06,0.2,0.06,1.0
technically complicated > 0.70 & socially controversial > 0.5 & positive > 0.5 & negative > 0.5 & neutral > 0.5,rule,0.24,negative,0.0,0.21,0.52,0.23,1.0
technically complicated > 0.5 & common <= 0.70 & socially controversial > 0.5 & positive > 0.30 & neutral > 0.70,rule,0.12,negative,0.0,0.28,0.22,0.06,1.0
technically complicated > 0.70 & common > 0.5 & unambiguous <= 0.70 & positive > 0.30 & neutral > 0.5,rule,0.34,negative,0.0,0.28,0.21,0.07,1.0
conceptually dense > 0.5 & conceptually dense <= 0.70 & technically complicated > 0.5 & common <= 0.70 & positive > 0.5,rule,0.06,negative,0.0,0.06,0.32,0.11,1.0
technically complicated > 0.70 & common > 0.5 & positive > 0.5 & negative > 0.5 & negative <= 0.89,rule,0.29,negative,0.0,0.26,0.3,0.11,1.0
technically complicated > 0.70 & common > 0.5 & socially controversial > 0.70 & negative > 0.5 & neutral <= 0.70,rule,0.16,negative,0.0,0.22,0.08,0.02,1.0
