rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
technically complicated,linear,,positive,2.62,,,,
technically complicated > 0.5 & common > 0.70 & common <= 0.89 & socially controversial > 0.70 & negative <= 0.5,rule,0.0,positive,1.1,0.01,291.46,134.61,10.3
conceptually dense > 0.5 & socially controversial <= 0.70 & positive > 0.30 & positive <= 0.5 & interdisciplinary > 0.70,rule,0.02,negative,0.96,0.02,606.9,240.64,10.73
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.30 & unambiguous > 0.5 & subject to time variability <= 0.89,rule,0.69,positive,0.7,0.55,608.38,297.24,9.7
technically complicated <= 0.5 & common > 0.70 & unambiguous > 0.5 & unambiguous <= 0.70 & neutral > 0.5,rule,0.1,positive,0.61,0.1,218.95,91.72,7.26
technically complicated <= 0.70 & socially controversial <= 0.5 & positive > 0.70 & interdisciplinary <= 0.70,rule,0.01,negative,0.51,0.01,377.38,234.92,8.26
technically complicated > 0.70 & socially controversial > 0.70 & unambiguous <= 0.70 & negative > 0.89 & interdisciplinary > 0.70,rule,0.05,negative,0.47,0.06,274.02,113.57,6.94
technically complicated > 0.70 & socially controversial > 0.70 & positive > 0.30 & positive <= 0.70 & negative <= 0.70,rule,0.02,negative,0.47,0.03,1090.74,563.55,9.3
technically complicated <= 0.70 & common > 0.5 & unambiguous <= 0.70 & positive <= 0.30 & neutral <= 0.5,rule,0.02,negative,0.47,0.02,282.22,113.57,6.97
conceptually dense <= 0.5 & technically complicated <= 0.70 & socially controversial > 0.30 & unambiguous <= 0.70 & negative <= 0.5,rule,0.01,negative,0.46,0.01,497.2,274.79,8.18
common <= 0.70 & socially controversial > 0.5 & positive > 0.70 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.11,positive,0.46,0.09,1116.86,374.23,8.64
common > 0.70 & socially controversial > 0.5 & unambiguous > 0.5 & negative <= 0.70 & neutral > 0.70,rule,0.24,positive,0.44,0.19,327.42,93.6,6.53
conceptually dense > 0.70 & technically complicated <= 0.70 & common > 0.70 & positive > 0.70,rule,0.12,negative,0.44,0.11,3340.65,2562.82,11.3
technically complicated > 0.5 & common <= 0.70 & socially controversial > 0.5 & positive > 0.5 & interdisciplinary > 0.70,rule,0.2,positive,0.42,0.18,945.51,240.64,7.76
technically complicated > 0.5 & technically complicated <= 0.70 & unambiguous <= 0.70 & positive <= 0.5 & negative > 0.70,rule,0.06,negative,0.41,0.05,340.04,103.39,6.52
conceptually dense > 0.5 & conceptually dense <= 0.70 & positive > 0.70 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.14,positive,0.39,0.13,655.62,332.73,8.09
technically complicated <= 0.70 & unambiguous > 0.5 & negative > 0.89 & neutral <= 0.70 & interdisciplinary <= 0.70,rule,0.01,negative,0.39,0.01,346.69,105.51,6.48
technically complicated > 0.5 & common <= 0.70 & positive <= 0.70 & neutral > 0.5 & neutral <= 0.70,rule,0.03,positive,0.37,0.07,450.14,122.48,6.57
technically complicated > 0.70 & common <= 0.70 & socially controversial > 0.5 & neutral <= 0.70,rule,0.08,positive,0.37,0.17,426.48,137.39,6.75
technically complicated > 0.30 & technically complicated <= 0.70 & socially controversial > 0.70 & negative > 0.89 & neutral > 0.70,rule,0.01,positive,0.36,0.01,129.1,54.01,5.42
conceptually dense <= 0.89 & common <= 0.89 & socially controversial <= 0.89 & negative > 0.89 & interdisciplinary > 0.70,rule,0.13,positive,0.35,0.11,192.02,51.64,5.33
conceptually dense > 0.5 & common > 0.70 & socially controversial <= 0.89 & neutral <= 0.5,rule,0.15,positive,0.34,0.22,246.9,78.6,5.87
conceptually dense <= 0.70 & technically complicated <= 0.5 & socially controversial > 0.5 & negative > 0.5 & neutral > 0.5,rule,0.04,negative,0.34,0.04,313.26,123.38,6.45
technically complicated > 0.70 & socially controversial <= 0.70 & negative > 0.70 & negative <= 0.89 & interdisciplinary > 0.70,rule,0.01,negative,0.33,0.16,285.74,100.59,6.14
