rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
conceptually dense > 0.70 & technically complicated > 0.30 & common <= 0.89 & socially controversial > 0.30,rule,0.7,positive,0.98,0.56,95.36,29.83,6.72
socially controversial <= 0.70 & positive > 0.30 & positive <= 0.70 & negative > 0.70 & interdisciplinary > 0.70,rule,0.02,negative,0.58,0.02,281.33,71.21,6.72
common <= 0.89 & socially controversial <= 0.70 & unambiguous <= 0.70 & positive > 0.5 & interdisciplinary > 0.70,rule,0.35,positive,0.51,0.28,357.6,112.66,7.12
conceptually dense <= 0.70 & technically complicated > 0.30 & socially controversial <= 0.5 & neutral > 0.40 & interdisciplinary > 0.70,rule,0.06,negative,0.41,0.05,2390.55,1882.82,10.64
conceptually dense > 0.70 & technically complicated > 0.30 & technically complicated <= 0.70 & common > 0.70 & positive > 0.70,rule,0.12,negative,0.36,0.23,239.28,100.41,6.26
conceptually dense > 0.5 & common <= 0.89 & unambiguous <= 0.70 & positive > 0.5 & interdisciplinary > 0.70,rule,0.75,positive,0.35,0.61,178.78,56.72,5.45
conceptually dense > 0.70 & socially controversial > 0.70 & positive > 0.30 & positive <= 0.5 & neutral <= 0.5,rule,0.04,positive,0.34,0.06,612.03,237.51,7.32
conceptually dense > 0.70 & technically complicated > 0.70 & common <= 0.89 & socially controversial > 0.70 & neutral <= 0.70,rule,0.16,positive,0.34,0.21,707.18,295.42,7.62
conceptually dense <= 0.70 & technically complicated > 0.5 & common <= 0.89 & socially controversial > 0.5 & neutral > 0.30,rule,0.11,positive,0.34,0.12,2365.14,1637.52,9.94
technically complicated <= 0.70 & common > 0.70 & common <= 0.89 & socially controversial > 0.70 & socially controversial <= 0.89,rule,0.2,positive,0.31,0.16,236.64,71.88,5.62
conceptually dense > 0.70 & technically complicated > 0.30 & common <= 0.89 & socially controversial > 0.70,rule,0.48,positive,0.28,0.56,187.96,99.69,5.89
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.5 & socially controversial > 0.30 & socially controversial <= 0.5,rule,0.03,negative,0.28,0.03,234.92,83.49,5.65
conceptually dense > 0.5 & conceptually dense <= 0.70 & technically complicated > 0.5 & socially controversial > 0.5 & neutral > 0.70,rule,0.08,positive,0.25,0.07,4950.02,3678.93,10.22
conceptually dense <= 0.89 & technically complicated <= 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & interdisciplinary > 0.70,rule,0.28,positive,0.22,0.23,197.69,58.84,4.97
conceptually dense > 0.70 & technically complicated <= 0.70 & common <= 0.89 & socially controversial > 0.70 & neutral > 0.5,rule,0.13,positive,0.22,0.17,1854.8,1320.65,8.78
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.30 & unambiguous > 0.5 & neutral > 0.30,rule,0.48,positive,0.21,0.56,133.19,62.53,5.02
