rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary,linear,,positive,88.69,,,,
conceptually dense <= 0.89 & socially controversial > 0.30 & positive <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,negative,12.95,0.01,8088.15,4490.13,117.28
common > 0.5 & socially controversial <= 0.5 & positive > 0.5 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,negative,10.92,0.01,13548.16,4424.47,100.1
socially controversial > 0.5 & positive <= 0.5 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,negative,10.36,0.01,211244.37,191860.66,138.23
technically complicated <= 0.5 & common > 0.5 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.02,negative,10.12,0.02,16991.16,9952.54,102.38
socially controversial,linear,,negative,9.72,,,,
common > 0.5 & positive > 0.5 & negative <= 0.89 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.02,negative,9.14,0.01,14306.76,4679.52,85.71
common,linear,,negative,8.95,,,,
common > 0.30 & common <= 0.5 & socially controversial > 0.5 & positive > 0.70,rule,0.03,positive,6.13,0.03,3544.23,2354.13,55.35
common > 0.5 & unambiguous > 0.5 & positive > 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,negative,4.77,0.01,208673.98,110401.29,66.95
common > 0.30 & common <= 0.5 & socially controversial <= 0.5 & positive > 0.70,rule,0.01,positive,4.74,0.03,3544.23,2354.13,44.6
conceptually dense <= 0.70 & socially controversial > 0.30 & unambiguous > 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.05,positive,4.37,0.04,10036.34,5788.95,46.48
technically complicated > 0.70 & common > 0.5 & unambiguous > 0.5 & positive > 0.70 & interdisciplinary > 0.70,rule,0.31,negative,3.73,0.25,19149.79,6898.64,41.85
common > 0.5 & socially controversial <= 0.70 & positive <= 0.70 & negative > 0.70 & negative <= 0.89,rule,0.01,positive,3.27,0.01,10150.61,3777.92,35.16
conceptually dense > 0.5 & technically complicated <= 0.70 & common > 0.5 & socially controversial > 0.5 & positive > 0.70,rule,0.25,negative,3.23,0.21,17313.87,6336.03,36.99
common > 0.5 & socially controversial <= 0.70 & unambiguous > 0.5 & positive > 0.70 & positive <= 0.89,rule,0.33,negative,2.76,0.5,9147.13,4135.36,31.33
common > 0.5 & positive > 0.70 & negative <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,negative,2.68,0.01,932897.38,497914.97,48.3
conceptually dense <= 0.89 & common <= 0.5 & socially controversial > 0.70 & positive <= 0.5 & interdisciplinary <= 0.70,rule,0.0,negative,2.4,0.0,9648.4,3195.09,27.41
technically complicated > 0.5 & common > 0.5 & positive > 0.70 & positive <= 0.89 & interdisciplinary > 0.70,rule,0.51,negative,2.38,0.5,9644.63,3236.63,27.29
common <= 0.89 & socially controversial > 0.30 & unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.3,positive,2.37,0.25,7790.92,3730.23,27.74
conceptually dense > 0.5 & technically complicated > 0.5 & common > 0.5 & common <= 0.70 & positive > 0.70,rule,0.17,negative,2.27,0.14,33748.65,16108.78,31.65
conceptually dense > 0.5 & common > 0.5 & common <= 0.89 & positive > 0.70 & interdisciplinary > 0.70,rule,0.61,negative,2.23,0.49,8683.9,3777.92,26.61
conceptually dense > 0.70 & technically complicated <= 0.5 & socially controversial > 0.70 & positive > 0.30 & positive <= 0.5,rule,0.01,negative,2.09,0.01,7808.91,2446.06,24.13
common > 0.5 & common <= 0.89 & unambiguous <= 0.70 & positive > 0.5 & interdisciplinary > 0.70,rule,0.73,negative,1.99,0.59,5761.39,1282.96,21.36
conceptually dense > 0.70 & socially controversial > 0.70 & unambiguous > 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.22,negative,1.98,0.18,800618.31,514298.38,39.13
conceptually dense <= 0.70 & common > 0.70 & socially controversial > 0.30 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.03,positive,1.96,0.04,13015.54,8035.4,26.59
technically complicated > 0.5 & socially controversial <= 0.89 & positive <= 0.5 & negative > 0.89 & interdisciplinary > 0.70,rule,0.05,negative,1.93,0.04,11784.05,4679.52,24.76
socially controversial > 0.70 & positive <= 0.30 & neutral <= 0.30 & interdisciplinary > 0.70,rule,0.02,positive,1.8,0.08,79813.31,67186.1,31.1
technically complicated > 0.70 & common > 0.5 & unambiguous > 0.5 & positive > 0.70 & negative > 0.5,rule,0.25,negative,1.75,0.2,19202.3,9943.14,25.32
conceptually dense <= 0.70 & socially controversial > 0.30 & positive <= 0.5 & interdisciplinary <= 0.70,rule,0.01,negative,1.73,0.01,3998.48,1320.98,19.63
common > 0.5 & socially controversial > 0.70 & unambiguous > 0.5 & positive > 0.70 & positive <= 0.89,rule,0.3,negative,1.67,0.5,9147.13,4135.36,22.2
common > 0.5 & socially controversial <= 0.89 & positive > 0.5 & interdisciplinary > 0.70,rule,0.73,negative,1.64,0.59,6955.19,2061.42,20.18
common <= 0.5 & positive > 0.70 & negative <= 0.89 & interdisciplinary > 0.70,rule,0.02,positive,1.63,0.03,706414.25,458840.5,34.27
conceptually dense <= 0.89 & common <= 0.5 & socially controversial <= 0.5 & positive > 0.30 & positive <= 0.89,rule,0.01,positive,1.6,0.04,5540.3,1891.76,19.61
common <= 0.70 & socially controversial > 0.30 & positive <= 0.70 & negative > 0.89 & subject to time variability <= 0.89,rule,0.04,negative,1.6,0.09,13391.43,6452.22,22.8
common > 0.5 & socially controversial > 0.70 & socially controversial <= 0.89 & positive > 0.70 & interdisciplinary > 0.70,rule,0.3,negative,1.59,0.24,21721.5,9177.7,23.66
