rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
technically complicated <= 0.70 & unambiguous > 0.5 & positive <= 0.5 & subject to time variability <= 0.89,rule,0.08,negative,0.02,0.1,1.0,0.46,1.02
technically complicated <= 0.70 & unambiguous > 0.5 & negative <= 0.70 & interdisciplinary > 0.70,rule,0.27,positive,0.02,0.3,0.22,0.1,1.02
technically complicated <= 0.70 & unambiguous <= 0.70 & positive <= 0.70 & negative > 0.89,rule,0.04,positive,0.02,0.05,0.44,0.16,1.02
technically complicated > 0.30 & common > 0.5 & socially controversial > 0.70 & unambiguous <= 0.70 & positive > 0.70,rule,0.3,negative,0.02,0.24,0.6,0.18,1.02
technically complicated > 0.30 & common > 0.5 & socially controversial <= 0.89 & positive > 0.30 & interdisciplinary > 0.5,rule,0.88,negative,0.02,0.7,0.42,0.17,1.02
technically complicated <= 0.5 & unambiguous > 0.5 & negative <= 0.89 & neutral <= 0.70 & subject to time variability <= 0.89,rule,0.05,negative,0.01,0.04,0.44,0.17,1.01
technically complicated > 0.70 & common > 0.5 & common <= 0.70 & socially controversial > 0.70 & positive > 0.5,rule,0.06,negative,0.01,0.06,0.64,0.19,1.01
conceptually dense > 0.5 & socially controversial <= 0.70 & unambiguous > 0.5 & positive > 0.5 & neutral > 0.70,rule,0.28,positive,0.01,0.28,0.42,0.15,1.01
conceptually dense > 0.70 & socially controversial > 0.70 & unambiguous <= 0.70 & positive <= 0.70 & negative > 0.89,rule,0.05,positive,0.01,0.05,0.32,0.09,1.01
technically complicated > 0.30 & technically complicated <= 0.70 & socially controversial > 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.12,positive,0.01,0.24,0.24,0.06,1.01
technically complicated > 0.30 & common > 0.5 & socially controversial <= 0.89 & positive > 0.70 & negative > 0.5,rule,0.49,negative,0.01,0.51,0.24,0.05,1.01
conceptually dense <= 0.89 & technically complicated <= 0.70 & common > 0.5 & subject to geographical variability <= 0.89 & subject to time variability <= 0.89,rule,0.44,negative,0.01,0.36,0.46,0.16,1.01
conceptually dense > 0.5 & conceptually dense <= 0.89 & technically complicated <= 0.70 & unambiguous > 0.5 & neutral > 0.70,rule,0.22,positive,0.01,0.17,0.44,0.12,1.01
