rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
technically complicated <= 0.5 & common > 0.5 & positive > 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,positive,0.11,0.01,2.63,1.03,1.11
common > 0.5 & socially controversial > 0.30 & negative > 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,positive,0.1,0.02,1.26,0.3,1.1
technically complicated <= 0.70 & common > 0.5 & socially controversial <= 0.30 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.0,positive,0.07,0.0,1.75,0.51,1.07
technically complicated > 0.30 & common > 0.5 & positive > 0.70 & negative <= 0.89 & interdisciplinary > 0.70,rule,0.56,negative,0.07,0.46,1.52,0.48,1.07
common <= 0.70 & socially controversial <= 0.89 & positive <= 0.30,rule,0.02,positive,0.06,0.02,3.59,1.46,1.06
common > 0.5 & socially controversial <= 0.70 & negative > 0.70 & negative <= 0.89 & interdisciplinary > 0.70,rule,0.01,negative,0.05,0.19,1.54,0.78,1.05
socially controversial <= 0.89 & unambiguous <= 0.70 & positive > 0.5 & positive <= 0.70,rule,0.12,positive,0.05,0.21,0.9,0.35,1.05
common > 0.70 & socially controversial <= 0.70 & positive > 0.70 & negative > 0.5 & neutral > 0.40,rule,0.11,negative,0.05,0.16,3.59,1.42,1.05
conceptually dense <= 0.89 & technically complicated > 0.5 & common > 0.5 & unambiguous > 0.5 & negative > 0.70,rule,0.3,negative,0.04,0.28,0.89,0.39,1.04
technically complicated > 0.5 & common > 0.70 & positive <= 0.30 & subject to geographical variability <= 0.89,rule,0.02,negative,0.04,0.02,1.37,0.65,1.04
conceptually dense <= 0.89 & common <= 0.70 & socially controversial > 0.70 & positive > 0.70 & negative > 0.5,rule,0.1,negative,0.04,0.08,2.03,1.08,1.04
technically complicated > 0.30 & common <= 0.89 & socially controversial > 0.30 & positive > 0.70 & negative > 0.70,rule,0.12,negative,0.04,0.53,0.88,0.27,1.04
conceptually dense > 0.5 & technically complicated > 0.30 & common <= 0.5 & positive > 0.30 & interdisciplinary > 0.70,rule,0.04,positive,0.04,0.04,1.15,0.37,1.04
common > 0.70 & positive <= 0.30 & negative > 0.70 & negative <= 0.89 & neutral > 0.30,rule,0.01,negative,0.04,0.01,1.5,0.42,1.04
common > 0.5 & socially controversial > 0.89 & positive <= 0.30 & neutral <= 0.5,rule,0.01,negative,0.04,0.01,1.25,0.39,1.04
common <= 0.70 & socially controversial <= 0.89 & positive <= 0.30 & negative > 0.89,rule,0.02,positive,0.04,0.02,1.13,0.45,1.04
common > 0.5 & socially controversial > 0.5 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,positive,0.04,0.02,1.23,0.52,1.04
common <= 0.70 & socially controversial > 0.5 & positive > 0.30 & positive <= 0.70 & interdisciplinary <= 0.70,rule,0.01,positive,0.03,0.07,1.54,0.65,1.03
common > 0.5 & socially controversial > 0.5 & socially controversial <= 0.89 & positive > 0.70 & negative > 0.5,rule,0.45,negative,0.03,0.36,9.37,6.79,1.97
conceptually dense > 0.70 & common > 0.70 & socially controversial > 0.70 & positive > 0.70 & interdisciplinary > 0.70,rule,0.17,negative,0.03,0.17,4.63,2.29,1.03
conceptually dense > 0.70 & common > 0.70 & socially controversial <= 0.70 & positive > 0.70 & neutral <= 0.70,rule,0.02,positive,0.03,0.03,12.23,8.37,2.18
conceptually dense <= 0.70 & common <= 0.70 & socially controversial > 0.5 & positive > 0.70 & neutral <= 0.30,rule,0.02,negative,0.03,0.03,1.9,0.79,1.03
common > 0.70 & socially controversial <= 0.70 & negative > 0.70 & negative <= 0.89 & subject to geographical variability <= 0.89,rule,0.01,negative,0.03,0.01,1.52,0.52,1.03
common > 0.5 & common <= 0.89 & unambiguous > 0.5 & unambiguous <= 0.70 & positive <= 0.70,rule,0.28,positive,0.03,0.23,0.97,0.44,1.03
common <= 0.89 & socially controversial > 0.70 & positive <= 0.70 & negative <= 0.70 & subject to geographical variability <= 0.89,rule,0.03,positive,0.03,0.04,1.33,0.58,1.03
technically complicated > 0.30 & unambiguous > 0.5 & positive <= 0.70 & negative > 0.70 & negative <= 0.89,rule,0.19,negative,0.02,0.19,1.63,0.48,1.02
conceptually dense > 0.70 & socially controversial <= 0.70 & positive > 0.5 & negative > 0.89,rule,0.02,positive,0.02,0.02,1.1,0.48,1.02
technically complicated > 0.5 & common <= 0.89 & unambiguous > 0.5 & positive <= 0.5,rule,0.17,negative,0.02,0.14,1.34,0.46,1.02
technically complicated <= 0.70 & socially controversial <= 0.89 & unambiguous > 0.5 & positive <= 0.70 & negative > 0.89,rule,0.03,positive,0.02,0.06,2.57,1.63,1.02
conceptually dense <= 0.70 & technically complicated > 0.30 & unambiguous <= 0.70 & positive > 0.70 & subject to time variability <= 0.89,rule,0.22,negative,0.02,0.53,1.04,0.35,1.02
technically complicated <= 0.5 & common <= 0.70 & socially controversial > 0.70 & unambiguous > 0.5 & positive > 0.70,rule,0.01,negative,0.02,0.05,3.4,1.59,1.02
common > 0.5 & socially controversial > 0.70 & unambiguous <= 0.70 & positive <= 0.70 & negative > 0.70,rule,0.23,positive,0.02,0.19,0.9,0.37,1.02
conceptually dense <= 0.70 & common <= 0.89 & positive <= 0.70 & negative > 0.70 & subject to geographical variability <= 0.89,rule,0.05,positive,0.02,0.21,1.5,0.58,1.02
common > 0.70 & socially controversial <= 0.30 & positive > 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.0,positive,0.02,0.01,4.11,2.32,1.02
conceptually dense > 0.5 & technically complicated > 0.70 & common <= 0.5 & socially controversial <= 0.70 & positive > 0.70,rule,0.01,positive,0.02,0.01,42.05,34.23,3.61
unambiguous > 0.5 & positive <= 0.5 & negative > 0.70 & interdisciplinary > 0.70,rule,0.18,negative,0.02,0.2,1.94,0.77,1.02
technically complicated > 0.70 & common <= 0.70 & socially controversial > 0.70 & positive > 0.70 & negative > 0.70,rule,0.02,negative,0.02,0.03,5.16,3.76,1.35
