rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary,linear,,negative,0.63,,,,
positive,linear,,positive,0.33,,,,
conceptually dense <= 0.89 & socially controversial <= 0.89 & positive > 0.70,rule,0.67,positive,0.27,0.53,1243.89,1243.17,9.05
socially controversial <= 0.89 & positive > 0.70 & interdisciplinary > 0.70,rule,0.65,positive,0.16,0.54,910.9,910.42,7.89
socially controversial > 0.70 & positive <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,positive,0.11,0.01,66.16,63.09,4.61
technically complicated > 0.70 & common > 0.5 & positive > 0.30 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.16,negative,0.08,0.14,1307.09,1243.17,7.69
technically complicated > 0.5 & common <= 0.89 & unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.27,negative,0.08,0.22,39.53,36.73,3.9
technically complicated <= 0.70 & socially controversial > 0.5 & positive <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,positive,0.07,0.01,1017.24,966.48,7.37
technically complicated > 0.70 & unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.19,negative,0.06,0.15,424.32,405.87,6.35
common > 0.5 & socially controversial > 0.5 & unambiguous > 0.30 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.28,negative,0.04,0.23,25.97,23.72,3.3
technically complicated > 0.5 & common > 0.5 & common <= 0.89 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.26,negative,0.04,0.21,53.2,49.06,4.06
technically complicated <= 0.70 & socially controversial <= 0.89 & positive <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,positive,0.03,0.01,34.41,32.29,3.57
unambiguous > 0.5 & positive <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.3,negative,0.03,0.24,5.79,5.09,1.68
technically complicated <= 0.70 & common > 0.5 & positive > 0.5 & positive <= 0.70,rule,0.04,negative,0.03,0.08,4.94,4.01,1.43
technically complicated <= 0.70 & positive <= 0.70 & negative > 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,positive,0.03,0.01,118.44,113.05,4.89
