rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
positive,linear,,positive,2.37,,,,
conceptually dense <= 0.89 & technically complicated <= 0.89 & unambiguous > 0.30 & unambiguous <= 0.70 & positive <= 0.70,rule,0.31,negative,0.41,0.26,34.68,24.32,4.48
common > 0.5 & socially controversial <= 0.70 & positive <= 0.70,rule,0.04,negative,0.32,0.04,7681.91,7555.58,11.78
technically complicated > 0.70 & common > 0.5 & positive > 0.30 & positive <= 0.70 & subject to time variability <= 0.89,rule,0.16,negative,0.29,0.13,270.71,253.27,7.11
common > 0.5 & socially controversial > 0.5 & unambiguous <= 0.70 & positive > 0.5 & positive <= 0.70,rule,0.11,negative,0.21,0.22,87.75,74.37,5.19
common > 0.5 & unambiguous > 0.5 & positive > 0.5 & positive <= 0.70 & subject to time variability <= 0.89,rule,0.11,negative,0.18,0.23,49.15,37.21,4.27
common > 0.5 & common <= 0.89 & socially controversial > 0.30 & positive > 0.70 & interdisciplinary > 0.5,rule,0.63,positive,0.18,0.53,139.78,137.46,5.8
common > 0.5 & common <= 0.89 & unambiguous > 0.5 & positive > 0.70 & interdisciplinary > 0.5,rule,0.63,positive,0.14,0.5,24.03,22.94,3.57
common <= 0.70 & socially controversial > 0.70 & positive <= 0.70 & negative > 0.70 & neutral <= 0.70,rule,0.07,positive,0.13,0.06,749.64,718.48,7.46
socially controversial <= 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.01,negative,0.13,0.01,460.62,458.66,6.9
conceptually dense <= 0.89 & common > 0.70 & positive > 0.5 & positive <= 0.70,rule,0.07,negative,0.11,0.09,32.53,25.9,3.6
conceptually dense > 0.70 & technically complicated > 0.70 & unambiguous <= 0.70 & positive > 0.30 & positive <= 0.70,rule,0.15,negative,0.1,0.13,151.75,136.83,5.41
conceptually dense <= 0.89 & socially controversial > 0.70 & positive <= 0.5 & neutral <= 0.70,rule,0.16,positive,0.1,0.14,9.18,3.14,1.26
common > 0.5 & unambiguous > 0.5 & unambiguous <= 0.70 & positive <= 0.70 & negative <= 0.70,rule,0.05,negative,0.09,0.23,76.23,62.59,4.52
conceptually dense > 0.70 & socially controversial > 0.70 & unambiguous > 0.5 & positive <= 0.70,rule,0.23,positive,0.07,0.19,26.78,18.28,3.11
socially controversial > 0.70 & socially controversial <= 0.89 & positive <= 0.5 & neutral <= 0.70,rule,0.15,positive,0.06,0.13,11.1,3.7,1.39
technically complicated > 0.5 & common > 0.5 & common <= 0.89 & unambiguous > 0.5 & positive <= 0.70,rule,0.26,negative,0.06,0.21,63.7,51.66,4.2
socially controversial > 0.30 & unambiguous <= 0.70 & positive > 0.70 & interdisciplinary > 0.5 & subject to time variability <= 0.89,rule,0.66,positive,0.06,0.53,17.03,15.72,2.91
technically complicated > 0.70 & common > 0.70 & unambiguous <= 0.70 & positive <= 0.70 & neutral <= 0.30,rule,0.04,negative,0.05,0.1,165.08,151.44,5.26
technically complicated <= 0.70 & positive <= 0.70 & negative > 0.70 & negative <= 0.89 & neutral <= 0.70,rule,0.07,positive,0.04,0.09,2291.14,2224.18,8.05
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.5 & positive > 0.30 & positive <= 0.70,rule,0.07,negative,0.04,0.06,1833.66,1772.03,7.75
technically complicated > 0.5 & common > 0.70 & socially controversial > 0.70 & unambiguous <= 0.70 & positive <= 0.70,rule,0.16,negative,0.04,0.13,1391.76,1337.8,7.5
technically complicated > 0.5 & common > 0.5 & positive > 0.5 & positive <= 0.70 & neutral <= 0.70,rule,0.07,negative,0.04,0.08,43.78,36.05,3.73
technically complicated > 0.5 & common > 0.70 & common <= 0.89 & positive <= 0.70 & negative <= 0.89,rule,0.15,negative,0.03,0.12,31.64,22.94,3.24
technically complicated > 0.70 & positive > 0.70 & interdisciplinary > 0.70,rule,0.33,positive,0.03,0.44,27.54,26.77,3.37
conceptually dense <= 0.70 & technically complicated > 0.5 & unambiguous <= 0.70 & positive > 0.30 & positive <= 0.70,rule,0.04,negative,0.03,0.04,32.18,26.77,3.38
common > 0.70 & unambiguous > 0.30 & unambiguous <= 0.70 & positive <= 0.70 & negative > 0.89,rule,0.03,negative,0.03,0.03,69.44,60.21,4.23
socially controversial > 0.30 & socially controversial <= 0.89 & positive > 0.70 & negative > 0.70 & negative <= 0.89,rule,0.05,positive,0.03,0.1,91.69,89.84,4.65
technically complicated > 0.70 & common > 0.70 & socially controversial <= 0.89 & positive <= 0.70 & subject to time variability <= 0.89,rule,0.12,negative,0.03,0.15,105.38,93.25,4.65
conceptually dense > 0.5 & conceptually dense <= 0.70 & positive > 0.30 & positive <= 0.70 & negative > 0.70,rule,0.03,negative,0.03,0.03,99.41,92.23,4.64
technically complicated <= 0.5 & positive <= 0.70 & negative <= 0.89 & neutral <= 0.70,rule,0.02,positive,0.02,0.02,844.73,821.69,6.88
conceptually dense <= 0.70 & common > 0.5 & unambiguous <= 0.70 & positive <= 0.70 & subject to time variability <= 0.89,rule,0.05,negative,0.02,0.23,90.71,79.75,4.45
conceptually dense > 0.70 & common <= 0.89 & positive <= 0.30 & negative > 0.70,rule,0.04,positive,0.02,0.04,8.03,2.28,1.02
conceptually dense > 0.70 & technically complicated > 0.70 & positive > 0.70 & positive <= 0.89 & neutral > 0.40,rule,0.22,positive,0.02,0.21,39.19,37.21,3.69
socially controversial > 0.70 & positive > 0.70 & positive <= 0.89 & negative > 0.5 & negative <= 0.89,rule,0.26,positive,0.02,0.25,34.41,32.8,3.57
conceptually dense > 0.5 & common > 0.5 & common <= 0.70 & positive > 0.70,rule,0.19,positive,0.02,0.15,201.56,199.95,5.41
technically complicated > 0.70 & common > 0.5 & socially controversial > 0.70 & positive > 0.70 & neutral > 0.30,rule,0.1,positive,0.02,0.1,7778.32,7731.7,9.12
technically complicated <= 0.70 & socially controversial > 0.70 & positive <= 0.5 & neutral <= 0.70,rule,0.08,positive,0.01,0.09,55.56,25.31,3.26
technically complicated <= 0.70 & socially controversial <= 0.89 & positive <= 0.70 & negative > 0.70 & neutral <= 0.5,rule,0.05,positive,0.01,0.05,236.25,217.6,5.42
common > 0.5 & common <= 0.89 & unambiguous > 0.5 & positive > 0.70 & negative <= 0.89,rule,0.57,positive,0.01,0.51,363.45,359.89,5.92
technically complicated > 0.70 & common > 0.5 & socially controversial > 0.70 & positive > 0.70 & negative > 0.5,rule,0.13,positive,0.01,0.23,110.23,108.17,4.73
technically complicated > 0.70 & common <= 0.89 & socially controversial <= 0.70 & positive <= 0.70,rule,0.04,negative,0.01,0.15,109.54,100.08,4.64
conceptually dense > 0.70 & common <= 0.70 & socially controversial > 0.70 & positive <= 0.70 & neutral <= 0.70,rule,0.06,positive,0.01,0.07,455.58,426.06,6.1
technically complicated > 0.70 & positive > 0.70 & neutral > 0.30 & interdisciplinary > 0.5,rule,0.26,positive,0.01,0.42,51.38,49.53,3.93
socially controversial <= 0.5 & positive > 0.70 & interdisciplinary > 0.70,rule,0.12,positive,0.01,0.26,33.26,32.8,3.54
technically complicated > 0.70 & socially controversial > 0.5 & positive <= 0.5 & neutral <= 0.30,rule,0.04,negative,0.01,0.09,7.16,3.16,1.16
common > 0.5 & common <= 0.89 & socially controversial > 0.30 & positive > 0.70 & neutral > 0.30,rule,0.49,positive,0.01,0.5,40.41,39.36,3.72
technically complicated > 0.70 & socially controversial > 0.70 & positive > 0.70 & interdisciplinary > 0.5,rule,0.14,positive,0.01,0.27,26.32,25.45,3.28
technically complicated > 0.70 & common > 0.5 & common <= 0.89 & socially controversial > 0.70 & positive > 0.70,rule,0.13,positive,0.0,0.24,51.55,50.02,3.93
technically complicated > 0.70 & socially controversial <= 0.89 & positive <= 0.70 & neutral <= 0.30 & subject to time variability <= 0.89,rule,0.07,negative,0.0,0.15,50.0,43.14,3.77
technically complicated > 0.70 & common > 0.5 & common <= 0.70 & positive > 0.70,rule,0.11,positive,0.0,0.14,44.18,42.36,3.76
common > 0.70 & positive > 0.70 & negative <= 0.89 & neutral > 0.30,rule,0.35,positive,0.0,0.29,2205.45,2202.67,7.73
conceptually dense <= 0.70 & technically complicated <= 0.70 & positive > 0.70 & positive <= 0.89 & negative > 0.5,rule,0.11,positive,0.0,0.14,18.4,16.65,2.82
