rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common,linear,,positive,4.1,,,,
technically complicated > 0.30 & common > 0.5 & common <= 0.89 & positive > 0.70 & interdisciplinary > 0.70,rule,0.62,positive,2.77,0.51,833.32,514.89,23.55
conceptually dense > 0.5 & conceptually dense <= 0.89 & technically complicated > 0.5 & common > 0.5 & positive > 0.70,rule,0.51,positive,1.38,0.41,710.36,424.93,14.42
common <= 0.5 & socially controversial <= 0.70 & positive > 0.70,rule,0.02,negative,1.34,0.03,96351.27,71352.72,26.18
common <= 0.5 & positive > 0.5 & positive <= 0.70,rule,0.01,negative,1.11,0.02,15261.27,14765.61,20.29
conceptually dense <= 0.70 & common > 0.5 & positive > 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,positive,1.05,0.01,19008.29,13071.03,19.43
technically complicated > 0.70 & common > 0.5 & socially controversial > 0.30 & positive > 0.70,rule,0.31,positive,0.96,0.25,1648.06,1173.93,13.85
technically complicated <= 0.5 & common > 0.5 & common <= 0.89 & positive > 0.70 & interdisciplinary > 0.5,rule,0.12,positive,0.78,0.1,3349.29,2215.57,13.73
conceptually dense <= 0.70 & common > 0.70 & positive > 0.30 & positive <= 0.70,rule,0.03,negative,0.63,0.04,56814.38,55748.78,17.77
conceptually dense > 0.70 & common > 0.5 & common <= 0.89 & socially controversial > 0.30 & positive > 0.70,rule,0.42,positive,0.62,0.34,715.86,472.25,10.0
conceptually dense > 0.5 & technically complicated > 0.5 & common > 0.5 & common <= 0.70 & positive > 0.70,rule,0.17,positive,0.55,0.14,55320.4,39279.0,16.41
technically complicated > 0.30 & common > 0.5 & common <= 0.89 & positive > 0.70 & interdisciplinary <= 0.70,rule,0.01,positive,0.51,0.51,833.32,514.89,9.43
conceptually dense <= 0.70 & common > 0.30 & socially controversial > 0.30 & unambiguous > 0.5 & positive <= 0.70,rule,0.06,negative,0.5,0.05,253.83,169.43,7.68
