rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
conceptually dense,linear,,positive,3.75,,,,
interdisciplinary,linear,,positive,2.81,,,,
technically complicated,linear,,positive,1.16,,,,
socially controversial > 0.5 & interdisciplinary <= 0.70 & subject to time variability > 0.70,rule,0.02,negative,0.49,0.59,1452.22,765.23,9.87
technically complicated > 0.70 & socially controversial > 0.5 & socially controversial <= 0.89 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.42,positive,0.41,0.56,314.68,136.51,6.94
conceptually dense > 0.70 & socially controversial > 0.5 & positive > 0.5,rule,0.65,positive,0.36,0.67,1822.88,967.25,9.38
technically complicated <= 0.5 & common > 0.70 & socially controversial > 0.5,rule,0.02,negative,0.29,0.4,678.76,376.44,7.68
conceptually dense > 0.70 & socially controversial > 0.5 & positive > 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.47,positive,0.27,0.56,611.41,275.28,7.15
socially controversial > 0.5 & negative > 0.30 & interdisciplinary <= 0.70,rule,0.02,negative,0.22,0.05,728.43,499.78,7.57
technically complicated > 0.70 & positive > 0.5 & negative <= 0.5 & subject to geographical variability > 0.70,rule,0.27,positive,0.22,0.49,165.23,128.32,5.94
socially controversial > 0.5 & negative <= 0.70 & interdisciplinary <= 0.70,rule,0.02,negative,0.22,0.01,2392.6,1375.82,8.79
socially controversial > 0.5 & negative <= 0.5 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.37,positive,0.16,0.29,2788.9,1375.82,8.36
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.5 & unambiguous > 0.70 & positive > 0.70,rule,0.37,positive,0.14,0.3,884.87,375.9,6.79
technically complicated <= 0.70 & socially controversial <= 0.70 & positive > 0.5 & neutral > 0.70 & subject to geographical variability > 0.70,rule,0.3,negative,0.14,0.24,632.41,509.61,7.08
technically complicated > 0.70 & negative <= 0.70 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.44,positive,0.13,0.35,550.98,465.42,6.95
conceptually dense > 0.70 & common <= 0.70 & negative <= 0.5 & neutral > 0.70 & neutral <= 0.89,rule,0.16,positive,0.13,0.19,250.02,90.73,5.1
conceptually dense > 0.70 & socially controversial > 0.5,rule,0.74,positive,0.13,0.75,310.79,204.69,6.01
technically complicated > 0.70 & socially controversial > 0.5 & positive > 0.5 & neutral > 0.70 & subject to geographical variability > 0.70,rule,0.31,positive,0.13,0.29,729.63,538.38,7.12
technically complicated <= 0.70 & socially controversial <= 0.70 & negative > 0.5 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.02,negative,0.12,0.24,290.34,221.24,6.06
conceptually dense > 0.70 & common <= 0.89 & unambiguous > 0.70 & neutral <= 0.89 & subject to time variability <= 0.89,rule,0.68,positive,0.11,0.55,267.5,202.14,5.9
conceptually dense > 0.70 & common <= 0.70 & negative <= 0.70 & neutral > 0.70 & neutral <= 0.89,rule,0.23,positive,0.1,0.22,1487.4,1224.3,7.84
conceptually dense <= 0.70 & technically complicated <= 0.70 & socially controversial > 0.5 & interdisciplinary <= 0.70,rule,0.01,negative,0.1,0.01,1680.93,915.25,7.53
conceptually dense > 0.70 & common <= 0.89 & subject to geographical variability > 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.89,positive,0.09,0.73,286.16,195.18,5.75
socially controversial <= 0.70 & negative > 0.5,rule,0.03,negative,0.09,0.3,116.07,63.17,4.54
technically complicated <= 0.5 & common > 0.70 & socially controversial > 0.5 & negative > 0.30,rule,0.02,negative,0.09,0.06,112.2,76.57,4.73
positive > 0.70 & negative <= 0.5 & subject to geographical variability > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.56,positive,0.06,0.45,119.58,54.45,4.24
technically complicated <= 0.70 & common > 0.70 & socially controversial > 0.5 & subject to geographical variability > 0.70,rule,0.21,negative,0.06,0.3,1570.32,1070.71,7.42
socially controversial > 0.5 & interdisciplinary <= 0.70,rule,0.02,negative,0.06,0.6,961.03,545.75,6.71
conceptually dense <= 0.70 & socially controversial > 0.5 & socially controversial <= 0.89 & interdisciplinary <= 0.70,rule,0.01,negative,0.05,0.01,779.28,367.26,6.19
conceptually dense > 0.70 & common <= 0.70,rule,0.29,positive,0.03,0.74,952.56,853.62,6.97
socially controversial > 0.5 & socially controversial <= 0.89 & interdisciplinary > 0.70,rule,0.72,positive,0.03,0.59,734.4,367.26,6.11
technically complicated > 0.70 & socially controversial > 0.5 & positive > 0.5,rule,0.38,positive,0.02,0.34,705.28,509.61,6.37
conceptually dense <= 0.70 & socially controversial > 0.5 & subject to time variability <= 0.89,rule,0.01,negative,0.01,0.58,346.43,184.09,5.25
common > 0.70 & neutral > 0.70 & subject to geographical variability > 0.70,rule,0.55,negative,0.0,0.64,89.34,44.19,3.8
conceptually dense <= 0.70 & socially controversial > 0.5 & socially controversial <= 0.89 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.01,negative,0.0,0.58,317.23,164.79,5.12
conceptually dense <= 0.70 & socially controversial > 0.5 & subject to geographical variability > 0.70,rule,0.01,negative,0.0,0.59,353.68,176.06,5.17
