rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary,linear,,positive,3.45,,,,
conceptually dense,linear,,positive,3.2,,,,
technically complicated <= 0.70 & socially controversial <= 0.70 & positive > 0.5 & positive <= 0.89 & subject to geographical variability > 0.70,rule,0.3,negative,0.32,0.37,202.18,100.36,6.07
conceptually dense > 0.70 & socially controversial > 0.5 & interdisciplinary > 0.70,rule,0.73,positive,0.31,0.59,162.38,102.6,6.06
technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.70 & positive > 0.5,rule,0.26,negative,0.23,0.29,561.53,252.1,6.83
technically complicated > 0.5 & common <= 0.70,rule,0.28,positive,0.2,0.71,577.79,387.91,7.16
socially controversial > 0.5 & positive > 0.5 & negative <= 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.62,positive,0.19,0.51,1718.86,1165.03,8.38
technically complicated > 0.5 & socially controversial > 0.5 & positive > 0.70,rule,0.47,positive,0.19,0.39,1246.92,986.16,8.19
technically complicated > 0.5 & socially controversial > 0.5 & positive > 0.5 & neutral <= 0.89,rule,0.63,positive,0.18,0.64,305.74,176.83,6.08
technically complicated,linear,,positive,0.13,,,,
conceptually dense > 0.70 & socially controversial > 0.5 & positive > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.48,positive,0.11,0.53,2312.78,1268.43,7.95
technically complicated > 0.5 & socially controversial > 0.5 & socially controversial <= 0.89 & interdisciplinary > 0.70,rule,0.71,positive,0.11,0.57,265.56,168.79,5.68
conceptually dense > 0.70 & technically complicated > 0.5 & common <= 0.70 & positive > 0.70 & subject to geographical variability > 0.70,rule,0.2,positive,0.08,0.15,747.19,327.87,6.24
conceptually dense > 0.70 & technically complicated > 0.5 & common <= 0.70 & socially controversial > 0.70 & subject to time variability > 0.70,rule,0.18,positive,0.07,0.22,90.39,39.19,3.91
technically complicated > 0.70 & common <= 0.89 & positive > 0.5 & subject to geographical variability > 0.70 & interdisciplinary > 0.70,rule,0.42,positive,0.06,0.38,107.31,40.4,3.92
conceptually dense > 0.70 & technically complicated > 0.70 & socially controversial > 0.5 & socially controversial <= 0.89 & positive > 0.5,rule,0.37,positive,0.05,0.3,447.41,224.75,5.66
technically complicated > 0.70 & positive > 0.5 & interdisciplinary > 0.70,rule,0.42,positive,0.04,0.68,252.7,136.95,5.13
common > 0.70 & socially controversial > 0.5 & unambiguous > 0.70 & neutral > 0.70 & neutral <= 0.89,rule,0.3,negative,0.04,0.4,255.03,126.73,5.05
socially controversial > 0.70 & unambiguous <= 0.70 & positive > 0.5 & negative > 0.30,rule,0.15,positive,0.04,0.17,133.99,51.54,4.1
conceptually dense > 0.70 & common <= 0.70 & subject to time variability > 0.70,rule,0.28,positive,0.04,0.23,805.07,411.95,6.26
common > 0.70 & negative > 0.5 & negative <= 0.70 & subject to time variability <= 0.89,rule,0.18,negative,0.04,0.51,33.96,23.19,3.26
socially controversial <= 0.70 & neutral > 0.70 & subject to geographical variability > 0.70,rule,0.47,negative,0.03,0.39,95.48,89.96,4.65
socially controversial > 0.5 & socially controversial <= 0.70 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.24,negative,0.03,0.44,109.31,64.0,4.29
conceptually dense > 0.70 & neutral <= 0.70,rule,0.18,positive,0.01,0.15,22.25,11.53,2.47
technically complicated <= 0.70 & common > 0.70 & positive > 0.70 & neutral > 0.70 & neutral <= 0.89,rule,0.29,negative,0.01,0.25,473.2,333.44,5.88
technically complicated > 0.5 & common <= 0.70 & interdisciplinary > 0.70,rule,0.27,positive,0.01,0.22,46.2,32.78,3.52
technically complicated > 0.5 & common <= 0.70 & socially controversial > 0.70 & interdisciplinary > 0.70,rule,0.17,positive,0.0,0.22,274.25,145.47,4.98
conceptually dense > 0.70 & common <= 0.70 & socially controversial > 0.70,rule,0.18,positive,0.0,0.2,362.38,214.47,5.37
technically complicated > 0.5 & common <= 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.28,positive,0.0,0.72,76.85,37.81,3.65
socially controversial > 0.5 & socially controversial <= 0.70 & neutral > 0.70 & neutral <= 0.89 & subject to time variability <= 0.89,rule,0.24,negative,0.0,0.44,97.16,71.47,4.27
