rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
technically complicated,linear,,negative,0.11,,,,
positive,linear,,positive,0.09,,,,
technically complicated > 0.5 & common > 0.70 & common <= 0.89 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.59,negative,0.0,0.5,1.61,1.48,1.0
technically complicated <= 0.70 & socially controversial <= 0.5 & positive > 0.70 & negative > 0.30 & subject to time variability > 0.70,rule,0.18,positive,0.0,0.17,1.91,1.15,1.0
technically complicated <= 0.5 & common > 0.70 & positive > 0.70 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.07,positive,0.0,0.07,1.33,0.64,1.0
technically complicated <= 0.70 & socially controversial <= 0.89 & positive > 0.70 & positive <= 0.89 & subject to geographical variability > 0.70,rule,0.41,positive,0.0,0.33,0.82,0.53,1.0
technically complicated > 0.5 & common <= 0.89 & socially controversial > 0.5 & socially controversial <= 0.89 & subject to time variability <= 0.89,rule,0.7,negative,0.0,0.69,1.06,0.95,1.0
common <= 0.89 & socially controversial > 0.5 & unambiguous > 0.70 & neutral > 0.70,rule,0.4,negative,0.0,0.41,0.18,0.15,1.0
technically complicated > 0.70 & socially controversial > 0.30 & unambiguous > 0.70 & negative <= 0.70 & neutral > 0.70,rule,0.27,negative,0.0,0.29,0.67,0.29,1.0
conceptually dense > 0.70 & socially controversial > 0.70 & positive > 0.70,rule,0.27,positive,0.0,0.4,0.56,0.5,1.0
common <= 0.89 & socially controversial > 0.5 & socially controversial <= 0.70,rule,0.24,negative,0.0,0.6,0.18,0.09,1.0
