rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common <= 0.5 & positive > 0.5,rule,0.01,positive,1466.79,0.72,91755492.12,90544960.0,26891.93
interdisciplinary,linear,,negative,709.39,,,,
technically complicated <= 0.70 & common <= 0.5 & socially controversial > 0.5 & socially controversial <= 0.70,rule,0.0,positive,151.44,0.0,3120293.96,2626330.5,2253.18
common <= 0.5 & socially controversial > 0.70 & negative <= 0.70,rule,0.0,positive,86.94,0.34,24804939.94,23770880.0,1493.49
common <= 0.5 & positive > 0.5 & positive <= 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.0,positive,76.29,0.12,16888852.38,12157781.0,1260.88
common <= 0.5 & positive > 0.5 & subject to geographical variability > 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.01,positive,51.08,0.66,28545776.4,25814036.0,888.77
common > 0.5 & positive <= 0.70,rule,0.26,negative,42.83,0.21,7002357.69,6313356.5,686.23
common <= 0.5 & unambiguous <= 0.70 & positive > 0.5 & interdisciplinary > 0.70,rule,0.01,positive,17.16,0.16,13567970.06,12387651.0,296.63
common > 0.70 & interdisciplinary > 0.70,rule,0.65,negative,12.57,0.74,1680539.41,1644527.25,194.25
technically complicated > 0.5 & socially controversial <= 0.70 & subject to geographical variability > 0.70 & interdisciplinary <= 0.70,rule,0.02,negative,11.29,0.02,532298.92,406880.75,158.77
common <= 0.70 & socially controversial <= 0.70 & positive > 0.70 & interdisciplinary <= 0.70,rule,0.01,positive,9.71,0.05,790484.07,738622.19,144.77
common <= 0.70 & positive > 0.70 & negative > 0.30 & interdisciplinary <= 0.70 & subject to time variability > 0.70,rule,0.01,positive,6.42,0.01,5733471.12,3717599.25,112.22
conceptually dense > 0.70 & common <= 0.5 & unambiguous <= 0.70,rule,0.01,positive,4.83,0.19,18421468.41,17706196.0,97.36
technically complicated <= 0.5 & positive > 0.70 & positive <= 0.89 & interdisciplinary <= 0.70,rule,0.03,positive,4.31,0.08,515586.42,476967.19,69.49
conceptually dense > 0.70 & common > 0.5 & common <= 0.89 & positive > 0.70 & positive <= 0.89,rule,0.67,positive,4.22,0.58,2206888.98,2088888.25,75.98
technically complicated <= 0.70 & socially controversial <= 0.5 & subject to time variability > 0.70,rule,0.19,negative,3.88,0.19,12427.25,6818.18,43.08
socially controversial <= 0.89 & unambiguous > 0.70 & negative > 0.30 & interdisciplinary > 0.70,rule,0.7,negative,3.71,0.57,817894.8,725134.5,63.62
technically complicated <= 0.5 & common > 0.5 & negative <= 0.5 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.07,negative,2.89,0.06,66672016.2,65589800.0,69.95
technically complicated > 0.70 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.47,positive,2.85,0.38,27981.36,21183.7,38.35
conceptually dense > 0.70 & technically complicated > 0.70 & unambiguous <= 0.70 & positive > 0.5 & positive <= 0.70,rule,0.05,positive,2.82,0.1,447686.32,184764.88,46.27
