rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary,linear,,negative,2.35,,,,
common > 0.5 & interdisciplinary > 0.70,rule,0.92,negative,0.91,0.79,151.64,128.41,9.26
common > 0.5 & positive <= 0.70,rule,0.26,negative,0.52,0.21,713.63,678.92,9.92
common > 0.5 & positive <= 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.25,negative,0.24,0.2,223.84,169.74,6.36
positive <= 0.70 & interdisciplinary > 0.70,rule,0.25,negative,0.21,0.21,1150.09,1015.5,8.4
common > 0.5 & subject to geographical variability > 0.70 & interdisciplinary > 0.70,rule,0.91,negative,0.16,0.73,43.28,36.15,4.16
common > 0.5 & unambiguous > 0.70 & positive > 0.70 & positive <= 0.89 & negative <= 0.70,rule,0.61,positive,0.1,0.5,91.62,66.34,4.62
common > 0.5 & socially controversial > 0.30 & subject to geographical variability > 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.89,negative,0.09,0.71,47.72,32.8,3.8
positive <= 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.25,negative,0.07,0.74,466.56,262.5,5.94
technically complicated > 0.5 & common > 0.5 & common <= 0.89 & socially controversial > 0.30 & subject to geographical variability > 0.70,rule,0.87,negative,0.07,0.75,15.71,10.19,2.48
conceptually dense > 0.70 & technically complicated > 0.5 & common > 0.5 & positive <= 0.70 & subject to time variability > 0.70,rule,0.25,negative,0.04,0.7,458.39,321.43,6.01
common > 0.70 & socially controversial > 0.5 & neutral > 0.70,rule,0.35,negative,0.04,0.45,6.62,5.85,1.84
positive <= 0.70,rule,0.26,negative,0.03,0.8,666.86,666.86,6.67
technically complicated > 0.5 & common > 0.5 & socially controversial > 0.5 & subject to geographical variability > 0.70,rule,0.71,negative,0.03,0.7,16.44,11.05,2.46
socially controversial > 0.70 & positive > 0.70,rule,0.27,positive,0.02,0.4,354.05,275.45,5.74
technically complicated <= 0.70 & socially controversial > 0.30 & socially controversial <= 0.5 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.14,negative,0.02,0.14,24.43,22.05,3.15
technically complicated > 0.5 & socially controversial <= 0.89 & unambiguous > 0.70 & negative > 0.5 & subject to time variability <= 0.89,rule,0.2,negative,0.01,0.27,74.13,63.81,4.19
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.5 & socially controversial > 0.30 & subject to time variability > 0.70,rule,0.4,negative,0.01,0.33,11.46,4.03,1.41
technically complicated > 0.5 & common > 0.70 & positive <= 0.70,rule,0.18,negative,0.01,0.14,622.59,605.62,6.47
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.5 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.38,negative,0.0,0.31,33.44,22.67,3.13
