rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
conceptually dense > 0.70 & common <= 0.5 & negative <= 0.70,rule,0.01,positive,0.98,0.67,22.07,12.98,5.08
common > 0.5 & positive <= 0.70,rule,0.26,negative,0.84,0.2,873.72,830.9,12.38
positive > 0.70 & interdisciplinary > 0.70,rule,0.68,positive,0.13,0.75,293.58,293.58,6.44
conceptually dense > 0.70 & positive > 0.70,rule,0.68,positive,0.08,0.74,426.86,423.92,6.55
conceptually dense > 0.70 & positive > 0.70 & neutral <= 0.89 & subject to time variability > 0.70,rule,0.67,positive,0.07,0.74,67.33,65.23,4.46
technically complicated <= 0.70 & common > 0.5 & common <= 0.70 & positive > 0.70 & subject to geographical variability > 0.70,rule,0.1,negative,0.07,0.32,108.8,94.47,4.87
common > 0.70 & positive > 0.70 & neutral <= 0.70,rule,0.05,positive,0.07,0.06,498.52,493.86,6.62
positive > 0.70 & positive <= 0.89 & subject to geographical variability > 0.70,rule,0.72,positive,0.06,0.58,953.26,951.83,7.3
common > 0.5 & socially controversial <= 0.70 & unambiguous <= 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.05,negative,0.06,0.37,111.64,56.69,4.28
conceptually dense > 0.70 & technically complicated > 0.5 & common > 0.5 & subject to geographical variability > 0.70,rule,0.87,negative,0.06,0.73,68.13,51.78,4.19
common > 0.70 & socially controversial <= 0.5 & unambiguous > 0.70 & positive > 0.70 & neutral <= 0.89,rule,0.2,positive,0.06,0.17,12.37,4.8,1.67
technically complicated > 0.5 & common > 0.5 & common <= 0.89 & subject to time variability <= 0.89,rule,0.87,negative,0.05,0.7,16.71,13.57,2.75
common > 0.5 & socially controversial <= 0.89 & unambiguous > 0.70 & negative > 0.5 & subject to time variability <= 0.89,rule,0.21,negative,0.04,0.17,22.47,15.62,2.86
common > 0.70 & common <= 0.89 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.51,negative,0.04,0.6,11.1,8.57,2.24
technically complicated > 0.70 & common > 0.5 & common <= 0.70 & socially controversial > 0.70 & positive > 0.70,rule,0.06,positive,0.03,0.12,176.33,142.89,5.13
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.5 & common <= 0.89 & subject to geographical variability > 0.70,rule,0.4,negative,0.03,0.33,23.43,17.59,2.96
common > 0.5 & common <= 0.89 & socially controversial > 0.30 & negative <= 0.5 & subject to geographical variability > 0.70,rule,0.58,negative,0.03,0.48,102.82,60.78,4.24
common > 0.5 & subject to geographical variability > 0.70 & interdisciplinary > 0.70,rule,0.91,negative,0.03,0.73,106.8,100.47,4.75
technically complicated > 0.5 & unambiguous > 0.70 & positive > 0.70 & negative <= 0.5 & interdisciplinary > 0.70,rule,0.41,positive,0.02,0.38,81.68,74.84,4.4
conceptually dense > 0.70 & unambiguous > 0.70 & positive > 0.70,rule,0.56,positive,0.02,0.5,46.94,42.97,3.85
technically complicated <= 0.70 & socially controversial > 0.5 & positive > 0.70 & positive <= 0.89 & subject to geographical variability > 0.70,rule,0.22,positive,0.02,0.33,29.75,25.3,3.29
conceptually dense > 0.70 & common > 0.5 & subject to geographical variability > 0.70,rule,0.91,negative,0.02,0.75,38.73,35.36,3.64
common > 0.5 & unambiguous <= 0.70 & positive > 0.70 & negative <= 0.5 & subject to geographical variability > 0.70,rule,0.07,negative,0.02,0.45,152.99,76.94,4.44
technically complicated > 0.5 & common > 0.5 & common <= 0.89 & socially controversial > 0.30 & positive > 0.70,rule,0.63,negative,0.01,0.69,78.09,60.17,4.14
technically complicated > 0.70 & common > 0.70,rule,0.32,negative,0.01,0.56,28.26,27.99,3.37
