rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
positive > 0.5 & positive <= 0.70,rule,0.17,positive,0.09,0.21,24.81,21.66,3.35
common > 0.5 & positive > 0.70 & positive <= 0.89 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.7,negative,0.07,0.56,4.68,3.65,1.38
technically complicated > 0.5 & common > 0.5 & common <= 0.89 & positive > 0.70 & positive <= 0.89,rule,0.64,negative,0.02,0.59,24.28,21.66,3.13
technically complicated > 0.70 & common > 0.5 & socially controversial > 0.70 & positive > 0.70 & subject to time variability <= 0.89,rule,0.15,negative,0.02,0.23,12.81,11.69,2.5
socially controversial > 0.5 & positive > 0.70,rule,0.49,negative,0.02,0.59,17.36,15.78,2.81
positive <= 0.70 & negative <= 0.70,rule,0.19,positive,0.02,0.21,16.71,14.36,2.71
positive > 0.70 & negative > 0.5 & subject to time variability <= 0.89,rule,0.14,negative,0.02,0.28,10.93,9.47,2.29
conceptually dense > 0.70 & technically complicated <= 0.70 & socially controversial <= 0.89 & unambiguous > 0.70 & negative > 0.5,rule,0.1,negative,0.01,0.17,3.68,1.94,1.01
technically complicated > 0.5 & socially controversial > 0.30 & positive > 0.70,rule,0.64,negative,0.01,0.72,9.97,9.55,2.27
common > 0.70 & positive > 0.70 & positive <= 0.89,rule,0.52,negative,0.01,0.59,7.19,6.15,1.83
technically complicated > 0.5 & socially controversial <= 0.89 & unambiguous > 0.70,rule,0.67,negative,0.0,0.54,2.48,1.54,1.0
socially controversial <= 0.89 & unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.1,positive,0.0,0.09,16.33,15.78,2.77
technically complicated > 0.5 & socially controversial > 0.70 & positive > 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.26,negative,0.0,0.38,8.98,8.56,2.15
