rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
subject to time variability,linear,,positive,260.4,,,,
technically complicated > 0.70 & common > 0.70 & unambiguous > 0.5 & positive > 0.30,rule,0.45,positive,150.3,0.4,74783982.0,57710528.0,2703.89
common,linear,,positive,105.82,,,,
conceptually dense > 0.70 & common > 0.5 & common <= 0.89 & socially controversial > 0.70 & positive > 0.5,rule,0.63,positive,99.01,0.54,28472976.0,8482017.0,1595.45
technically complicated,linear,,positive,83.94,,,,
conceptually dense > 0.70 & socially controversial <= 0.89 & positive > 0.5 & interdisciplinary > 0.70,rule,0.72,positive,73.16,0.63,13415912.81,6793626.0,1166.69
conceptually dense > 0.70 & socially controversial <= 0.89 & neutral > 0.5 & subject to geographical variability > 0.89 & interdisciplinary <= 0.89,rule,0.08,positive,64.08,0.56,15006302.12,7876627.0,1033.44
common > 0.70 & socially controversial <= 0.70,rule,0.2,positive,60.7,0.73,15914846.5,8837239.0,986.86
technically complicated > 0.5 & technically complicated <= 0.70 & positive > 0.5 & neutral <= 0.70 & interdisciplinary <= 0.89,rule,0.28,positive,60.05,0.34,53725590.5,37368368.0,1064.49
technically complicated > 0.70 & common > 0.5 & unambiguous > 0.5 & neutral > 0.5 & subject to time variability <= 0.89,rule,0.47,positive,50.17,0.77,14467403.21,11254814.0,830.76
conceptually dense > 0.70 & unambiguous > 0.5 & positive > 0.5 & positive <= 0.70 & neutral <= 0.70,rule,0.2,positive,37.71,0.16,18386693.0,10422918.0,625.52
socially controversial > 0.70 & interdisciplinary <= 0.89 & subject to time variability <= 0.89,rule,0.66,negative,28.46,0.6,9893420.62,7752279.5,467.4
common > 0.5 & common <= 0.89 & socially controversial > 0.70 & positive <= 0.70 & neutral > 0.5,rule,0.27,positive,27.39,0.22,4650946.0,2420219.75,417.25
common <= 0.89 & subject to geographical variability > 0.89,rule,0.15,positive,23.72,0.13,9022792.75,5705319.0,384.57
