rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common,linear,,negative,0.33,,,,
socially controversial <= 0.5 & positive <= 0.89 & negative > 0.30 & neutral > 0.70,rule,0.05,negative,0.24,0.05,33.97,26.28,4.06
neutral > 0.70,rule,0.34,negative,0.16,0.79,121.97,121.97,5.58
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.70 & unambiguous > 0.5 & subject to time variability > 0.70,rule,0.71,positive,0.14,0.61,24.07,11.78,2.8
socially controversial > 0.89 & negative > 0.70,rule,0.08,positive,0.14,0.29,88.67,78.62,4.97
positive <= 0.70 & negative > 0.70,rule,0.28,positive,0.09,0.26,111.04,62.26,4.49
technically complicated > 0.70 & positive > 0.5 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.16,negative,0.08,0.35,17.46,8.97,2.37
conceptually dense > 0.5 & technically complicated <= 0.70 & socially controversial <= 0.5 & unambiguous > 0.70 & positive > 0.5,rule,0.05,positive,0.08,0.04,9.47,4.02,1.51
conceptually dense <= 0.70 & technically complicated > 0.5 & positive <= 0.89 & negative <= 0.70 & subject to time variability <= 0.89,rule,0.07,negative,0.07,0.06,66.64,56.68,4.34
common > 0.70 & common <= 0.89 & positive <= 0.70 & negative > 0.5 & negative <= 0.70,rule,0.03,negative,0.07,0.03,42.71,18.96,3.15
technically complicated <= 0.70 & negative <= 0.5 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.12,positive,0.07,0.28,19.57,8.53,2.29
conceptually dense > 0.5 & conceptually dense <= 0.70 & technically complicated <= 0.5 & unambiguous > 0.70 & interdisciplinary > 0.70,rule,0.02,positive,0.06,0.02,47.16,18.57,3.11
conceptually dense > 0.70 & socially controversial > 0.70 & positive <= 0.70 & neutral <= 0.70 & interdisciplinary <= 0.89,rule,0.24,positive,0.06,0.43,332.82,174.13,5.48
conceptually dense > 0.70 & common > 0.89 & unambiguous <= 0.70 & positive > 0.5 & subject to time variability <= 0.89,rule,0.03,negative,0.06,0.02,27.06,13.19,2.73
technically complicated > 0.70 & positive > 0.5 & positive <= 0.70,rule,0.14,negative,0.06,0.35,8.57,4.46,1.59
conceptually dense > 0.70 & unambiguous > 0.70 & positive > 0.70 & negative <= 0.70 & subject to time variability > 0.70,rule,0.15,positive,0.06,0.13,8.06,3.28,1.26
unambiguous > 0.5 & positive > 0.5 & neutral > 0.5 & neutral <= 0.70 & interdisciplinary <= 0.89,rule,0.52,positive,0.05,0.41,92.47,75.37,4.54
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.70 & negative <= 0.70 & neutral > 0.70,rule,0.13,negative,0.05,0.11,15.0,5.84,1.85
conceptually dense > 0.70 & technically complicated <= 0.70 & socially controversial > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.26,positive,0.05,0.22,127.36,86.62,4.68
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.5 & socially controversial <= 0.70 & unambiguous <= 0.70,rule,0.05,negative,0.05,0.08,26.25,11.06,2.52
socially controversial <= 0.70 & positive <= 0.89 & negative <= 0.5 & neutral > 0.70 & interdisciplinary <= 0.89,rule,0.1,negative,0.05,0.08,15.87,11.82,2.59
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.70 & socially controversial <= 0.89 & unambiguous <= 0.70,rule,0.49,positive,0.04,0.5,31.61,11.06,2.49
negative > 0.70 & neutral <= 0.70,rule,0.34,positive,0.04,0.29,84.66,63.37,4.3
socially controversial <= 0.70 & unambiguous > 0.70 & positive > 0.89 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.01,positive,0.04,0.11,69.46,54.82,4.15
unambiguous > 0.70 & negative > 0.70 & neutral <= 0.70 & interdisciplinary > 0.70,rule,0.06,positive,0.04,0.11,26.69,18.18,3.01
technically complicated <= 0.70 & socially controversial > 0.70 & unambiguous <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.19,positive,0.04,0.34,23.96,15.65,2.86
technically complicated > 0.70 & common > 0.89 & unambiguous <= 0.70 & positive > 0.5 & neutral <= 0.70,rule,0.01,negative,0.04,0.01,16.64,12.34,2.62
common > 0.70 & common <= 0.89 & positive > 0.5 & negative > 0.5 & neutral <= 0.70,rule,0.46,negative,0.04,0.4,28.08,13.23,2.68
technically complicated <= 0.70 & common <= 0.89 & positive > 0.70 & negative <= 0.70 & interdisciplinary > 0.70,rule,0.29,positive,0.03,0.24,11.01,4.34,1.51
