rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
technically complicated,linear,,positive,0.69,,,,
subject to time variability,linear,,positive,0.22,,,,
conceptually dense > 0.70 & positive <= 0.70 & negative <= 0.89,rule,0.31,positive,0.1,0.25,22.86,14.18,2.93
technically complicated > 0.70 & common > 0.70 & unambiguous <= 0.70 & negative <= 0.70 & subject to geographical variability <= 0.89,rule,0.15,positive,0.07,0.15,72.79,36.87,3.86
common <= 0.70 & positive > 0.70,rule,0.06,negative,0.07,0.07,4.06,3.57,1.36
common <= 0.89 & negative > 0.70 & neutral > 0.5,rule,0.33,positive,0.06,0.28,50.43,45.78,4.04
socially controversial > 0.5 & socially controversial <= 0.89 & neutral > 0.5 & subject to geographical variability > 0.89 & subject to time variability <= 0.89,rule,0.1,positive,0.05,0.08,23.32,20.53,3.16
technically complicated > 0.70 & common > 0.70 & common <= 0.89,rule,0.41,positive,0.05,0.65,24.1,21.36,3.21
common <= 0.89 & unambiguous > 0.70 & negative <= 0.5,rule,0.08,negative,0.05,0.09,14.76,11.57,2.56
conceptually dense > 0.70 & positive > 0.70 & neutral <= 0.70 & interdisciplinary <= 0.89 & subject to time variability <= 0.89,rule,0.31,negative,0.04,0.41,32.9,21.64,3.2
conceptually dense > 0.70 & common <= 0.89 & subject to geographical variability > 0.89 & interdisciplinary <= 0.89,rule,0.12,positive,0.04,0.6,26.85,13.28,2.68
common > 0.89 & negative > 0.5 & neutral > 0.5 & neutral <= 0.70 & interdisciplinary <= 0.89,rule,0.03,negative,0.04,0.03,5.48,2.73,1.04
conceptually dense > 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & unambiguous <= 0.70 & neutral <= 0.70,rule,0.4,positive,0.04,0.33,4.77,3.67,1.35
common > 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & positive > 0.70 & interdisciplinary <= 0.89,rule,0.36,positive,0.03,0.32,18.94,11.3,2.5
technically complicated <= 0.70 & negative <= 0.70 & subject to geographical variability <= 0.89,rule,0.34,negative,0.03,0.46,65.3,36.87,3.72
common > 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.18,negative,0.03,0.15,15.79,11.3,2.49
conceptually dense <= 0.70 & technically complicated <= 0.5 & common <= 0.89 & negative <= 0.5,rule,0.02,negative,0.03,0.02,55.07,45.57,3.94
common > 0.70 & unambiguous > 0.70 & positive <= 0.70 & negative > 0.70 & subject to time variability > 0.70,rule,0.06,positive,0.03,0.05,35.79,14.68,2.76
conceptually dense <= 0.70 & common <= 0.89 & socially controversial <= 0.70 & positive > 0.70 & neutral > 0.70,rule,0.05,negative,0.03,0.1,8.21,3.07,1.15
technically complicated <= 0.70 & socially controversial > 0.5 & unambiguous <= 0.70 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.04,negative,0.03,0.21,23.72,15.13,2.79
conceptually dense <= 0.89 & technically complicated > 0.70 & socially controversial <= 0.89 & interdisciplinary > 0.89,rule,0.08,positive,0.03,0.08,9.27,5.61,1.78
technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.89 & unambiguous <= 0.70 & subject to geographical variability > 0.89,rule,0.03,positive,0.02,0.03,13.7,5.96,1.82
technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.89 & negative <= 0.70 & neutral <= 0.70,rule,0.17,positive,0.02,0.15,44.74,38.81,3.72
unambiguous > 0.70 & subject to geographical variability <= 0.89 & subject to time variability > 0.70,rule,0.28,negative,0.02,0.24,5.03,3.73,1.34
technically complicated > 0.70 & common <= 0.89 & negative > 0.70 & neutral > 0.5 & neutral <= 0.70,rule,0.19,positive,0.02,0.17,12.52,11.26,2.46
common <= 0.89 & socially controversial <= 0.70 & unambiguous > 0.70 & interdisciplinary <= 0.89,rule,0.11,negative,0.02,0.19,56.72,29.98,3.48
conceptually dense > 0.70 & common <= 0.89 & unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.2,positive,0.02,0.2,7.3,4.4,1.52
technically complicated > 0.70 & socially controversial <= 0.70 & unambiguous <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.03,positive,0.02,0.04,75.46,34.64,3.6
conceptually dense > 0.70 & common > 0.89 & neutral > 0.5 & subject to time variability > 0.70,rule,0.07,negative,0.02,0.05,13.04,6.32,1.88
conceptually dense > 0.70 & technically complicated <= 0.70 & socially controversial > 0.70 & positive > 0.70 & subject to time variability > 0.70,rule,0.21,negative,0.02,0.22,136.98,72.29,4.35
technically complicated <= 0.70 & common <= 0.89 & negative <= 0.5,rule,0.09,negative,0.02,0.1,70.28,67.44,4.31
technically complicated > 0.70 & common > 0.70 & socially controversial > 0.70 & negative <= 0.70 & neutral <= 0.70,rule,0.1,negative,0.01,0.08,43.52,38.81,3.71
conceptually dense > 0.70 & technically complicated > 0.70 & common > 0.70 & unambiguous <= 0.70 & positive > 0.70,rule,0.2,positive,0.01,0.28,115.15,66.45,4.23
technically complicated <= 0.70 & socially controversial <= 0.89 & neutral <= 0.70 & subject to geographical variability > 0.89,rule,0.03,positive,0.01,0.04,24.27,15.88,2.81
common <= 0.89 & unambiguous <= 0.70 & positive <= 0.5 & subject to geographical variability <= 0.89,rule,0.04,positive,0.01,0.13,2.41,0.97,1.01
technically complicated <= 0.70 & negative <= 0.5 & neutral > 0.70 & subject to time variability > 0.70,rule,0.08,negative,0.01,0.08,48.14,37.04,3.63
conceptually dense > 0.70 & technically complicated > 0.70 & unambiguous > 0.70 & negative > 0.70 & subject to time variability > 0.70,rule,0.04,positive,0.01,0.08,5.59,3.9,1.37
technically complicated <= 0.70 & socially controversial <= 0.89 & subject to geographical variability > 0.89 & interdisciplinary <= 0.89 & subject to time variability <= 0.89,rule,0.04,positive,0.01,0.06,29.65,14.36,2.7
common <= 0.89 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.68,negative,0.01,0.55,11.08,6.36,1.87
conceptually dense > 0.5 & common > 0.70 & socially controversial <= 0.70 & unambiguous <= 0.70 & negative <= 0.70,rule,0.05,positive,0.01,0.06,4.46,1.49,1.01
conceptually dense > 0.70 & technically complicated > 0.70 & positive > 0.30 & positive <= 0.70 & negative > 0.70,rule,0.17,positive,0.01,0.14,88.43,77.69,4.39
common > 0.70 & socially controversial <= 0.89 & unambiguous <= 0.70 & neutral > 0.5 & interdisciplinary > 0.70,rule,0.51,positive,0.01,0.48,3.29,1.18,1.01
technically complicated > 0.70 & unambiguous > 0.70 & positive <= 0.70 & neutral <= 0.70,rule,0.03,positive,0.01,0.04,13.97,4.91,1.6
technically complicated > 0.70 & unambiguous <= 0.70 & subject to geographical variability <= 0.89,rule,0.31,positive,0.01,0.44,11.57,9.89,2.31
conceptually dense <= 0.70 & technically complicated <= 0.70 & socially controversial <= 0.70 & positive > 0.70 & subject to time variability > 0.70,rule,0.08,negative,0.01,0.08,138.97,72.29,4.34
conceptually dense > 0.70 & socially controversial > 0.70 & positive > 0.70 & subject to geographical variability <= 0.89 & subject to time variability <= 0.89,rule,0.39,negative,0.01,0.48,38.46,15.87,2.8
socially controversial > 0.5 & socially controversial <= 0.70 & negative <= 0.5 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.07,negative,0.01,0.1,12.49,5.93,1.79
conceptually dense > 0.70 & technically complicated <= 0.70 & unambiguous <= 0.70 & positive > 0.70,rule,0.17,negative,0.01,0.2,176.29,97.25,4.61
conceptually dense > 0.70 & technically complicated <= 0.70 & socially controversial <= 0.89 & unambiguous <= 0.89 & negative <= 0.70,rule,0.25,positive,0.0,0.29,17.1,14.01,2.65
technically complicated <= 0.70 & socially controversial > 0.5 & neutral > 0.70 & subject to geographical variability <= 0.89,rule,0.11,negative,0.0,0.13,18.84,15.88,2.78
socially controversial > 0.89 & positive > 0.70,rule,0.03,negative,0.0,0.55,5.32,4.99,1.61
socially controversial > 0.70 & unambiguous > 0.5 & unambiguous <= 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.38,positive,0.0,0.38,15.75,11.52,2.45
conceptually dense <= 0.89 & common > 0.70 & socially controversial > 0.70 & negative > 0.5 & subject to time variability <= 0.89,rule,0.67,negative,0.0,0.56,6.17,4.34,1.47
conceptually dense > 0.70 & common > 0.70 & socially controversial <= 0.70 & negative > 0.5,rule,0.06,positive,0.0,0.07,6.07,4.34,1.47
technically complicated <= 0.70 & socially controversial > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.38,negative,0.0,0.35,26.51,20.62,3.03
technically complicated > 0.70 & unambiguous > 0.70 & negative > 0.70,rule,0.04,positive,0.0,0.07,38.61,19.98,3.0
technically complicated > 0.70 & common > 0.70 & socially controversial > 0.5 & unambiguous <= 0.70 & neutral <= 0.70,rule,0.26,negative,0.0,0.24,81.46,78.16,4.36
common <= 0.89 & unambiguous > 0.70 & subject to geographical variability > 0.89,rule,0.03,positive,0.0,0.02,19.24,11.1,2.41
conceptually dense > 0.70 & conceptually dense <= 0.89 & technically complicated > 0.70 & common <= 0.89 & interdisciplinary > 0.89,rule,0.08,positive,0.0,0.37,33.6,27.91,3.34
conceptually dense <= 0.70 & common <= 0.89 & positive > 0.70 & neutral > 0.70,rule,0.05,negative,0.0,0.06,8.38,5.83,1.77
