rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common > 0.89,rule,0.1,positive,1.86,0.79,2063.71,2063.71,21.86
technically complicated > 0.5 & common > 0.89,rule,0.09,positive,0.1,0.08,1304.24,1300.73,7.92
common <= 0.89 & socially controversial <= 0.70 & positive > 0.70 & negative <= 0.5,rule,0.1,negative,0.09,0.09,240.6,221.65,5.91
technically complicated <= 0.70 & socially controversial > 0.30 & positive > 0.70 & neutral > 0.5 & interdisciplinary <= 0.89,rule,0.38,negative,0.09,0.4,18.72,6.68,2.07
conceptually dense > 0.70 & socially controversial > 0.70 & neutral <= 0.70 & interdisciplinary <= 0.89,rule,0.53,positive,0.05,0.45,7.92,4.35,1.55
unambiguous > 0.70 & positive > 0.70,rule,0.25,negative,0.05,0.25,6.66,4.11,1.49
common <= 0.89 & socially controversial <= 0.70,rule,0.17,negative,0.05,0.72,1268.32,1215.78,7.47
technically complicated <= 0.70 & common > 0.70 & common <= 0.89 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.12,negative,0.05,0.32,410.11,375.34,6.21
common <= 0.89 & unambiguous <= 0.89 & negative <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70,rule,0.51,negative,0.04,0.45,224.61,214.33,5.57
common <= 0.89 & unambiguous > 0.70 & neutral > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.22,negative,0.04,0.22,186.35,181.9,5.43
technically complicated > 0.5 & socially controversial <= 0.89 & unambiguous <= 0.89 & negative <= 0.70 & interdisciplinary <= 0.89,rule,0.54,positive,0.04,0.46,61.8,30.83,3.55
common > 0.70 & common <= 0.89 & unambiguous > 0.70,rule,0.25,negative,0.04,0.2,404.44,371.97,6.15
common > 0.70 & common <= 0.89 & positive > 0.70 & interdisciplinary > 0.70,rule,0.54,negative,0.03,0.44,1509.09,1464.0,7.5
technically complicated <= 0.70 & common > 0.70 & common <= 0.89,rule,0.4,negative,0.03,0.66,137.36,126.2,4.98
conceptually dense <= 0.70 & technically complicated <= 0.70 & common <= 0.89 & negative <= 0.70 & interdisciplinary <= 0.89,rule,0.08,negative,0.03,0.25,61.6,51.1,4.05
technically complicated > 0.70 & common > 0.89,rule,0.04,positive,0.03,0.08,1989.89,1988.08,7.8
conceptually dense > 0.70 & technically complicated > 0.70 & common > 0.70 & common <= 0.89 & negative > 0.5,rule,0.4,negative,0.02,0.36,55.93,51.62,4.03
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.5 & interdisciplinary <= 0.89 & subject to time variability <= 0.89,rule,0.7,positive,0.02,0.61,1187.88,1120.36,7.15
socially controversial <= 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.04,negative,0.02,0.17,1.49,0.69,1.02
conceptually dense <= 0.89 & technically complicated <= 0.70 & common > 0.70 & common <= 0.89,rule,0.4,negative,0.02,0.65,520.13,500.99,6.36
technically complicated > 0.70 & common <= 0.89 & negative > 0.5 & negative <= 0.70,rule,0.23,negative,0.02,0.19,179.71,171.41,5.22
common > 0.70 & common <= 0.89 & socially controversial > 0.70 & positive <= 0.89 & negative <= 0.70,rule,0.35,negative,0.02,0.52,166.89,150.75,5.11
conceptually dense <= 0.89 & unambiguous > 0.5 & unambiguous <= 0.70 & positive <= 0.70 & neutral <= 0.70,rule,0.23,positive,0.01,0.19,9.87,7.44,2.03
socially controversial > 0.70 & unambiguous > 0.5 & unambiguous <= 0.70,rule,0.61,positive,0.01,0.49,2.95,2.1,1.01
common <= 0.89 & neutral > 0.70,rule,0.29,negative,0.01,0.27,213.41,211.61,5.4
common > 0.70 & common <= 0.89 & socially controversial > 0.70 & neutral > 0.70,rule,0.14,negative,0.01,0.12,51.13,47.04,3.88
socially controversial > 0.70 & positive > 0.70 & negative <= 0.70 & interdisciplinary <= 0.89 & subject to time variability <= 0.89,rule,0.35,positive,0.01,0.3,3.83,1.52,1.01
common > 0.70 & common <= 0.89 & positive <= 0.5 & negative > 0.5 & interdisciplinary > 0.70,rule,0.07,negative,0.01,0.06,79.44,78.0,4.41
common > 0.70 & common <= 0.89 & unambiguous > 0.70 & positive > 0.70 & negative <= 0.5,rule,0.08,negative,0.01,0.16,604.61,557.66,6.38
technically complicated <= 0.70 & positive > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.34,negative,0.01,0.34,10.98,6.0,1.81
technically complicated <= 0.5 & socially controversial <= 0.89 & unambiguous <= 0.89 & negative <= 0.70 & interdisciplinary <= 0.89,rule,0.04,negative,0.01,0.46,61.8,30.83,3.45
conceptually dense > 0.70 & technically complicated > 0.70 & positive <= 0.70 & interdisciplinary > 0.89,rule,0.05,positive,0.01,0.16,50.95,28.21,3.38
common > 0.70 & common <= 0.89 & socially controversial <= 0.89 & interdisciplinary > 0.70,rule,0.72,negative,0.01,0.65,1379.77,1354.5,7.27
technically complicated <= 0.70 & common <= 0.89 & negative > 0.30 & negative <= 0.5,rule,0.09,negative,0.01,0.25,556.39,529.21,6.3
technically complicated > 0.70 & socially controversial > 0.5 & positive > 0.70 & neutral > 0.70 & interdisciplinary <= 0.89,rule,0.12,positive,0.01,0.18,5.92,2.32,1.01
conceptually dense > 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & positive <= 0.70 & neutral <= 0.70,rule,0.21,positive,0.01,0.17,20.67,10.29,2.34
positive > 0.5 & positive <= 0.70 & negative > 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.15,positive,0.01,0.16,18.17,9.73,2.3
conceptually dense > 0.70 & technically complicated > 0.70 & negative > 0.70 & neutral > 0.5 & neutral <= 0.70,rule,0.21,positive,0.0,0.27,3.4,1.97,1.0
common <= 0.89 & socially controversial <= 0.89 & positive > 0.5 & positive <= 0.70 & negative > 0.70,rule,0.14,positive,0.0,0.15,1029.63,995.63,6.9
unambiguous > 0.5 & positive > 0.30 & positive <= 0.70 & negative <= 0.89 & subject to time variability <= 0.89,rule,0.3,positive,0.0,0.25,5.13,4.15,1.43
technically complicated > 0.70 & positive <= 0.70 & interdisciplinary > 0.89,rule,0.05,positive,0.0,0.16,33.97,21.4,3.07
positive > 0.70 & positive <= 0.89 & neutral > 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.27,positive,0.0,0.23,7.07,2.62,1.0
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.70 & unambiguous <= 0.70 & neutral <= 0.70,rule,0.46,positive,0.0,0.37,353.81,332.02,5.83
technically complicated > 0.5 & unambiguous <= 0.70 & interdisciplinary <= 0.89 & subject to time variability <= 0.89,rule,0.58,positive,0.0,0.48,46.82,27.87,3.34
common > 0.70 & common <= 0.89 & socially controversial > 0.70 & neutral > 0.70 & subject to time variability > 0.70,rule,0.14,negative,0.0,0.12,306.38,288.3,5.68
