rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common > 0.89,rule,0.1,positive,0.09,0.79,11.43,11.43,2.65
common > 0.5 & common <= 0.89 & socially controversial <= 0.89 & positive > 0.70 & neutral > 0.70,rule,0.27,negative,0.03,0.22,1.96,1.29,1.03
conceptually dense > 0.70 & common <= 0.89 & unambiguous <= 0.70 & negative > 0.70,rule,0.27,negative,0.02,0.26,0.61,0.29,1.02
technically complicated > 0.70 & positive > 0.5 & negative > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70,rule,0.34,negative,0.02,0.3,2.28,1.1,1.02
technically complicated <= 0.70 & unambiguous <= 0.70 & negative > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.21,positive,0.02,0.18,1.55,0.74,1.02
common <= 0.89 & neutral > 0.70,rule,0.29,negative,0.01,0.27,3.3,2.74,1.02
unambiguous <= 0.70 & positive > 0.70 & negative <= 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.18,positive,0.01,0.2,0.75,0.48,1.01
technically complicated > 0.70 & common > 0.70 & common <= 0.89 & unambiguous <= 0.70 & subject to geographical variability <= 0.89,rule,0.25,negative,0.01,0.26,2.38,1.09,1.01
subject to time variability,linear,,negative,0.01,,,,
conceptually dense <= 0.89 & common > 0.70 & common <= 0.89 & negative > 0.5 & interdisciplinary <= 0.89,rule,0.64,negative,0.01,0.57,1.72,1.43,1.01
common > 0.70 & common <= 0.89 & positive > 0.70 & neutral <= 0.70 & interdisciplinary > 0.70,rule,0.31,negative,0.01,0.25,5.73,3.35,1.22
common,linear,,positive,0.01,,,,
technically complicated > 0.70 & common <= 0.89 & unambiguous <= 0.70 & negative > 0.5 & subject to geographical variability <= 0.89,rule,0.29,negative,0.01,0.24,4.65,2.94,1.08
conceptually dense > 0.70 & technically complicated > 0.70 & common <= 0.89 & unambiguous <= 0.70 & positive > 0.70,rule,0.23,negative,0.01,0.31,5.55,2.74,1.01
conceptually dense > 0.5 & common <= 0.89 & socially controversial <= 0.89 & unambiguous > 0.5 & subject to geographical variability <= 0.89,rule,0.71,negative,0.01,0.62,1.53,1.27,1.01
conceptually dense > 0.70 & technically complicated > 0.70 & common <= 0.89 & socially controversial <= 0.89 & positive > 0.70,rule,0.27,negative,0.01,0.23,6.48,2.59,1.01
technically complicated > 0.70 & common <= 0.89 & unambiguous <= 0.70 & positive > 0.70,rule,0.23,negative,0.0,0.23,2.4,1.17,1.0
conceptually dense > 0.5 & conceptually dense <= 0.89 & common <= 0.89 & socially controversial <= 0.70 & subject to geographical variability <= 0.89,rule,0.17,negative,0.0,0.14,1.74,1.53,1.0
common <= 0.89 & unambiguous <= 0.70 & positive > 0.5 & neutral > 0.70,rule,0.15,negative,0.0,0.13,0.74,0.21,1.0
common <= 0.89 & socially controversial <= 0.89 & unambiguous > 0.5 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.8,negative,0.0,0.64,1.08,0.96,1.0
common <= 0.89 & positive > 0.70 & negative > 0.70,rule,0.09,negative,0.0,0.27,3.27,2.68,1.0
common > 0.5 & common <= 0.89 & unambiguous > 0.5 & neutral > 0.70 & subject to time variability > 0.70,rule,0.28,negative,0.0,0.23,4.4,3.12,1.14
conceptually dense > 0.70 & technically complicated <= 0.70 & unambiguous <= 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.17,positive,0.0,0.17,2.25,0.9,1.0
common <= 0.89 & socially controversial <= 0.70 & neutral > 0.70 & interdisciplinary <= 0.89,rule,0.14,negative,0.0,0.14,3.91,3.3,1.2
technically complicated > 0.5 & technically complicated <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.4,positive,0.0,0.35,1.43,1.11,1.0
common <= 0.89 & unambiguous <= 0.70 & neutral <= 0.70 & interdisciplinary <= 0.89 & subject to time variability <= 0.89,rule,0.42,positive,0.0,0.36,2.01,0.69,1.0
common > 0.5 & common <= 0.89 & positive > 0.5 & subject to geographical variability <= 0.89,rule,0.69,negative,0.0,0.55,5.94,5.5,1.71
technically complicated <= 0.70 & subject to geographical variability <= 0.89,rule,0.44,positive,0.0,0.67,3.2,3.18,1.16
conceptually dense > 0.5 & common <= 0.89 & socially controversial <= 0.89 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.73,negative,0.0,0.65,9.03,8.74,2.18
common <= 0.89 & socially controversial > 0.5 & socially controversial <= 0.89 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.49,negative,0.0,0.54,8.53,7.84,2.06
technically complicated <= 0.70 & neutral > 0.5 & neutral <= 0.70 & subject to geographical variability > 0.89,rule,0.05,negative,0.0,0.11,1.1,0.43,1.0
conceptually dense > 0.70 & technically complicated <= 0.70 & socially controversial > 0.70 & unambiguous > 0.70 & neutral <= 0.70,rule,0.07,negative,0.0,0.09,3.26,1.89,1.0
conceptually dense > 0.70 & negative <= 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.48,positive,0.0,0.63,0.23,0.2,1.0
