rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
positive <= 0.70,rule,0.32,negative,0.5,0.8,866.62,866.62,10.13
positive > 0.70,rule,0.68,positive,0.21,0.8,778.33,778.33,8.05
socially controversial <= 0.89 & positive > 0.70,rule,0.65,positive,0.05,0.54,454.28,454.13,6.4
socially controversial > 0.89 & positive > 0.30 & positive <= 0.5 & interdisciplinary <= 0.89,rule,0.02,positive,0.05,0.06,2.41,1.41,1.05
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.70 & positive <= 0.70 & subject to geographical variability <= 0.89,rule,0.09,positive,0.05,0.07,114.38,112.77,4.94
common <= 0.89 & socially controversial > 0.89 & positive > 0.30 & positive <= 0.5,rule,0.02,positive,0.03,0.02,2.58,1.06,1.03
common > 0.70 & positive > 0.70 & interdisciplinary > 0.70,rule,0.61,positive,0.03,0.54,543.74,543.45,6.48
technically complicated <= 0.70 & common > 0.70 & unambiguous <= 0.70 & positive <= 0.70 & subject to geographical variability <= 0.89,rule,0.06,positive,0.03,0.16,33.33,22.87,3.22
conceptually dense > 0.70 & technically complicated <= 0.70 & common <= 0.89 & positive > 0.5 & positive <= 0.70,rule,0.07,negative,0.02,0.06,133.58,129.24,4.94
positive <= 0.70 & neutral > 0.70,rule,0.03,negative,0.02,0.25,149.08,148.01,5.11
common > 0.5 & positive <= 0.70,rule,0.32,negative,0.02,0.8,276.31,276.29,5.72
positive > 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.66,positive,0.02,0.54,281.15,280.83,5.73
positive <= 0.70 & negative <= 0.70,rule,0.05,negative,0.02,0.26,648.57,647.9,6.62
conceptually dense <= 0.89 & socially controversial > 0.70 & unambiguous <= 0.70 & positive > 0.5 & positive <= 0.70,rule,0.19,negative,0.02,0.17,12.22,11.56,2.5
socially controversial <= 0.70 & positive > 0.70 & interdisciplinary > 0.70,rule,0.19,positive,0.01,0.17,63.62,32.21,3.52
unambiguous <= 0.70 & positive > 0.30 & positive <= 0.5 & negative > 0.70,rule,0.06,positive,0.01,0.05,1.34,0.96,1.01
positive <= 0.70 & subject to geographical variability > 0.89,rule,0.09,negative,0.01,0.25,733.52,733.42,6.65
positive > 0.70 & positive <= 0.89 & negative <= 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.53,positive,0.01,0.44,37.76,36.66,3.62
technically complicated > 0.70 & common > 0.70 & positive <= 0.70,rule,0.19,negative,0.01,0.23,80.7,80.06,4.45
unambiguous <= 0.70 & positive <= 0.5 & neutral <= 0.70 & interdisciplinary <= 0.89,rule,0.05,positive,0.01,0.16,6.64,3.81,1.34
common <= 0.89 & positive <= 0.5 & subject to geographical variability <= 0.89,rule,0.06,positive,0.01,0.05,1.42,0.7,1.01
conceptually dense > 0.70 & positive > 0.70,rule,0.57,positive,0.01,0.71,785.87,755.54,6.68
positive > 0.70 & interdisciplinary > 0.70,rule,0.67,positive,0.01,0.55,579.71,579.5,6.41
technically complicated <= 0.70 & common <= 0.89 & unambiguous <= 0.70 & negative <= 0.70 & neutral <= 0.70,rule,0.12,negative,0.01,0.13,66.97,48.62,3.91
common > 0.70 & unambiguous > 0.5 & unambiguous <= 0.70 & negative > 0.70 & subject to time variability <= 0.89,rule,0.25,positive,0.01,0.22,5.29,4.89,1.6
socially controversial > 0.89 & positive <= 0.5 & subject to geographical variability <= 0.89 & subject to time variability <= 0.89,rule,0.01,positive,0.01,0.05,2.05,1.37,1.01
technically complicated <= 0.70 & positive > 0.70 & positive <= 0.89 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.36,positive,0.0,0.3,4.84,4.35,1.47
conceptually dense > 0.5 & common > 0.70 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.3,negative,0.0,0.7,0.4,0.17,1.0
conceptually dense > 0.70 & technically complicated > 0.70 & unambiguous > 0.70,rule,0.1,negative,0.0,0.4,0.35,0.24,1.0
technically complicated > 0.70 & neutral > 0.70 & subject to geographical variability <= 0.89 & subject to time variability <= 0.89,rule,0.15,negative,0.0,0.13,1.02,0.58,1.0
positive > 0.70 & subject to geographical variability > 0.89 & subject to time variability <= 0.89,rule,0.06,positive,0.0,0.53,14.19,13.71,2.63
common <= 0.89 & socially controversial > 0.70 & positive > 0.5 & positive <= 0.70,rule,0.2,negative,0.0,0.17,135.77,134.56,4.91
unambiguous > 0.70 & positive <= 0.5,rule,0.03,negative,0.0,0.05,0.11,0.11,1.0
technically complicated > 0.70 & common > 0.89 & unambiguous > 0.5 & positive <= 0.70,rule,0.02,negative,0.0,0.16,34.27,33.91,3.53
common > 0.70 & negative > 0.5 & negative <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70,rule,0.39,negative,0.0,0.35,49.76,48.93,3.89
conceptually dense > 0.70 & conceptually dense <= 0.89 & positive > 0.70,rule,0.57,positive,0.0,0.71,332.1,321.87,5.78
technically complicated > 0.70 & common > 0.70 & interdisciplinary <= 0.89,rule,0.36,negative,0.0,0.33,22.52,19.4,2.97
positive > 0.70 & positive <= 0.89,rule,0.67,positive,0.0,0.54,518.19,518.19,6.27
positive > 0.70 & negative <= 0.70,rule,0.59,positive,0.0,0.54,647.9,647.9,6.49
positive > 0.70 & neutral > 0.70 & interdisciplinary <= 0.89,rule,0.29,positive,0.0,0.25,155.72,88.46,4.5
common > 0.70 & common <= 0.89 & unambiguous > 0.5 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.78,positive,0.0,0.64,0.38,0.16,1.0
